% Model,disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 2 2022, 16:10"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% r,z,mf.Jphi (A/m^2) @ freq=5000
0,-0.006,-3.5344484842803915E-13+2.101833745722359E-13i
1.507537688442211E-4,-0.006,3.274870976780276E-12+4.502731080773586E-12i
3.015075376884422E-4,-0.006,6.847047811059277E-12+8.769640407671866E-12i
4.5226130653266326E-4,-0.006,1.0363085654408987E-11+1.3010911355267103E-11i
6.030150753768844E-4,-0.006,1.382298450682938E-11+1.7226543923559264E-11i
7.537688442211055E-4,-0.006,1.7226744368320468E-11+2.141653811254837E-11i
9.045226130653265E-4,-0.006,2.057436523888224E-11+2.5580893922234404E-11i
0.0010552763819095476,-0.006,2.3912627873636707E-11+2.9708231807555946E-11i
0.0012060301507537687,-0.006,2.7256897871832985E-11+3.373363347771363E-11i
0.0013567839195979898,-0.006,3.051772629161879E-11+3.765050565925989E-11i
0.001507537688442211,-0.006,3.369511313299409E-11+4.145884835219469E-11i
0.001658291457286432,-0.006,3.6789058395958915E-11+4.5158661556518035E-11i
0.001809045226130653,-0.006,3.979956208051329E-11+4.874994527222998E-11i
0.001959798994974874,-0.006,4.272662418665716E-11+5.2232699499330457E-11i
0.002110552763819095,-0.006,4.5649509076158267E-11+5.561658603816568E-11i
0.0022613065326633165,-0.006,4.8487187749720515E-11+5.884379377422929E-11i
0.0024120603015075374,-0.006,5.120613095047903E-11+6.190286121848428E-11i
0.0025628140703517583,-0.006,5.380633867843378E-11+6.47937883709306E-11i
0.0027135678391959797,-0.006,5.628781093358479E-11+6.751657523156833E-11i
0.0028643216080402006,-0.006,5.86505477159321E-11+7.00712218003974E-11i
0.003015075376884422,-0.006,6.090930850800159E-11+7.246123014300229E-11i
0.003165829145728643,-0.006,6.317492242832271E-11+7.469919309199742E-11i
0.003316582914572864,-0.006,6.530862498188045E-11+7.67409726727092E-11i
0.003467336683417085,-0.006,6.731041616867482E-11+7.858656888513767E-11i
0.003618090452261306,-0.006,6.918029598870583E-11+8.023598172928286E-11i
0.003768844221105527,-0.006,7.091826444197346E-11+8.168921120514469E-11i
0.003919597989949748,-0.006,7.252432152847778E-11+8.294625731272328E-11i
0.004070351758793969,-0.006,7.40728602445541E-11+8.402492900845258E-11i
0.00422110552763819,-0.006,7.557244921035224E-11+8.492980713246421E-11i
0.004371859296482411,-0.006,7.693731914926627E-11+8.564127921114458E-11i
0.004522613065326633,-0.006,7.816747006129624E-11+8.615934524449375E-11i
0.004673366834170854,-0.006,7.926290194644211E-11+8.648400523251166E-11i
0.004824120603015075,-0.006,8.022361480470389E-11+8.661525917519836E-11i
0.004974874371859296,-0.006,8.104960863608157E-11+8.655310707255381E-11i
0.005125628140703517,-0.006,8.188187008560676E-11+8.634007026571347E-11i
0.0052763819095477385,-0.006,8.261228852437771E-11+8.597382753801826E-11i
0.005427135678391959,-0.006,8.321309195858127E-11+8.544875606271833E-11i
0.00557788944723618,-0.006,8.368428038821741E-11+8.476485583981373E-11i
0.005728643216080401,-0.006,8.402585381328616E-11+8.392212686930436E-11i
0.005879396984924622,-0.006,8.423781223378747E-11+8.292056915119032E-11i
0.006030150753768844,-0.006,8.435315799703352E-11+8.176878242866974E-11i
0.006180904522613065,-0.006,8.447872827538806E-11+8.052572240065436E-11i
0.006331658291457286,-0.006,8.448773376655467E-11+7.917909440722982E-11i
0.006482412060301507,-0.006,8.438017447053327E-11+7.772889844839606E-11i
0.006633165829145728,-0.006,8.415605038732397E-11+7.617513452415314E-11i
0.006783919597989949,-0.006,8.38153615169267E-11+7.451780263450105E-11i
