% Model:              FEA_only_electromagnet.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 23 2022, 13:00
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=20000                            mf.By (T) @ freq=20000                            mf.Bz (T) @ freq=20000
-0.018000000000000002     0                        0.0015                   1.2615714704253137E-5-5.187842959241902E-11i      -5.531006768508956E-7+2.484360652830957E-12i      -1.10480290800008E-4+5.022834951841745E-10i
-0.017636363636363638     0                        0.0015                   1.4475419534450433E-5-5.962713897511971E-11i      -3.316988726749081E-7+1.5661510329505155E-12i     -1.1629767602240176E-4+5.255139837336872E-10i
-0.017272727272727276     0                        0.0015                   1.6335124364647458E-5-6.737584835782103E-11i      -1.1029706849870376E-7+6.479414130725554E-13i     -1.2211506124479548E-4+5.487444722831986E-10i
-0.016909090909090912     0                        0.0015                   1.874017715612427E-5-7.788416837969774E-11i       4.372626885617084E-8-2.7431885238311353E-13i      -1.3014878897502557E-4+5.809189079386101E-10i
-0.016545454545454547     0                        0.0015                   2.2975040909968883E-5-9.64843964775312E-11i       3.748958162931408E-7-1.7109786963462004E-12i      -1.3611170919781155E-4+6.038279931561667E-10i
-0.016181818181818183     0                        0.0015                   2.7209904663813415E-5-1.1508462457536498E-10i     7.060653637303818E-7-3.1476385403088736E-12i      -1.4207462942059736E-4+6.267370783737208E-10i
-0.01581818181818182      0                        0.0015                   3.2657667432554167E-5-1.3844882510406936E-10i     1.0235631788605955E-6-4.639791645800104E-12i      -1.5144398611172225E-4+6.635783502612259E-10i
-0.015454545454545457     0                        0.0015                   3.661791885585508E-5-1.5551240263162541E-10i      1.1249151621347923E-6-5.193507803998616E-12i      -1.6022123107829246E-4+6.98117668272362E-10i
-0.015090909090909092     0                        0.0015                   4.202093107469936E-5-1.791474124408863E-10i       -1.5444245383409213E-6+7.228559387527744E-12i     -1.7157626358430266E-4+7.43326384881652E-10i
-0.01472727272727273      0                        0.0015                   4.647391937729814E-5-1.979469487610286E-10i       -1.983624092074133E-6+9.101212881780738E-12i      -1.8447934905372796E-4+7.945029311201123E-10i
-0.014363636363636365     0                        0.0015                   5.4950863325960045E-5-2.3423268163550096E-10i     -7.771026819349859E-7+2.342214246371726E-12i      -1.911873892731441E-4+8.191104256120394E-10i
-0.014000000000000002     0                        0.0015                   6.153462717370861E-5-2.6217380734529447E-10i      4.780123604366669E-7-2.752312755956905E-12i       -2.098693531112786E-4+8.928557300282548E-10i
-0.013636363636363637     0                        0.0015                   7.464379445887574E-5-3.1811413057409007E-10i      5.635831948818575E-6-2.2860390839383405E-11i      -2.205501418420467E-4+9.331086520182403E-10i
-0.013272727272727275     0                        0.0015                   8.616799226954599E-5-3.6778630441978244E-10i      2.553694573113557E-6-9.910490967951172E-12i       -2.4277496613093618E-4+1.0201820659600143E-9i
-0.012909090909090912     0                        0.0015                   9.955651079162102E-5-4.2493908706309137E-10i      1.6731993628768971E-6-6.679078496089133E-12i      -2.6294318770016863E-4+1.099402036896007E-9i
-0.012545454545454547     0                        0.0015                   1.1876629074763481E-4-5.071659455772141E-10i      6.430043593789743E-7-2.5001609116922402E-12i      -2.7705470949192365E-4+1.1524853195074039E-9i
-0.012181818181818183     0                        0.0015                   1.3797607070365126E-4-5.893928040913405E-10i      -3.871906441188402E-7+1.6787566727044459E-12i     -2.9116623128367823E-4+1.205568602118795E-9i
-0.01181818181818182      0                        0.0015                   1.5718585065966565E-4-6.716196626054638E-10i      -1.4173856476166818E-6+5.8576742571015455E-12i    -3.052777530754324E-4+1.2586518847301894E-9i
-0.011454545454545457     0                        0.0015                   1.8089718677940245E-4-7.727434765916926E-10i      2.7454231895317725E-7-1.924418528727937E-12i      -3.336177037897639E-4+1.3678167229903458E-9i
-0.011090909090909092     0                        0.0015                   2.0456302875008136E-4-8.741116439117175E-10i      -3.4261767468742477E-6+1.501752676278129E-11i     -3.8146064096252754E-4+1.5574212627015152E-9i
-0.010727272727272728     0                        0.0015                   2.530257871690613E-4-1.0792043579655184E-9i       -2.1224211574674256E-6+9.385847483958968E-12i     -4.0397951371730486E-4+1.6399701742943208E-9i
-0.010363636363636365     0                        0.0015                   3.014885455880419E-4-1.2842970720193276E-9i       -8.186655680606034E-7+3.754168205131682E-12i      -4.264983864720826E-4+1.7225190858871263E-9i
-0.010000000000000002     0                        0.0015                   3.4995130400702185E-4-1.4893897860731342E-9i      4.850900213457579E-7-1.877511073690227E-12i       -4.490172592268582E-4+1.8050679974799352E-9i
-0.009636363636363637     0                        0.0015                   3.984140624260019E-4-1.694482500126938E-9i        1.7888456107519567E-6-7.509190352514204E-12i      -4.715361319816355E-4+1.8876169090727374E-9i
-0.009272727272727274     0                        0.0015                   5.061237916507578E-4-2.148746838805011E-9i        3.4475007102424075E-5-1.4289400398953277E-10i     -5.239172136440127E-4+2.0844933628400847E-9i
-0.00890909090909091      0                        0.0015                   6.019305597109036E-4-2.5527627611674902E-9i       -7.4363195978821095E-6+3.1564869028361624E-11i    -5.513742232356664E-4+2.1814668904649697E-9i
-0.008545454545454547     0                        0.0015                   7.374878063804036E-4-3.1236142622301357E-9i       -4.014526541881269E-6+1.746701498410798E-11i      -6.595436996482962E-4+2.6009463680592916E-9i
-0.008181818181818182     0                        0.0015                   8.730450530499007E-4-3.694465763292768E-9i        -5.927334858809707E-7+3.3691609398601283E-12i     -7.677131760609295E-4+3.0204258456536233E-9i
-0.00781818181818182      0                        0.0015                   0.0011020697028576527-4.656181275538676E-9i       8.612296916747446E-6-3.1626818941781766E-11i      -7.439110052360914E-4+2.873061791580888E-9i
-0.007454545454545455     0                        0.0015                   0.0013285594196075687-5.588836641535287E-9i       -5.45395948818521E-7+4.8873442126781525E-12i      -6.832454497565921E-4+2.596081330534598E-9i
-0.007090909090909092     0                        0.0015                   0.001637736025416644-6.858496779170464E-9i        1.2171074905049234E-5-4.464349688284125E-11i      -7.774058763121514E-4+2.9394276266418875E-9i
-0.006727272727272728     0                        0.0015                   0.002032690934465571-8.469915305894178E-9i        -1.7249622784400002E-5+7.21671556887048E-11i      -8.176717362932224E-4+2.9947069275456824E-9i
-0.006363636363636365     0                        0.0015                   0.002555539010438367-1.0550149806119009E-8i       -1.675209035816895E-5+6.242515446552282E-11i      -6.744976174892835E-4+2.359395326038243E-9i
-0.006000000000000002     0                        0.0015                   0.0030790885137089398-1.2644670193352696E-8i      5.094971671980048E-5-1.9756852002258595E-10i      5.9906582909113954E-5-6.016648609076652E-10i
-0.005636363636363637     0                        0.0015                   0.0033123237981240515-1.35956087018575E-8i        5.219739291378387E-5-2.0285513758301653E-10i      3.260607556204341E-4-1.7175229836688572E-9i
-0.005272727272727274     0                        0.0015                   0.004434095466597912-1.8157713728481826E-8i       -2.0808120144102357E-5+8.55715768198952E-11i      8.667439276219343E-4-3.857760217265781E-9i
-0.00490909090909091      0                        0.0015                   0.004549397394215853-1.8712435702515394E-8i       5.4669941605554515E-6-2.7267926048921896E-11i     0.002032895273781814-8.63136405103092E-9i
-0.004545454545454547     0                        0.0015                   0.004589645088267734-1.8916042182359102E-8i       -8.10521655344971E-6+3.251161034268424E-11i       0.0029924948438129232-1.264254104328812E-8i
-0.004181818181818182     0                        0.0015                   0.004327322960202412-1.783922329835262E-8i        -1.4481578629344321E-5+5.249570116873781E-11i     0.004271623376945813-1.8015841175816915E-8i
-0.0038181818181818195    0                        0.0015                   0.003760327375337071-1.5533684189121282E-8i       -2.947379166367192E-6+9.734422574223671E-12i      0.0051227166580790975-2.137026683059946E-8i
-0.003454545454545455     0                        0.0015                   0.003179471021150288-1.3217604098611264E-8i       -1.1250020681765087E-5+4.194029774745035E-11i     0.0051510615482007645-2.1624013471504652E-8i
-0.003090909090909092     0                        0.0015                   0.0025986146669635182-1.0901524008101295E-8i      -1.9552662197162493E-5+7.414617292066586E-11i     0.005179406438322421-2.187776011240983E-8i
-0.0027272727272727275    0                        0.0015                   0.002117718664171116-8.933158604077374E-9i        -1.522650568188469E-4+6.176573020647198E-10i      0.005242518861971322-2.21990339380392E-8i
-0.002363636363636363     0                        0.0015                   0.0016641409640111935-7.027971377531077E-9i       1.0840145011884253E-5-3.715959832606456E-11i      0.00532073556599141-2.2603194000056245E-8i
-0.0020000000000000018    0                        0.0015                   0.0013690932469557875-5.792658915577852E-9i       2.025808688864688E-5-7.576060534587633E-11i       0.00535114150586072-2.278228854118978E-8i
-0.0016363636363636372    0                        0.0015                   0.0010740455299003775-4.5573464536246205E-9i      2.9676028765416446E-5-1.1436161236570795E-10i     0.005381547445730019-2.2961383082323307E-8i
-0.0012727272727272726    0                        0.0015                   7.742112436177491E-4-3.2910477064420105E-9i       1.2001440996599626E-5-5.038594141426169E-11i      0.0053479552301830486-2.286555217246397E-8i
-9.09090909090908E-4      0                        0.0015                   5.454260992566059E-4-2.3186761107505026E-9i       6.48497060798247E-6-2.5509071518377014E-11i       0.005311412283559961-2.2730451808230693E-8i
-5.454545454545469E-4     0                        0.0015                   3.3032887725841203E-4-1.4026897052095868E-9i      2.841502056286256E-6-1.1830058420238687E-11i      0.005305585388215916-2.272085636779977E-8i
