% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 23 2022, 13:21
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=2E6                              mf.By (T) @ freq=2E6                              mf.Bz (T) @ freq=2E6
-0.018000000000000002     0                        0.0015                   1.2614978829417678E-5+1.7594827965702026E-9i      -5.53106238125752E-7+1.5983983865464765E-11i      -1.1048114588509535E-4+2.549328062729702E-9i
-0.017636363636363638     0                        0.0015                   1.447460027930456E-5+1.9570547763588537E-9i       -3.3170499575459894E-7+1.6477479624043384E-11i    -1.1629852394519873E-4+2.5559477091054434E-9i
-0.017272727272727276     0                        0.0015                   1.6334221729191387E-5+2.154626756147743E-9i       -1.1030375338312061E-7+1.697097538283376E-11i     -1.2211590200530238E-4+2.5625673554811318E-9i
-0.016909090909090912     0                        0.0015                   1.8739174782540584E-5+2.390308089250951E-9i       4.372641926808033E-8-5.003680783927894E-13i       -1.3014960054018667E-4+2.5241048071096474E-9i
-0.016545454545454547     0                        0.0015                   2.2973943705111586E-5+2.6064055693476914E-9i      3.7490231316389053E-7-1.75035865034708E-11i       -1.361124659586937E-4+2.4140846950084777E-9i
-0.016181818181818183     0                        0.0015                   2.7208712627682804E-5+2.8225030494442995E-9i      7.060782070594839E-7-3.4506804928416465E-11i      -1.4207533137720034E-4+2.3040645829075197E-9i
-0.01581818181818182      0                        0.0015                   3.2656394121766954E-5+3.0000472414557666E-9i      1.023563218942574E-6-4.2191749710184426E-12i      -1.5144466566712768E-4+2.2881815991779466E-9i
-0.015454545454545457     0                        0.0015                   3.661656442075229E-5+3.1833814017173215E-9i       1.1249127871337718E-6+1.3182595199530264E-12i     -1.602218719724247E-4+2.2296821634169535E-9i
-0.015090909090909092     0                        0.0015                   4.201949009871803E-5+3.374182137560294E-9i        -1.5444204159872042E-6-3.892454268146939E-12i     -1.7157683423139506E-4+2.10409673811339E-9i
-0.01472727272727273      0                        0.0015                   4.647240252709069E-5+3.5424432674916334E-9i       -1.983613430698054E-6-1.816241675071781E-11i      -1.8447987395480803E-4+2.0454047235816E-9i
-0.014363636363636365     0                        0.0015                   5.49492679015191E-5+3.7008205180960104E-9i        -7.771056306164325E-7+1.0771715706460058E-11i     -1.911878501080237E-4+1.916069974150015E-9i
-0.014000000000000002     0                        0.0015                   6.153295336769728E-5+3.866472848766911E-9i        4.780042573159535E-7+1.8223208813092182E-11i      -2.0986975230163863E-4+1.8425997450604241E-9i
-0.013636363636363637     0                        0.0015                   7.464203174193621E-5+4.031174632077188E-9i        5.635814675598984E-6+1.9083197773625273E-11i      -2.2055048855363951E-4+1.758544109098687E-9i
-0.013272727272727275     0                        0.0015                   8.616614718238004E-5+4.186440246276593E-9i        2.553692261530842E-6-4.975605778676688E-12i       -2.4277522658580587E-4+1.6395368198089819E-9i
-0.012909090909090912     0                        0.0015                   9.955456951854687E-5+4.367831519990905E-9i        1.6732062701458163E-6-2.3890609384604544E-11i     -2.6294336682109376E-4+1.523853714309188E-9i
-0.012545454545454547     0                        0.0015                   1.187642497441772E-4+4.53412778153679E-9i         6.430071432463492E-7-9.437306128882964E-12i       -2.770547979806697E-4+1.360478754676386E-9i
-0.012181818181818183     0                        0.0015                   1.379739299698082E-4+4.7004240430827065E-9i       -3.8719198365344326E-7+5.015997126861778E-12i     -2.9116622914024544E-4+1.19710379504369E-9i
-0.01181818181818182      0                        0.0015                   1.5718361019543897E-4+4.86672030462856E-9i        -1.4173911105529917E-6+1.9469300382608174E-11i    -3.0527766029982075E-4+1.033728835410888E-9i
-0.011454545454545457     0                        0.0015                   1.8089485492339837E-4+4.9937395675749845E-9i      2.7453584697527574E-7+1.5292432953351313E-11i     -3.3361747906506325E-4+8.279166420398027E-10i
-0.011090909090909092     0                        0.0015                   2.045605909488362E-4+5.15673698125971E-9i         -3.4261907655018693E-6+4.887354724264756E-11i     -3.814602932981615E-4+7.259908883361989E-10i
-0.010727272727272728     0                        0.0015                   2.5302323825067375E-4+5.22946505612294E-9i        -2.1224281961690784E-6+2.6327154233871618E-11i    -4.0397902363757806E-4+4.708414965489881E-10i
-0.010363636363636365     0                        0.0015                   3.014858855525128E-4+5.302193130986143E-9i        -8.186656268348779E-7+3.780761225062589E-12i      -4.2649775397699506E-4+2.1569210476185664E-10i
-0.010000000000000002     0                        0.0015                   3.49948532854352E-4+5.374921205849386E-9i         4.850969424985364E-7-1.8765631783662067E-11i      -4.4901648431641336E-4-3.945728702530126E-11i
-0.009636363636363637     0                        0.0015                   3.984111801561905E-4+5.4476492807125594E-9i       1.7888595118319508E-6-4.1312024792429737E-11i     -4.715352146558299E-4-2.946066788124062E-10i
-0.009272727272727274     0                        0.0015                   5.061207938473835E-4+5.283715653832451E-9i        3.447502040658393E-5-1.7572409836373165E-10i      -5.239160666241464E-4-6.376114413671112E-10i
-0.00890909090909091      0                        0.0015                   6.019274703979545E-4+5.1102260562825964E-9i       -7.4363180380676575E-6+2.8542432125707614E-11i    -5.513728803271875E-4-1.0055676046377737E-9i
-0.008545454545454547     0                        0.0015                   7.374846343121671E-4+4.74875402003526E-9i         -4.01453056981518E-6+2.8402434116689202E-11i      -6.595421496917442E-4-1.068087402736219E-9i
-0.008181818181818182     0                        0.0015                   8.730417982263771E-4+4.3872819837879106E-9i       -5.927431015637866E-7+2.82624361076741E-11i       -7.677114190563009E-4-1.1306072008344656E-9i
