% Model,biological block (only electromagnet).mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 5 2022, 22:18"
% Dimension,3
% Nodes,100
% Expressions,3
% Description,"Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component"
% Length unit,m
% x,y,z,mf.Bx (T) @ freq=20000,mf.By (T) @ freq=20000,mf.Bz (T) @ freq=20000
-0.018000000000000002,0,0.0015,3.5853315788591535E-5-5.173640702860801E-11i,-2.3019823192072224E-7+1.235205039922145E-13i,-7.395298705159119E-5-4.208283004703125E-10i
-0.017636363636363638,0,0.0015,3.868584170500756E-5-5.375170107461708E-11i,-1.223705127071273E-7+1.8819638230617441E-13i,-7.816541192716192E-5-4.288593549226882E-10i
-0.017272727272727276,0,0.0015,4.1518367621423365E-5-5.5766995025758465E-11i,-1.4542793493207105E-8+2.528723351590337E-13i,-8.237783680273389E-5-4.3689040934795885E-10i
-0.016909090909090912,0,0.0015,4.499953401598117E-5-5.842694405545912E-11i,-4.676917126672682E-7+6.310308720870739E-13i,-8.764544019862139E-5-4.4683642227397354E-10i
-0.016545454545454547,0,0.0015,4.8722382481133746E-5-6.121870539796057E-11i,-6.416664426445694E-7+6.730031571096362E-13i,-9.394765168376385E-5-4.563990374864546E-10i
-0.016181818181818183,0,0.0015,5.148973696046102E-5-6.27744138137834E-11i,-9.093409691122122E-7-4.321967859554493E-13i,-1.0001020707261447E-4-4.667385620788639E-10i
-0.01581818181818182,0,0.0015,5.7878893433375165E-5-6.551535995571317E-11i,-4.282529996631066E-7-5.121266942692635E-13i,-1.0774250494521723E-4-4.774658216000725E-10i
-0.015454545454545457,0,0.0015,6.426804990628736E-5-6.82563058265924E-11i,5.283496978673082E-8-5.920575444837151E-13i,-1.1547480281782086E-4-4.881930821783783E-10i
-0.015090909090909092,0,0.0015,7.065720637920237E-5-7.099725256483336E-11i,5.339229392357144E-7-6.719885607166243E-13i,-1.232071006904247E-4-4.989203416182718E-10i
-0.01472727272727273,0,0.0015,7.721286745922024E-5-7.490881049135312E-11i,6.50412753727507E-7-4.1000839876015327E-13i,-1.348494274237607E-4-5.10825700099013E-10i
-0.014363636363636365,0,0.0015,8.660039298957582E-5-7.968198388434711E-11i,-6.895265063019962E-7-6.174097691435954E-14i,-1.430287883540421E-4-5.242302408142718E-10i
-0.014000000000000002,0,0.0015,9.598791851993157E-5-8.445515749418153E-11i,-2.0294657663310657E-6+2.865264449314342E-13i,-1.5120814928432265E-4-5.376347817463711E-10i
-0.013636363636363637,0,0.0015,1.072302095425041E-4-8.79918247097787E-11i,-2.4802708176703894E-6+7.851358452271029E-14i,-1.6447294045687615E-4-5.509522057328686E-10i
-0.013272727272727275,0,0.0015,1.1891201738687004E-4-9.33915562072174E-11i,-3.7122566701984494E-6-2.1441390329890453E-12i,-1.7322250259659607E-4-5.682914963264785E-10i
-0.012909090909090912,0,0.0015,1.3523410369323122E-4-9.980199739550999E-11i,-6.61435232601152E-7-2.7745162937964363E-12i,-1.9290877598287007E-4-5.861818946906183E-10i
-0.012545454545454547,0,0.0015,1.5155618999959262E-4-1.0621243815012171E-10i,2.3893862049941396E-6-3.4048916030399168E-12i,-2.1259504936914635E-4-6.040722906695134E-10i
-0.012181818181818183,0,0.0015,1.6787827630595446E-4-1.1262287717000996E-10i,5.440207642589973E-6-4.035267779645135E-12i,-2.3228132275542263E-4-6.219626879494511E-10i
-0.01181818181818182,0,0.0015,1.84200362612315E-4-1.1903331965934516E-10i,8.491029080184669E-6-4.665641137324705E-12i,-2.51967596141699E-4-6.398530854462292E-10i
-0.011454545454545457,0,0.0015,2.124085311592267E-4-1.2636437382584909E-10i,-7.079859128008431E-6-4.368325146053564E-12i,-2.760527130477421E-4-6.637812886151062E-10i
-0.011090909090909092,0,0.0015,2.495250638568699E-4-1.3085490850606174E-10i,2.5248768313994308E-6+1.402111066139966E-12i,-2.8397415723495703E-4-6.82388182418614E-10i
-0.010727272727272728,0,0.0015,2.911643810853482E-4-1.370921397236824E-10i,-1.9074522405147787E-6+1.4481367494045827E-12i,-3.152293136287369E-4-7.135041620032201E-10i
