% Tissue: Liver
% Frequency Hz	Permittivity	Elec. Cond. (S/m)
1000	85673.42640939583	0.0413804755902203
1100	81877.76029442542	0.041565585976849145
2000	63490.24509913064	0.043100405204430814
3000	53818.127979508834	0.04470153777190913
4000	47457.142653942705	0.04622768521878998
5000	42672.49860020964	0.047666561967682514
6000	38858.56667877745	0.049010695334485474
7000	35722.538016302366	0.05026007876741939
8000	33092.449616661004	0.05141934198656492
9000	30854.87606788366	0.05249535058451765
10000	28929.576750469547	0.0534957254214755
20000	18515.931221540395	0.06071988467292343
30000	14339.191247341656	0.06537198948613626
40000	12100.370006076217	0.06896921594294858
50000	10689.653289017337	0.07204278876282871
60000	9704.20155022843	0.07482025804943436
70000	8965.161587316848	0.07741338265681588
80000	8381.725754442019	0.0798821862960321
90000	7903.138254706481	0.08226088850456721
100000	7498.896610955315	0.08456980280162162
200000	5196.870742245051	0.10518984066057184
300000	4032.9421574491653	0.12224761340334882
400000	3288.7768469416046	0.13634443986746017
500000	2769.812976673863	0.1481045555134869
600000	2388.600088138468	0.1580645986934114
700000	2097.886319516356	0.16663432865405642
800000	1869.6246505405081	0.1741164333171901
900000	1686.1164309646595	0.18073413758624296
1000000	1535.6714977059512	0.1866537513967831
1100000	1410.2812557099335	0.19200098454850714
2000000	823.9912684178425	0.22522904495669013
3000000	577.2128756006443	0.24759056508147695
4000000	452.4402539563544	0.2635666377481149
5000000	376.97425832473886	0.2761204330950494
6000000	326.2729255858273	0.28653068973544127
7000000	289.77357216799186	0.29546601927960375
8000000	262.1830570609312	0.3033207139164159
9000000	240.55522730475403	0.310347330295288
10000000	223.11885796722297	0.31671769821138074
20000000	142.1673827610217	0.3610155218373585
30000000	113.45650482928338	0.3892544515157759
40000000	98.4188544804627	0.41054926513410256
50000000	89.05387523474973	0.42788178698490026
60000000	82.61277727538942	0.44262834489023145
70000000	77.88663543135713	0.4555454187762031
80000000	74.25714731311736	0.46709633597338907
90000000	71.3738192515551	0.4775867711479128
100000000	69.02249830562215	0.48722966516960753
200000000	57.72355840510763	0.5585273071540967
300000000	53.51214895489971	0.6098655677944514
400000000	51.235102722777135	0.6538633365224582
500000000	49.776429459314144	0.6947365306901587
600000000	48.744092600734646	0.7344268351135177
700000000	47.963212200479866	0.7739856962441919
800000000	47.343455023109144	0.8140408767459679
900000000	46.8332413667856	0.8549917751819542
1000000000	46.40088497097752	0.8971034989123318
