% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 21 2022, 22:14
% Dimension:          2
% Nodes:              500
% Expressions:        2
% Description:        Magnetic flux density, r component, Magnetic flux density, z component
% Length unit:        m
% r                       z                        mf.Br (T) @ freq=20000                            mf.Bz (T) @ freq=20000
0.006                     0.0025                   -0.003292820744622116-2.753921880144602E-11i      -2.0895484223642374E-4-5.116539957342361E-11i
0.00604809619238477       0.0025                   -0.0032067760297370164-2.763792832373679E-11i     -2.7667390896931937E-4-5.089179316654529E-11i
0.006096192384769539      0.0025                   -0.003120731314851924-2.7736637846027474E-11i     -3.4424767823418865E-4-5.061786102929542E-11i
0.006144288577154309      0.0025                   -0.003034686599966828-2.783534736831826E-11i      -4.116795621046602E-4-5.0343610810919354E-11i
0.006192384769539079      0.0025                   -0.0029266680461019177-2.7932226029310686E-11i    -5.17405498248788E-4-5.006861486217314E-11i
0.0062404809619238475     0.0025                   -0.0028263710598061542-2.8011989463360852E-11i    -5.114167762941637E-4-4.9817450294215746E-11i
0.006288577154308617      0.0025                   -0.0027260740735103872-2.8091752897410864E-11i    -5.047360427371497E-4-4.95661684514251E-11i
0.006336673346693387      0.0025                   -0.0026257770872146237-2.8171516331460875E-11i    -4.973790549576964E-4-4.931477200419592E-11i
0.0063847695390781565     0.0025                   -0.0025254801009188532-2.825127976551094E-11i     -4.893610955370861E-4-4.9063263542458906E-11i
0.006432865731462926      0.0025                   -0.002425183114623093-2.8331043199561053E-11i     -4.806969900074741E-4-4.881164557868907E-11i
0.006480961923847696      0.0025                   -0.0023248861283273314-2.8410806633611065E-11i    -4.714011238109788E-4-4.855992055077967E-11i
0.006529058116232465      0.0025                   -0.002224589142031566-2.8490570067661076E-11i     -4.6148745850930345E-4-4.830809082478887E-11i
0.006577154308617234      0.0025                   -0.002262085063379042-2.8548781437809956E-11i     -5.751788134764168E-4-4.802979022088568E-11i
0.006625250501002004      0.0025                   -0.0022012789662329045-2.861753347367618E-11i     -6.021910279951617E-4-4.7755742525927705E-11i
0.0066733466933867735     0.0025                   -0.002140472869086799-2.8686285509541953E-11i     -6.288774306338954E-4-4.748144397470659E-11i
0.006721442885771543      0.0025                   -0.0020796667719406776-2.8755037545407893E-11i    -6.552450155653507E-4-4.7206899952330866E-11i
0.006769539078156313      0.0025                   -0.0020188606747945496-2.8823789581273937E-11i    -6.81300578193594E-4-4.6932115690866856E-11i
0.006817635270541082      0.0025                   -0.0019580545776484368-2.889254161713963E-11i     -7.070507221652274E-4-4.665709627474096E-11i
0.006865731462925852      0.0025                   -0.001916264897606863-2.893933866802483E-11i      -6.586518745704862E-4-4.643833133907529E-11i
0.006913827655310622      0.0025                   -0.0018688344262035223-2.8990572368026486E-11i    -6.619239109571173E-4-4.617706822941127E-11i
0.006961923847695391      0.0025                   -0.0018214039548001813-2.9041806068028306E-11i    -6.647701125473756E-4-4.591567352655762E-11i
0.00701002004008016       0.0025                   -0.0017739734833968341-2.9093039768030106E-11i    -6.671992443799584E-4-4.5654149939121585E-11i
0.00705811623246493       0.0025                   -0.0017265430119934883-2.914427346803197E-11i     -6.692198325827709E-4-4.5392500101882136E-11i
0.0071062124248496995     0.0025                   -0.001679112540590142-2.919550716803369E-11i      -6.708401724579512E-4-4.513072657828694E-11i
0.007154308617234469      0.0025                   -0.0016316820691867975-2.924674086803564E-11i     -6.720683362406851E-4-4.4868831862850644E-11i
0.007202404809619239      0.0025                   -0.001584251597783453-2.9297974568037514E-11i     -6.729121805471674E-4-4.460681838345654E-11i
0.007250501002004008      0.0025                   -0.001536821126380098-2.9349208268039466E-11i     -6.733793535261946E-4-4.434468850356649E-11i
0.007298597194388778      0.0025                   -0.0015250872151973665-2.934337989872795E-11i     -6.566878956350856E-4-4.410895482740987E-11i
0.007346693386773547      0.0025                   -0.0014796321866841836-2.9393627947819316E-11i    -6.505471180113136E-4-4.385343779000676E-11i
0.007394789579158317      0.0025                   -0.0014341771581709954-2.9443875996910886E-11i    -6.440157134523941E-4-4.3597851754999853E-11i
0.007442885771543086      0.0025                   -0.0013887221296578142-2.9494124046002095E-11i    -6.371012546937404E-4-4.334219805998444E-11i
0.007490981963927856      0.0025                   -0.0013271971553879564-2.9559470262268086E-11i    -6.731665195433289E-4-4.304575075157824E-11i
0.0075390781563126254     0.0025                   -0.0012923348895114177-2.9597678719842836E-11i    -6.540859398440005E-4-4.281110513158619E-11i
0.007587174348697395      0.0025                   -0.0012574726236348752-2.96358871774177E-11i      -6.345669238437958E-4-4.257653331614395E-11i
0.007635270541082165      0.0025                   -0.0012303072301948857-2.963648479004607E-11i     -6.287932170466742E-4-4.228748219216169E-11i
0.0076833667334669335     0.0025                   -0.0012051853196043344-2.9658474194091936E-11i    -6.264512073635981E-4-4.2038092361118584E-11i
0.007731462925851704      0.0025                   -0.0011800634090137858-2.96804635981378E-11i      -6.238044657533163E-4-4.178868633849968E-11i
0.007779559118236473      0.0025                   -0.0011549414984232363-2.970245300218357E-11i     -6.208586441217492E-4-4.153926442461232E-11i
0.007827655310621243      0.0025                   -0.0011298195878326842-2.972444240622958E-11i     -6.176192554646797E-4-4.1289826912383476E-11i
0.007875751503006012      0.0025                   -0.0011046976772421347-2.9746431810275343E-11i    -6.140916781092955E-4-4.104037408758394E-11i
0.007923847695390781      0.0025                   -0.0010795757666515909-2.9768421214321E-11i       -6.102811598012434E-4-4.0790906229046623E-11i
0.007971943887775551      0.0025                   -0.0010544538560610388-2.979041061836705E-11i     -6.06192821643727E-4-4.054142360887556E-11i
0.008020040080160322      0.0025                   -0.0010293319454704802-2.981240002241299E-11i     -6.0183166189492E-4-4.029192649264708E-11i
0.00806813627254509       0.0025                   -0.0010042100348799377-2.983438942645866E-11i     -5.972025596294792E-4-4.00424151396053E-11i
0.00811623246492986       0.0025                   -9.790881242893856E-4-2.9856378830504693E-11i     -5.923102782699146E-4-3.979288980284915E-11i
0.00816432865731463       0.0025                   -9.539662136988326E-4-2.98783682345506E-11i       -5.87159468993159E-4-3.954335072951334E-11i
0.008212424849699399      0.0025                   -9.28844303108284E-4-2.990035763859655E-11i       -5.817546740173706E-4-3.929379816094335E-11i
0.00826052104208417       0.0025                   -9.037223925177328E-4-2.992234704264217E-11i      -5.761003297739679E-4-3.9044232332863956E-11i
0.008308617234468938      0.0025                   -8.786004819271833E-4-2.99443364466881E-11i       -5.702007699694884E-4-3.879465347554163E-11i
0.008356713426853707      0.0025                   -8.534785713366338E-4-2.9966325850733824E-11i     -5.640602285416704E-4-3.8545061813941714E-11i
0.008404809619238477      0.0025                   -8.283566607460765E-4-2.998831525477991E-11i      -5.576828425140981E-4-3.829545756787974E-11i
0.008452905811623246      0.0025                   -8.199682523397484E-4-2.9869371443084324E-11i     -5.53021302922707E-4-3.802945140528586E-11i
0.008501002004008017      0.0025                   -7.957362986198003E-4-2.988315229169794E-11i      -5.46571624548928E-4-3.777720979147338E-11i
0.008549098196392785      0.0025                   -7.646062983297482E-4-3.0040986837138853E-11i     -5.380049600647319E-4-3.7549033156410683E-11i
0.008597194388777554      0.0025                   -7.506069092989521E-4-3.002981203970779E-11i      -5.336842656410044E-4-3.7316425900480917E-11i
0.008645290581162325      0.0025                   -7.366075202681665E-4-3.001863724227648E-11i      -5.291623280015758E-4-3.7083900888925237E-11i
