% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Oct 27 2022, 09:05
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Liver
0                         -0.006                   5.363265713306852E-10-1.5819572410184718E-9i
3.0303030303030303E-4     -0.006                   1.6843191447776644E-6-4.968107034358945E-6i
6.060606060606061E-4      -0.006                   3.3559218370830578E-6-9.898705335199705E-6i
9.090909090909091E-4      -0.006                   5.0153444034875084E-6-1.4793376859763287E-5i
0.0012121212121212121     -0.006                   6.65831794111229E-6-1.9639529957165015E-5i
0.0015151515151515152     -0.006                   8.269170183916501E-6-2.4390937356297526E-5i
0.0018181818181818182     -0.006                   9.846534490096878E-6-2.9043567978936012E-5i
0.002121212121212121      -0.006                   1.138893830687251E-5-3.359307835053209E-5i
0.0024242424242424242     -0.006                   1.2882945352937417E-5-3.799983651099404E-5i
0.0027272727272727275     -0.006                   1.4325321598213428E-5-4.22543032909368E-5i
0.0030303030303030303     -0.006                   1.571590633481683E-5-4.6356004662915475E-5i
0.003333333333333333      -0.006                   1.704604414393921E-5-5.027941040775326E-5i
0.0036363636363636364     -0.006                   1.831115159638455E-5-5.401100113640447E-5i
0.00393939393939394       -0.006                   1.9511228692152838E-5-5.755077684886904E-5i
0.004242424242424242      -0.006                   2.064276182226075E-5-6.0888373724761286E-5i
0.004545454545454545      -0.006                   2.1701665466168062E-5-6.401174101672215E-5i
0.0048484848484848485     -0.006                   2.2688071278645252E-5-6.69212670562203E-5i
0.005151515151515152      -0.006                   2.3600996563467522E-5-6.961405326044505E-5i
0.005454545454545455      -0.006                   2.443927889534782E-5-7.208667090979103E-5i
0.005757575757575757      -0.006                   2.520351349541529E-5-7.434087568053393E-5i
0.006060606060606061      -0.006                   2.5893478689833707E-5-7.637601371871071E-5i
0.006363636363636364      -0.006                   2.6510678156807134E-5-7.81965203048494E-5i
0.006666666666666666      -0.006                   2.7057444391489002E-5-7.980927541641348E-5i
0.0069696969696969695     -0.006                   2.7533777393879334E-5-8.121427905340301E-5i
0.007272727272727273      -0.006                   2.7941673693513043E-5-8.241742022356438E-5i
0.007575757575757576      -0.006                   2.828645420252464E-5-8.343439360532639E-5i
0.00787878787878788       -0.006                   2.8568270537196688E-5-8.426564640933595E-5i
0.008181818181818182      -0.006                   2.8788433176171273E-5-8.491504405293895E-5i
0.008484848484848484      -0.006                   2.89543008620206E-5-8.540429204590799E-5i
0.008787878787878787      -0.006                   2.906694883451316E-5-8.573656193890107E-5i
0.00909090909090909       -0.006                   2.9126749938486807E-5-8.591295348364526E-5i
0.009393939393939394      -0.006                   2.9141060105963637E-5-8.595516390150855E-5i
0.009696969696969697      -0.006                   2.911270256865533E-5-8.587152065898329E-5i
0.01                      -0.006                   2.9041677326561858E-5-8.566202375606934E-5i
0.010303030303030303      -0.006                   2.8933057209157376E-5-8.534163612514148E-5i
0.010606060606060607      -0.006                   2.8791987619171793E-5-8.492553476048399E-5i
0.01090909090909091       -0.006                   2.861846855660509E-5-8.441371966209681E-5i
0.011212121212121211      -0.006                   2.8414855693243936E-5-8.381313917311772E-5i
0.011515151515151515      -0.006                   2.818757823470037E-5-8.314275702296643E-5i
