% Model,biological disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 5 2022, 09:18"
% Dimension,2
% Nodes,100
% Expressions,2
% Description,"Magnetic flux density, r component, Magnetic flux density, z component"
% Length unit,m
% r,z,mf.Br (T) @ freq=20000,mf.Bz (T) @ freq=20000
0.006,0.0025,-0.0032937412276265463-2.753095525071331E-11i,-2.07541207420274E-4-5.112149861113806E-11i
0.006242424242424243,0.0025,-0.0028237138372245417-2.800945965538835E-11i,-5.210458326616455E-4-4.975885355921588E-11i
0.006484848484848485,0.0025,-0.0023212725451195737-2.840954092868997E-11i,-4.762890088077325E-4-4.849346229013537E-11i
0.006727272727272728,0.0025,-0.002073382849488655-2.875429898897677E-11i,-6.511123088756925E-4-4.7135082938160394E-11i
0.0069696969696969695,0.0025,-0.0018109876419827673-2.9045756131925535E-11i,-6.648473120116195E-4-4.582977975179191E-11i
0.007212121212121212,0.0025,-0.001575891722649209-2.9298913289666945E-11i,-6.727230689320069E-4-4.4511114269007814E-11i
0.007454545454545455,0.0025,-0.0013849883160809255-2.9486783967938865E-11i,-6.372377688224774E-4-4.32368366969935E-11i
0.007696969696969697,0.0025,-0.0011942756673484732-2.9656284766938656E-11i,-6.268397285865446E-4-4.191370399363554E-11i
0.007939393939393939,0.0025,-0.0010719334646852603-2.9759680728863804E-11i,-6.088236539280449E-4-4.066474098088296E-11i
0.008181818181818182,0.0025,-9.495912620220608E-4-2.986307669078934E-11i,-5.837462661683632E-4-3.9415663418857923E-11i
0.008424242424242424,0.0025,-8.317263454933215E-4-2.987494761553358E-11i,-5.548601165445667E-4-3.8139451561705994E-11i
0.008666666666666666,0.0025,-7.264036270501046E-4-3.001089739085614E-11i,-5.306906934229977E-4-3.692752441956457E-11i
0.008909090909090908,0.0025,-6.558447788264442E-4-2.996257260588E-11i,-5.017018837655214E-4-3.576111676344883E-11i
0.009151515151515152,0.0025,-5.852859306027846E-4-2.9914247820903636E-11i,-4.680362256700338E-4-3.459671476644382E-11i
0.009393939393939394,0.0025,-5.160592940564243E-4-2.990235040623708E-11i,-4.3290564984561875E-4-3.352209743324178E-11i
0.009636363636363637,0.0025,-4.634951746123588E-4-2.975783784875485E-11i,-4.2660360235884223E-4-3.23407479818756E-11i
0.00987878787878788,0.0025,-4.213870345083472E-4-2.964914989209219E-11i,-3.9970111723667986E-4-3.1222173715087556E-11i
0.010121212121212121,0.0025,-3.7984790468219764E-4-2.951457759036954E-11i,-3.6895158881193536E-4-3.017403248820504E-11i
0.010363636363636363,0.0025,-3.4297139801693806E-4-2.9373115735674784E-11i,-3.4776152848264245E-4-2.9161034399679566E-11i
0.010606060606060605,0.0025,-3.1004197748542815E-4-2.915521000017034E-11i,-3.3791055277815725E-4-2.8092774385279522E-11i
0.010848484848484849,0.0025,-2.857952083734458E-4-2.8947665094832723E-11i,-3.1530283842321627E-4-2.7092029929232856E-11i
0.01109090909090909,0.0025,-2.5988482493886347E-4-2.8722762864351922E-11i,-2.9693510190016606E-4-2.61574738972925E-11i
0.011333333333333334,0.0025,-2.339744415042807E-4-2.8497860633871125E-11i,-2.7678887836158917E-4-2.5227729611259425E-11i
0.011575757575757576,0.0025,-2.1606518937649613E-4-2.8284564424170104E-11i,-2.671205065586744E-4-2.4283066826877207E-11i
0.011818181818181818,0.0025,-1.9957666696413144E-4-2.8023695712679885E-11i,-2.5254425314736445E-4-2.3397130450331067E-11i
0.01206060606060606,0.0025,-1.830881445517667E-4-2.776282700118973E-11i,-2.366550946512686E-4-2.2515878203780705E-11i
0.012303030303030302,0.0025,-1.6749078738514033E-4-2.7516533871654865E-11i,-2.22072879616583E-4-2.1694708948156997E-11i
0.012545454545454545,0.0025,-1.5406993697376177E-4-2.7203956720806068E-11i,-2.1432905892571354E-4-2.0867545104868394E-11i
0.012787878787878789,0.0025,-1.4236965935448826E-4-2.6915639449452817E-11i,-2.0378233125388235E-4-2.0046436321686028E-11i
0.013030303030303031,0.0025,-1.320324430769746E-4-2.6636865593827124E-11i,-1.9193431596812422E-4-1.9285697703858403E-11i
0.013272727272727273,0.0025,-1.2231648779490248E-4-2.6360925337937128E-11i,-1.806850955741996E-4-1.8540552503923997E-11i
0.013515151515151515,0.0025,-1.1325402079061676E-4-2.6032714056038762E-11i,-1.7406040201150758E-4-1.7802473274323573E-11i
0.013757575757575757,0.0025,-1.0540392041208629E-4-2.5718345242953593E-11i,-1.6493086450245577E-4-1.7058020979796332E-11i
0.014,0.0025,-9.819731440547074E-5-2.5405037950403793E-11i,-1.5753444086091012E-4-1.6394532056282807E-11i
0.014242424242424242,0.0025,-9.099070839885541E-5-2.5091730657853967E-11i,-1.4956850514031542E-4-1.573651339467066E-11i
0.014484848484848484,0.0025,-8.485417528202987E-5-2.4781248457531886E-11i,-1.4317570972739485E-4-1.510163960166843E-11i
0.014727272727272728,0.0025,-7.961206092618506E-5-2.4468957715576137E-11i,-1.3672141805252648E-4-1.4445638260683526E-11i
0.01496969696969697,0.0025,-7.449845487334959E-5-2.415362249904461E-11i,-1.3016318656364727E-4-1.3825979993497839E-11i
