% Model,biological disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 5 2022, 08:43"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% r,z,mf.Jphi (A/m^2) @ freq=20000
0,-0.006,7.640602819923955E-12+1.817476935106748E-18i
1.507537688442211E-4,-0.006,5.680339582782323E-9-9.391470594859731E-16i
3.015075376884422E-4,-0.006,1.1330497911870556E-8-1.877674040260629E-15i
4.5226130653266326E-4,-0.006,1.6958115590084655E-8-2.8137634653888658E-15i
6.030150753768844E-4,-0.006,2.256319261742457E-8-3.7474153348706754E-15i
7.537688442211055E-4,-0.006,2.8145728993890347E-8-4.678629648706065E-15i
9.045226130653265E-4,-0.006,3.3705724719481944E-8-5.607406406895031E-15i
0.0010552763819095476,-0.006,3.924168783961335E-8-6.533871323458123E-15i
0.0012060301507537687,-0.006,4.472535949519006E-8-7.455490755775238E-15i
0.0013567839195979898,-0.006,5.0146723961531155E-8-8.370831065130796E-15i
0.001507537688442211,-0.006,5.550578123863659E-8-9.279892251524787E-15i
0.001658291457286432,-0.006,6.080253132650637E-8-1.0182674314957216E-14i
0.001809045226130653,-0.006,6.603697422514055E-8-1.1079177255428084E-14i
0.001959798994974874,-0.006,7.120910993453905E-8-1.1969401072937389E-14i
0.002110552763819095,-0.006,7.630873548896895E-8-1.2852574044043263E-14i
0.0022613065326633165,-0.006,8.131346767348566E-8-1.3726144244719531E-14i
0.0024120603015075374,-0.006,8.62225741941666E-8-1.458992414463202E-14i
0.0025628140703517583,-0.006,9.103605505101179E-8-1.5443913743780733E-14i
0.0027135678391959797,-0.006,9.575391024402118E-8-1.6288113042165664E-14i
0.0028643216080402006,-0.006,1.0037613977319486E-7-1.712252203978683E-14i
0.003015075376884422,-0.006,1.0490200514614454E-7-1.7947122112220808E-14i
0.003165829145728643,-0.006,1.0931245613975443E-7-1.8760226197142444E-14i
0.003316582914572864,-0.006,1.1360338640769158E-7-1.9560743495958662E-14i
0.003467336683417085,-0.006,1.1777479594995595E-7-2.034867400866947E-14i
0.003618090452261306,-0.006,1.2182668476654757E-7-2.1124017735274867E-14i
0.003768844221105527,-0.006,1.257590528574665E-7-2.1886774675774854E-14i
0.003919597989949748,-0.006,1.2957190022271265E-7-2.263694483016943E-14i
0.004070351758793969,-0.006,1.3326073994022385E-7-2.3374280092707084E-14i
0.00422110552763819,-0.006,1.3681602579299458E-7-2.409735669693547E-14i
0.004371859296482411,-0.006,1.4023964742717505E-7-2.4805953347639922E-14i
0.004522613065326633,-0.006,1.4353160484276518E-7-2.550007004482045E-14i
