% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 10:53
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000
0                         -0.006                   1.3999629818695195E-7-4.129357781184663E-7i
3.0303030303030303E-4     -0.006                   2.1070154967218585E-4-6.214901855644865E-4i
6.060606060606061E-4      -0.006                   4.1958162012836617E-4-0.0012376076952148028i
9.090909090909091E-4      -0.006                   6.267802076667281E-4-0.0018487654647290676i
0.0012121212121212121     -0.006                   8.316491457620588E-4-0.002453051647689476i
0.0015151515151515152     -0.006                   0.0010320320281660032-0.00304410565947274i
0.0018181818181818182     -0.006                   0.0012277607369228294-0.003621431615483946i
0.002121212121212121      -0.006                   0.0014186127485956302-0.0041843731556168275i
0.0024242424242424242     -0.006                   0.0016027255105661498-0.00472743645252355i
0.0027272727272727275     -0.006                   0.0017796822547469747-0.005249392197522918i
0.0030303030303030303     -0.006                   0.001949453922612283-0.005750154678950088i
0.003333333333333333      -0.006                   0.002110827604267885-0.006226146270372887i
0.0036363636363636364     -0.006                   0.002263262646883599-0.006675772249682133i
0.00393939393939394       -0.006                   0.002406759050459427-0.007099032616877829i
0.004242424242424242      -0.006                   0.00254082530735176-0.007494477609920874i
0.004545454545454545      -0.006                   0.0026650243047575068-0.007860817910563447i
0.0048484848484848485     -0.006                   0.0027793893925280324-0.008198151888228955i
0.005151515151515152      -0.006                   0.0028837665634039687-0.008506025279642913i
0.005454545454545455      -0.006                   0.0029781571093149364-0.008784441895017052i
0.005757575757575757      -0.006                   0.0030627154681635055-0.009033857267696432i
0.006060606060606061      -0.006                   0.0031373928903808876-0.009254127604873428i
0.006363636363636364      -0.006                   0.003202472897051891-0.009446089186363442i
0.006666666666666666      -0.006                   0.0032584369996458197-0.009611162288889231i
0.0069696969696969695     -0.006                   0.0033052851981626727-0.009749346912450805i
0.007272727272727273      -0.006                   0.0033433231705222916-0.00986154469137533i
0.007575757575757576      -0.006                   0.0033734544021599344-0.009950420566179721i
0.00787878787878788       -0.006                   0.003395706781448695-0.010016056797022182i
0.008181818181818182      -0.006                   0.0034102581413707513-0.010058977924028366i
0.008484848484848484      -0.006                   0.0034182375832156257-0.010082514369400315i
0.008787878787878787      -0.006                   0.003419823646399427-0.010087192756948573i
0.00909090909090909       -0.006                   0.003415071454618143-0.010073175680770013i
