% Model:              Forward_FEM.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 4 2022, 16:43
% Dimension:          3
% Nodes:              81
% Expressions:        48
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.03
-0.04                     -0.04                    0.003                    6.34072987384148E-4+8.129588084310897E-5i         6.512951326431762E-4+8.400115216335203E-5i        -5.899016943451457E-5-7.821320127208563E-5i       1.2547368911671852E-4+1.898790747160845E-5i       4.7354502609865085E-5+3.508349986301158E-6i       -5.4905517797629484E-5+1.5518372885385644E-5i     2.500417846736365E-5+2.534941545775227E-7i        6.995940417493468E-6-1.2313797441492413E-6i       -6.810711446869405E-6+4.917458501459805E-6i       5.556513524827132E-6+9.999710316880696E-8i        9.585342716060823E-7-9.572171054240768E-8i        -1.3128116269128677E-6+1.5060338823749776E-6i     4.535332982341929E-5+3.030470639115248E-6i        1.247421232489596E-4+1.8763777626288757E-5i       -5.662714021294722E-5+1.482327072926899E-5i       4.017607178789494E-5-5.31226761323476E-7i         4.045705808398414E-5-5.716492161833288E-7i        -1.6903048547450745E-5+1.0134790005040303E-5i     1.3893414185536827E-5-1.4874982959393877E-6i      9.166750227585618E-6-1.718280196343082E-6i        -3.364132690011455E-6+3.0241601722080454E-6i      4.301307663092348E-6-2.836452004125099E-7i        1.9807940902752706E-6-3.064349132446867E-7i       -8.442602662726118E-7+1.0267189905233617E-6i      6.9533929429458014E-6-1.3136892351255708E-6i      2.5173754778804254E-5+3.129450942003617E-7i       -6.488602184205837E-6+4.9646632067930065E-6i      9.334525197658603E-6-1.7223184766534674E-6i       1.4352114185144395E-5-1.4850687572998165E-6i      -3.2366167000896945E-6+3.090552518577182E-6i      5.331236173860681E-6-9.33864939767778E-7i         5.391451092593176E-6-9.491423455221025E-7i        -1.1041632975648038E-6+1.2837846139656958E-6i     2.065021990159671E-6-1.520416495692995E-7i        1.4961754521675046E-6-1.4856742202771357E-7i      -4.898861566006229E-7+6.702599703184535E-7i       9.793388092926183E-7-1.040564689107286E-7i        5.600824096333506E-6+8.744084950401134E-8i        -1.3136554939561986E-6+1.4984596083070386E-6i     1.9691716029772006E-6-2.994404660343041E-7i       4.288045117165032E-6-2.86991366964563E-7i         -8.918575486681053E-7+1.0296909677119748E-6i      1.49047104881045E-6-1.474938588572196E-7i         2.0760997025100387E-6-1.5893828797233024E-7i      -4.859957211402256E-7+6.702797958321195E-7i       5.151262590431466E-7+9.439780867611185E-8i        5.120525479955153E-7+9.676514794847512E-8i        -2.881173170130501E-7+5.207380145061377E-7i
-0.03                     -0.04                    0.003                    9.193040854023457E-6-1.5230874727502943E-6i       0.0013667223351155047+1.2721068335633294E-4i      5.16195778677596E-4-1.5046258598826092E-4i        2.925721063434274E-4+5.804783053426081E-5i        1.5308358643890063E-4+2.3728693163703818E-5i      -1.436940867080201E-4+2.7412695297684107E-6i      5.4059711388306395E-5+4.294273330304007E-6i       1.7808884782062875E-5-1.3583849142125656E-6i      -1.8843668514602612E-5+1.0206681789428476E-5i     1.153813916241037E-5+1.2831051514234667E-7i       2.5821864492937518E-6-3.394624798180473E-7i       -2.8746319152478133E-6+2.5024037576963906E-6i     2.7549363531515305E-6-3.2816013325725335E-6i      1.551391903662466E-4+2.3265206022804253E-5i       -6.729966063711548E-5+1.7624299693965383E-5i      5.185280493671973E-5+3.304171002805958E-6i        8.048408063079216E-5+3.436464584037391E-6i        -3.6694868180848594E-5+1.5957663923512423E-5i     2.3782159281638182E-5-7.065311674142317E-7i       1.9729120272359682E-5-2.585572480022995E-6i       -7.819475153360143E-6+6.185869359013537E-6i       7.643309031448598E-6-4.237769678191563E-7i        4.160234387879491E-6-6.489157980250364E-7i        -1.6435093152102976E-6+1.7062979209923365E-6i     1.569043345061347E-6-1.5183010441183935E-6i       2.8836460600592975E-5-6.495796470003722E-7i       -7.323401464555031E-6+6.194265779519692E-6i       9.168090438587613E-6-1.6346510170965968E-6i       2.1975754292295124E-5-2.614342443446008E-6i       -5.275111036699115E-6+5.058089730130354E-6i       7.177368909841912E-6-9.559746860895548E-7i        9.306684040794208E-6-1.7044694645750912E-6i       -2.028061655199465E-6+2.321442747249416E-6i       3.280903073546635E-6-2.5263801401224806E-7i       2.7762428203620834E-6-3.4961245715674015E-7i      -7.485444137614973E-7+9.481276774170231E-7i       2.2825155099614358E-7-2.2672538760491002E-7i      6.227873566867101E-6-1.207595478692469E-7i        -1.360410265239025E-6+1.5873017368801718E-6i      1.8080974467159901E-6-3.820727192720246E-7i       5.780885732705275E-6-6.310139919549653E-7i        -1.0507670875388933E-6+1.33288711726276E-6i       1.88306216251939E-6-2.2848826070958215E-7i        3.155359641015121E-6-3.470576131936418E-7i        -6.348863993047463E-7+8.566671320660986E-7i       9.76063988890405E-7+2.2976357319791497E-8i        9.667324613878457E-7+9.530773556049903E-8i        -3.477876114708592E-7+5.773329112382094E-7i
-0.02                     -0.04                    0.003                    -6.291186823740223E-4-8.972783915450771E-5i       6.434084367530726E-4+8.358120711525873E-5i        -9.338741367252192E-5-7.63107759973959E-5i        6.322379881485739E-4+8.818345240200494E-5i        6.372634057203844E-4+8.281095911600454E-5i        -1.0311881167477483E-4-7.490933663351052E-5i      1.2338242388292567E-4+1.9801594533405602E-5i      4.766786989409659E-5+3.0972829140411082E-6i       -5.618070342894245E-5+1.576527860928246E-5i       2.436641277545426E-5+7.612558514535782E-7i        6.191856865848433E-6-5.755884227189656E-7i        -6.887507419125696E-6+4.845138978091939E-6i       -3.817075630710531E-5-8.623474952839216E-6i       1.2858091142347534E-4+1.514990836934315E-5i       -5.4200711545497886E-5+1.9566771109490167E-5i     4.276992381247157E-5+6.094320285533446E-6i        1.343516450749926E-4+1.3364119435152241E-5i       -5.84439334655483E-5+2.0105400929677517E-5i       3.725941816110625E-5+2.0733459327543983E-6i       4.0618737836901504E-5-1.3414931016707028E-6i      -1.7174202692720012E-5+1.039193916248813E-5i      1.321822405861139E-5-3.3284224582575765E-7i       8.695107045140375E-6-9.233540283095546E-7i        -3.4245437226299757E-6+3.063179381594049E-6i      -4.203483841059415E-6-9.910110343497758E-7i       2.731272993227468E-5-1.9101968821633387E-6i       -6.952046963359204E-6+6.451038518875758E-6i       5.85729132616048E-6-6.416229229431532E-7i         2.9287307219592023E-5-3.4573655994556973E-6i      -6.722079361989766E-6+6.965365319728006E-6i       8.477209131425034E-6-4.856906988938165E-7i        1.4946354090499098E-5-2.2838781954986907E-6i      -3.3817891280926306E-6+3.5332289790443757E-6i     4.817783887321395E-6-2.377681662102645E-7i        4.975093993436036E-6-5.68005197069663E-7i         -1.2754803317888568E-6+1.419712958635571E-6i      -7.113434392247695E-7-1.302155931773155E-7i       6.050885832518764E-6-3.597725890268314E-7i        -1.2694324164190686E-6+1.6346986251878196E-6i     1.1035514173884613E-6-1.8790655497147753E-7i      6.903845878075207E-6-9.184875095119841E-7i        -1.2176954645257295E-6+1.597219961921363E-6i      1.9921866722609E-6-1.5383694218098535E-7i         4.5233951138077816E-6-5.58892163686561E-7i        -8.333411092591248E-7+1.1197621122065575E-6i      1.3845063574300227E-6-1.8282274887053314E-9i      1.688535598227046E-6+6.344854707744562E-8i        -4.988420410090409E-7+7.112204390597025E-7i
-0.010000000000000002     -0.04                    0.003                    -2.9014603770181213E-4-5.971914615739604E-5i      1.53180209950021E-4+2.4376322433307703E-5i        -1.423273386352922E-4+2.5172258489403556E-6i      6.303223570354758E-6-2.2807172406655806E-7i       0.0013172540585614006+1.2292751528532054E-4i      5.039486286392837E-4-1.5049961116512557E-4i       2.9387900352393894E-4+5.851474526889845E-5i       1.5765195362357792E-4+2.514299148211832E-5i       -1.3844772190662046E-4+2.579653753844808E-6i      5.415379295592076E-5+4.2565391865535406E-6i       1.6563977115186455E-5-3.006566299352299E-7i       -1.8584577556017528E-5+9.993467436775214E-6i      -4.835255916104727E-5-6.214179774043767E-6i       7.98495585404269E-5+3.836324656136515E-6i         -3.568199302956717E-5+1.6828413254802217E-5i      -1.7385289393375498E-6+1.3270278807471454E-6i     1.6249749503289656E-4+2.0691009351517074E-5i      -6.876667744870141E-5+1.9696002153782126E-5i      4.9200558668200334E-5+5.862341072295785E-6i       7.784536150935188E-5+5.0781173933460846E-6i       -3.3825245500707934E-5+1.492881730777377E-5i      2.2925941367533067E-5-5.472112188739951E-9i       1.8475565306466313E-5-8.494030554186478E-7i       -7.216577032504888E-6+5.637160772636869E-6i       -7.575907568429021E-6+1.8260392323215532E-7i      2.1370133049824346E-5-2.449904299947627E-6i       -4.977256777767523E-6+5.495417768219469E-6i       -1.6928697831176509E-7+7.176555476541921E-7i      3.1764855220944385E-5-3.1042453236196267E-6i      -7.606649540789632E-6+7.098988044132769E-6i       8.085485480832335E-6+1.3138206112745915E-7i       2.181923027250558E-5-2.1021257911730757E-6i       -5.17612026148929E-6+4.518310052859207E-6i        6.4636833974088555E-6-1.8457759633783098E-7i      8.43398568747611E-6-6.465060398712819E-7i         -2.07731320942831E-6+2.0343005404593553E-6i       -1.3892298044963582E-6+1.204346037787858E-7i      5.088207772272541E-6-3.629111297500684E-7i        -1.052599527916728E-6+1.4578873532908108E-6i      2.0344658596228654E-8+1.4262403774338827E-7i      7.323026244499995E-6-9.068020224978532E-7i        -1.3347683996759202E-6+1.6345912751251747E-6i     1.7199765439455359E-6-7.078148103886725E-9i       5.857095860674505E-6-6.020962103606837E-7i        -1.0439320942382992E-6+1.260850293670002E-6i      1.6661493364537139E-6-5.040992231826971E-9i       2.680583735585803E-6+5.732330116211829E-8i        -6.66779267826302E-7+8.699904632991345E-7i
0                         -0.04                    0.003                    -1.216546613664119E-4-1.9764148068124814E-5i      4.731224734631285E-5+2.963999564256295E-6i        -5.75417203977074E-5+1.5738363894540237E-5i       -6.366462976936144E-4-8.638524676313241E-5i       6.521719230554795E-4+8.220233685877885E-5i        -7.265180323066283E-5-7.402162832072182E-5i       6.480538285754361E-4+8.791258834853368E-5i        6.577703659138047E-4+7.826820986091339E-5i        -5.7469047346422886E-5-7.31451890636193E-5i       1.2338147565068734E-4+1.8879019526272655E-5i      4.682782688942693E-5+3.9229298926250635E-6i       -5.631344911912533E-5+1.5961480550130157E-5i      -3.748316111279603E-5-1.0801680982074557E-6i      4.0662167604274356E-5-1.5694192860029287E-6i      -1.752175342883909E-5+1.1452590245739856E-5i      -4.459935057595093E-5-4.696946798146282E-6i       1.2805133492164994E-4+1.4140986145772323E-5i      -5.671184985769299E-5+1.8075915585204027E-5i      3.9894229044856874E-5+5.6874655902341335E-6i      1.3038570411302185E-4+1.5971840595245158E-5i      -5.897891204590698E-5+1.5872097769095283E-5i      3.6536363648674037E-5+1.8034787089779919E-6i      3.833552185178696E-5+7.514486239618118E-7i        -1.720391070812459E-5+9.53566321175271E-6i        -8.195193435669763E-6+9.991293378352163E-7i       1.4294835912412615E-5-1.9200105272371582E-6i      -3.329421737496042E-6+3.7880886824520594E-6i      -5.683197267926989E-6+1.188982604721979E-6i       2.8376831210931E-5-2.3492074521627123E-6i         -6.515807778216433E-6+5.974840545507248E-6i       5.240157026626061E-6+3.2519264151929447E-7i       2.8040036054939747E-5-1.5433177553291818E-6i      -6.763170666218953E-6+5.26327060369934E-6i        7.952790298730947E-6-1.7972963565898325E-7i       1.3954503334851912E-5-7.603597030647476E-7i       -3.5611059753188332E-6+3.0021088554894437E-6i     -1.7480210134036814E-6+2.2753595460855392E-7i     3.93088122452358E-6-1.8365651843833242E-7i        -8.622647643018926E-7+1.164005152589304E-6i       -9.758636856812586E-7+2.8397976835526387E-7i      6.915344641176973E-6-6.898961222868235E-7i        -1.2380101454280395E-6+1.427530179054847E-6i      9.70169376818717E-7+6.195204589160721E-8i         6.879832017913003E-6-5.416404622817269E-7i        -1.2401781830036877E-6+1.34975429120158E-6i       1.7306884162983984E-6-1.9677303505091185E-8i      3.878593755222021E-6+4.3729787927862605E-8i       -9.32132397599671E-7+1.0350407815514056E-6i
0.010000000000000002      -0.04                    0.003                    -5.3528192830802236E-5-4.268201444313393E-6i      1.7112842371857525E-5-1.2300881118601984E-6i      -1.845003689177434E-5+1.0326492739289704E-5i      -2.927991917450188E-4-5.8204166979664945E-5i      1.5247528757565557E-4+2.3705471286395168E-5i      -1.3932847532894746E-4+2.168034646641686E-6i      -1.8782368616443099E-7+5.434986618372845E-7i      0.0013786940629905847+1.2461001546592378E-4i      5.186149625110064E-4-1.47377181161623E-4i         2.9404749805965534E-4+5.7736764221730295E-5i      1.5693504517482945E-4+2.476593483151726E-5i       -1.4136170022123565E-4+3.403385819336177E-6i      -2.370240184989293E-5+1.1118737933155895E-6i      1.9314009235757346E-5-2.212170406327346E-6i       -7.318094594546822E-6+6.3095490183348965E-6i      -5.093092083412331E-5-4.0674151367491906E-6i      7.672225465130018E-5+5.23945454200919E-6i         -3.515869437638784E-5+1.4244836525730973E-5i      -9.92262560689885E-8+3.592895901188267E-7i        1.585868867329342E-4+2.1457711084362377E-5i       -6.650887085781797E-5+1.7714334588410905E-5i      4.8967376766092955E-5+5.130995536336541E-6i       7.599527468804253E-5+5.9652763608576345E-6i       -3.435458393567862E-5+1.4414860950104179E-5i      -6.554650343480527E-6+9.625533373572492E-7i       8.566826759889339E-6-1.1289107538342705E-6i       -1.9495637338792333E-6+2.2660295549360606E-6i     -8.493469566213097E-6+1.0707465227617964E-6i      2.170555869461742E-5-1.7364620686224678E-6i       -5.116983312634425E-6+4.296248641890315E-6i       -2.1358490724329195E-7+2.8673524110578127E-7i     3.0384403501669E-5-1.297804088515794E-6i          -7.599505453486106E-6+5.5237774582530305E-6i      7.477718182837392E-6-2.5829591535811138E-8i       2.025021774909116E-5-7.750926457277196E-7i        -5.274534067179008E-6+4.137217686861419E-6i       -1.6542585698562346E-6+1.7266811904965355E-7i     2.6602407569216853E-6+1.599766850807068E-8i       -6.669353668802604E-7+8.684271513931751E-7i       -1.6729112591650613E-6+2.663696667580373E-7i      5.8113010817057146E-6-4.647830464514098E-7i       -1.063144916098321E-6+1.1676361661600263E-6i      -4.737327620829621E-8+9.013594378058262E-8i       7.2541267240997336E-6-5.041814924895676E-7i       -1.3684678261178982E-6+1.3535572654485467E-6i     1.4289992038680808E-6-2.0983236147939445E-8i      5.1034307502292775E-6-1.2467519839066502E-9i      -1.1890649264506446E-6+1.21675751735254E-6i
0.019999999999999997      -0.04                    0.003                    -2.462682156112423E-5-5.012678649078136E-7i       6.750384113979801E-6-9.853890921859184E-7i        -6.819286654045094E-6+4.987555260526841E-6i       -1.2518954042223482E-4-1.989363132361606E-5i      4.7777729290727E-5+3.523719552722866E-6i          -5.6377352325943464E-5+1.577415150916031E-5i      -6.28328861457153E-4-8.635560546817207E-5i        6.468778464015544E-4+8.11166355377841E-5i         -7.98471149109594E-5-7.36788216023288E-5i         6.414188858909567E-4+8.671448365789612E-5i        6.479687218172063E-4+8.095373376434354E-5i        -7.07922637265743E-5-7.306680701131577E-5i        -1.3695235440393486E-5+1.2985849894363814E-6i     8.955417086469926E-6-1.4491034333608973E-6i       -3.0270476532366864E-6+3.206971225837475E-6i      -3.75488074381699E-5-1.0850434053297834E-6i       3.9099425092235995E-5+2.2383752430053707E-7i      -1.6017207129078272E-5+9.631799523567811E-6i      -4.26216336493934E-5-5.546050874687618E-6i        1.3103412046008159E-4+1.5592640165892846E-5i      -5.705694514272617E-5+1.714305006195909E-5i       4.0474890328642794E-5+6.754093510398289E-6i       1.27988052039215E-4+1.591607855735481E-5i         -5.4461728653930276E-5+1.797591622563932E-5i      -4.892002653563382E-6+6.760840332288761E-7i       5.0003542626137845E-6-5.831198255308497E-7i       -1.241140035238202E-6+1.373769518221805E-6i       -8.617455579297866E-6+9.086879577485466E-7i       1.4730059026129023E-5-1.3170680798843833E-6i      -3.477475328794801E-6+2.9368599741359772E-6i      -5.62573270554423E-6+4.267912110791462E-7i        2.7640482357023315E-5-1.278671695217577E-6i       -6.837804276813269E-6+4.9751642947889406E-6i      4.254959009565936E-6+3.1870225865565215E-7i       2.6318934884615392E-5-5.060404933759472E-7i       -6.9610137075897134E-6+5.088828355735895E-6i      -1.3643496660931192E-6+7.641390621875183E-8i      1.6697035236770297E-6+1.1946358908576149E-7i      -5.077700652001613E-7+6.707118471108915E-7i       -1.9693416616308525E-6+2.1352903986119337E-7i     4.470375322061478E-6-2.8437483486826484E-7i       -8.875692926357768E-7+9.484608785368072E-7i       -1.0744489432421388E-6+1.3446294435473188E-7i     6.903383378526624E-6-4.5776589805459704E-7i       -1.328255162823506E-6+1.3009302636504212E-6i      7.312918024418613E-7+2.2362710742030965E-8i       5.9730212598946374E-6-8.234464076858772E-9i       -1.3109780627475312E-6+1.3855847134122516E-6i
0.030000000000000006      -0.04                    0.003                    -1.1671596887425024E-5+8.777269089988618E-8i      2.7023481605408557E-6-4.581765082968173E-7i       -2.860061136499637E-6+2.467060837130515E-6i       -5.389856226741246E-5-4.2454538321730654E-6i      1.7063095978706464E-5-6.564658145693462E-7i       -1.934800748666296E-5+9.633383272778756E-6i       -2.9222010750586125E-4-5.568318908774359E-5i      1.5855711879624073E-4+2.42469953237989E-5i        -1.5122525653564478E-4+3.062241363070012E-6i      -1.3589330880327201E-5+2.5916813676724374E-7i     0.0013105685061922015+1.2118455800504883E-4i      5.01651497010073E-4-1.477190397982181E-4i         -7.8577308985781E-6+8.6302623986653E-7i           4.346167014784837E-6-7.35598085148874E-7i         -1.6581992844158229E-6+1.662691771252476E-6i      -2.3284481899987206E-5+5.226058387435887E-7i      1.897149700195758E-5-9.783506189884087E-7i        -7.696708569265764E-6+5.251643926098309E-6i       -4.9964418750202195E-5-4.019859429337128E-6i      7.828097063004475E-5+5.879125209674935E-6i        -3.398433456217983E-5+1.4539833368240292E-5i      -2.9153109586853776E-6+1.6559778533433117E-6i     1.562188635187146E-4+2.2648297252119028E-5i       -6.758543309801776E-5+1.7084421011485312E-5i      -3.3182480030584576E-6+3.9581321668049543E-7i     2.7696988250952237E-6-2.5563591410768434E-7i      -7.845617313762438E-7+8.697720767804372E-7i       -7.017873378219513E-6+7.67826060654406E-7i        9.006423220105715E-6-8.95161616160165E-7i         -2.155231142843315E-6+1.8331893165947216E-6i      -8.718318657535162E-6+6.620988828092603E-7i       2.115130467677203E-5-1.1560913119943288E-6i       -5.245235289659786E-6+3.9788317362421894E-6i      -1.2725323744881188E-6+6.508115264959821E-7i      2.833111878735049E-5-9.78887808486583E-8i         -7.603652565076155E-6+5.419324734069492E-6i       -9.702146152138318E-7-2.1280853237993746E-8i      9.696960640963126E-7+1.4578196664143847E-7i       -3.789191213964221E-7+5.486227118689598E-7i       -1.869512662411631E-6+1.4602598328086499E-7i      3.162759260377024E-6-1.4969246257252778E-7i       -6.890736498852624E-7+7.506788071843357E-7i       -1.7834112790145898E-6+1.6519198348299593E-7i     5.7024075606098935E-6-3.07898289918133E-7i        -1.1273538043680283E-6+1.1341997237038615E-6i     -2.103862460155041E-7+3.415146726019227E-8i       6.197696372077463E-6+6.322248682061581E-8i        -1.4036068595900863E-6+1.4458369982353392E-6i
0.04                      -0.04                    0.003                    -5.612864792309764E-6-1.4324644920213255E-8i      9.950601899499613E-7-1.2404921460396415E-7i       -1.41551308073013E-6+1.4353578098671631E-6i       -2.4821250382685595E-5-6.43222270435434E-7i       6.7431966402151105E-6-6.673024595597296E-7i       -6.785394848791596E-6+4.719240075795642E-6i       -1.262112128672424E-4-1.829452607997658E-5i       4.622384982163614E-5+3.462662488857699E-6i        -5.647897349049497E-5+1.5043127129208892E-5i      -6.499108345895825E-4-8.317537051873286E-5i       6.189087074325863E-4+8.082783560419755E-5i        -6.032431914328282E-5-7.890150522267246E-5i       -4.515520397260183E-6+5.050069610753264E-7i       2.1160973808521386E-6-3.376798281862052E-7i       -9.031282773341791E-7+9.767272688525913E-7i       -1.3898445062565813E-5+7.678006793668713E-7i      8.86655548197893E-6-6.988865566871793E-7i         -3.350195613284407E-6+2.638082219361396E-6i       -3.879082762876432E-5-6.97480030068643E-7i        3.860197034967693E-5+7.151768801755818E-7i        -1.6413321638822272E-5+9.117037705178648E-6i      -4.7054171945583464E-5-3.549522298360936E-6i      1.259974407405384E-4+1.8132028798856768E-5i       -5.449270521471329E-5+1.5954106679748928E-5i      -2.108670968479105E-6+1.91794317065917E-7i        1.5292353641918052E-6-9.864364306136608E-8i       -5.124096013505835E-7+6.308067929790964E-7i       -5.33139412965421E-6+5.892345022087185E-7i        5.345046549976021E-6-5.114091718877733E-7i        -1.2555275039631116E-6+1.120343029962128E-6i      -9.005012683226024E-6+8.191984589109033E-7i       1.3960673349561186E-5-8.029196187787072E-7i       -3.446154675131541E-6+2.65581528543783E-6i        -6.83504482682072E-6+7.252179122365314E-7i        2.481711855858834E-5+3.917777554602007E-7i        -6.859220797606676E-6+4.737635062234861E-6i       -5.162867219537268E-7-1.0974389891745509E-7i      5.111299888970562E-7+1.237235487084186E-7i        -2.9749522621680185E-7+5.062467259606431E-7i      -1.5043462757485022E-6+5.469544287257E-8i         2.082968094383349E-6-6.189338423300259E-8i        -5.189782994998483E-7+6.291932534929747E-7i       -1.989057064478303E-6+1.2743101465686124E-7i      4.281943734647632E-6-1.6057032521926255E-7i       -9.174348571906396E-7+9.688815655787337E-7i       -9.743496277747987E-7-3.4735801558723704E-8i      5.559678377987806E-6+1.5951437176292051E-7i       -1.3564738028634579E-6+1.4606648036431654E-6i
-0.04                     -0.03                    0.003                    0.0013022885874692954+1.2438078992835997E-4i      -1.111001364904158E-5+3.485627774213484E-7i       5.755580638076678E-4-1.4292337068993457E-4i       1.5770667957888183E-4+2.3978440460301878E-5i      3.6406780234373207E-6-2.865167522278446E-6i       -6.754477760972965E-5+1.7322921614176042E-5i      2.9130676779644073E-5-6.694742275317566E-7i       1.5701358923896125E-6-1.508136616171161E-6i       -7.654732149120193E-6+6.109156557367794E-6i       6.200018125711052E-6-1.347266574151484E-7i        2.2275822160254003E-7-2.288711693029091E-7i       -1.3363419928794371E-6+1.5781250984615317E-6i     1.562273532309413E-4+2.3987534745287268E-5i       2.962418699255324E-4+5.759983301342487E-5i        -1.3941242305970153E-4+1.7263099789067635E-6i     8.054131036840615E-5+3.6365973461934686E-6i       5.1599460296058774E-5+3.3277501153021046E-6i      -3.558194122190545E-5+1.6253927339734714E-5i      2.21967407702652E-5-2.5879104933588193E-6i        9.391548851750393E-6-1.628430869288482E-6i        -5.22220856784428E-6+5.133629668142176E-6i        5.753335317511262E-6-6.183182184324288E-7i        1.8025383484960893E-6-3.8042931767656263E-7i      -1.0271725653236204E-6+1.3241573545073448E-6i     1.7441910303982446E-5-1.4002855778908869E-6i      5.391164644408503E-5+4.309389265636913E-6i        -1.9416192364502675E-5+1.0055134942010961E-5i     1.9698047515838656E-5-2.483473352184099E-6i       2.3913822181369864E-5-6.609090030500525E-7i       -7.72127630690678E-6+6.182032128316937E-6i        9.34690760881272E-6-1.7097600720710755E-6i        7.218694769493139E-6-9.703831595359403E-7i        -2.0128066093211366E-6+2.3243441295715493E-6i     3.1577363721427374E-6-3.460460061464568E-7i       1.8742001938670786E-6-2.2430062153825634E-7i      -6.211261101424853E-7+8.586266902578408E-7i       2.6190006092413695E-6-3.4123663581952156E-7i      1.1538648261910944E-5+1.256242325001822E-7i       -2.827316823709444E-6+2.505524675666836E-6i       4.161312566109669E-6-6.45366347237994E-7i         7.607520072461337E-6-4.015240319168068E-7i        -1.6415649936730761E-6+1.720894020019562E-6i      2.7630964414935364E-6-3.4728883174724895E-7i      3.290260446115689E-6-2.560171838523624E-7i        -7.54747010028577E-7+9.476740682990278E-7i        9.597648799615517E-7+9.604159457678954E-8i        9.762964913478654E-7+2.712752672101205E-8i        -3.531712190652725E-7+5.750469958011533E-7i
