% Model:              Forward_FEM.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 4 2022, 16:26
% Dimension:          3
% Nodes:              81
% Expressions:        48
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.03
-0.04                     -0.04                    0.003                    6.416771544533323E-4+8.344425208448242E-5i        6.447026777469177E-4+8.346373502399654E-5i        -5.6037650848432324E-5-8.227086579352187E-5i      1.203024813565413E-4+1.8741120435175642E-5i       4.8569195962561894E-5+3.5654323147513503E-6i      -5.5243892417981757E-5+1.471343161355366E-5i      2.5378206571212077E-5+1.6444910342353383E-7i      8.796857880303359E-6-1.9046873301859374E-6i       -7.224050617785941E-6+5.523824661224454E-6i       5.724261447617016E-6+5.9621543662275725E-9i       1.286014899286558E-6-3.442301353748364E-7i        -1.3514467333783793E-6+1.646704936604767E-6i      4.711716212670065E-5+3.2702608390079195E-6i       1.2234286475773265E-4+1.9146840349126402E-5i      -5.680649888592802E-5+1.4199180703411264E-5i      4.702628801445089E-5+9.505695499911906E-7i        4.712858634671171E-5+7.780371836125546E-7i        -1.9618627848797387E-5+1.2529534541697081E-5i     1.6579632673385037E-5-2.0684803706369945E-6i      1.271226746830504E-5-2.6247285843810903E-6i       -4.167422007148701E-6+4.362287081392319E-6i       4.585535454793739E-6-5.147255503021109E-7i        2.4333958894000097E-6-6.579980990434946E-7i       -8.680591319189057E-7+1.2648195437049148E-6i      8.82625874808301E-6-1.8958199593001705E-6i        2.557481672564482E-5+1.3123559999708968E-7i       -7.231177489746796E-6+5.433885467065752E-6i       1.2521381358701756E-5-2.657801546265375E-6i       1.672430351502374E-5-2.0694756915270305E-6i       -3.876953500436984E-6+4.452602684470951E-6i       6.52417005978341E-6-1.637598492177491E-6i         6.60201277313517E-6-1.615066914969515E-6i         -1.2630895390215122E-6+2.0136525474900685E-6i     2.2867106993540543E-6-3.449822868610077E-7i       1.7513453806459909E-6-3.6539981565258446E-7i      -5.02183777730936E-7+8.278146416187593E-7i        1.260782191291526E-6-3.372217506298082E-7i        5.704870951193065E-6+1.75862081077464E-8i         -1.307640158817597E-6+1.6464155261854314E-6i      2.431137642547302E-6-6.56214951760378E-7i         4.590585869226141E-6-5.153696603581203E-7i        -8.885983425234242E-7+1.2765496010742268E-6i      1.7520479078134571E-6-3.7086016383329887E-7i      2.300178332894749E-6-3.475197328473369E-7i        -4.93480044322499E-7+8.198500396712716E-7i        5.974763012053357E-7+2.796565797849503E-8i        5.896017803160843E-7+3.079990811217138E-8i        -2.9890736099553754E-7+5.788210813220239E-7i
-0.03                     -0.04                    0.003                    3.256634130172076E-6-3.4039851818987556E-6i       0.001347641514163526+1.2360139559612214E-4i       5.216185760560125E-4-1.553108041729409E-4i        2.8161562773594486E-4+5.763362364718597E-5i       1.526880696384562E-4+2.3152508407069412E-5i       -1.3994567811435112E-4+6.542550443036365E-7i      5.326148745726272E-5+5.1367122217834145E-6i       2.053367915564935E-5-1.8983767532839226E-6i       -1.985922430162611E-5+1.0712284698925347E-5i      1.1553630241016587E-5+2.458341588409562E-7i       3.139146263744092E-6-6.721195161007562E-7i        -2.8229001725329166E-6+2.747352738136615E-6i      1.2416811332814745E-5-2.185756643111644E-6i       1.5289136629424135E-4+2.3887090766484874E-5i      -6.528486263396359E-5+1.7725591284768933E-5i      5.77601991115083E-5+6.26753048413092E-6i          9.566945249155246E-5+9.47048479310917E-6i         -4.388529194258506E-5+1.9327275289977825E-5i      2.5217942132515116E-5-3.535397579395139E-7i       2.6385153396844982E-5-3.11535002693595E-6i        -1.0024616745612752E-5+8.444267786669147E-6i      7.71980633044422E-6-4.04049648788472E-7i          5.049359812994278E-6-1.1412158563471278E-6i       -1.9100301497746315E-6+2.16617863159178E-6i       5.099185629117078E-6-2.1967102896672477E-6i       3.155164065150508E-5-9.092404089144192E-7i        -8.5608813162974E-6+7.766912309457546E-6i         1.3204083179764899E-5-2.0279523508540303E-6i      2.819456811298987E-5-3.018792167148168E-6i        -7.823899803107315E-6+7.571835014365377E-6i       8.417672784859615E-6-1.3343311583224663E-6i       1.196249554534797E-5-2.643219191217172E-6i        -2.8564665721673127E-6+3.6586656388184916E-6i     3.4872904191815053E-6-3.5146655358162264E-7i      3.334407015287939E-6-6.946508208387047E-7i        -9.004849612290217E-7+1.2947011610510015E-6i      7.853086266001809E-7-5.374817183694532E-7i        6.739951387366015E-6-4.1082415111008166E-7i       -1.5231307809479664E-6+1.965552877533976E-6i      2.4453337943365208E-6-7.296682177291617E-7i       6.6179313315213785E-6-1.053630808359847E-6i       -1.3511534878843026E-6+1.9143178549905807E-6i     2.2087161443256467E-6-4.132391716058579E-7i       3.7532934786996276E-6-6.948388559097622E-7i       -7.694440681963236E-7+1.228607973948984E-6i       1.0649759371658302E-6-1.8631870122540054E-8i      1.156517171490459E-6-1.2496915433837589E-8i       -4.03008042744594E-7+6.923841198363366E-7i
-0.02                     -0.04                    0.003                    -6.232050429075629E-4-8.752183857151791E-5i       6.201484935646159E-4+7.675767889150272E-5i        -6.089353960833524E-5-7.897668596346542E-5i       6.069990651011122E-4+8.513281985086983E-5i        6.357775421088135E-4+7.501905313271796E-5i        -6.060471943737254E-5-8.20158130467313E-5i        1.1827869716669751E-4+2.1126603178831115E-5i      4.55516121008986E-5+2.886740563816365E-6i         -5.620250022551543E-5+1.4691844739427007E-5i      2.3497826489702685E-5+1.2571029387190468E-6i      6.6822212265425355E-6-6.997114486226957E-7i       -6.900795081728027E-6+4.866016347694422E-6i       -2.778192864712965E-5-6.948983579057301E-6i       1.3519589509836826E-4+1.8510791253631637E-5i      -6.331201805063872E-5+1.9391021601961923E-5i      3.838529924394401E-5+5.9059695570437055E-6i       1.497576667561888E-4+2.218644249573223E-5i        -7.190425574232206E-5+2.067355123350468E-5i       3.3177805873479565E-5+3.05039927983748E-6i        4.669633786861207E-5-9.323135958049141E-7i        -1.885966386177726E-5+1.2561711278718567E-5i      1.2583199923736799E-5+1.290546462004624E-7i       9.485271342970003E-6-1.251209764870396E-6i        -3.777902941948998E-6+3.3662077968915504E-6i      -1.4069684583126297E-6-1.4327504270790063E-6i     3.397750224586102E-5-1.9581824049988054E-6i       -1.025576693843578E-5+8.91150489596901E-6i        6.6983245092609435E-6-5.721566295812064E-7i       3.90301905198764E-5-2.82173368822332E-6i          -1.1949874787066892E-5+1.0054902490536617E-5i     8.10168793749275E-6-9.108635167547701E-8i         1.855635643605463E-5-3.0059687391417754E-6i       -4.88892115297005E-6+5.18472306491242E-6i         4.5787990010523655E-6-5.539832857594789E-8i       5.647985891566314E-6-8.840197001327218E-7i        -1.4906935308280094E-6+1.7838647158964073E-6i     -3.630698233964473E-7-2.9638474985879896E-7i      7.2533775558925E-6-7.835999666298225E-7i          -1.6814488889405784E-6+2.2762843568710096E-6i     1.2906380939340935E-6-2.530956224071134E-7i       8.515695678681283E-6-1.517456595055919E-6i        -1.733384921611834E-6+2.4793802937778625E-6i      1.9792903125700365E-6-1.1271469534647824E-7i      5.357554223682243E-6-9.298153942472202E-7i        -1.1306437676102354E-6+1.592969905871349E-6i      1.3410124436643566E-6+3.091290004347861E-8i       1.9469785592764826E-6-4.4921557169232886E-8i      -5.896035056659133E-7+8.528382861188496E-7i
-0.010000000000000002     -0.04                    0.003                    -2.7943740822352194E-4-5.979361887510065E-5i      1.5123525907165866E-4+2.3679312627660387E-5i      -1.3619680204242281E-4+7.911934953876132E-7i      -3.5516717250685985E-5+1.0054955710265385E-6i     0.001318661919609185+1.1599107734605797E-4i       5.241656195608919E-4-1.5594201933046117E-4i       2.9088685571358806E-4+5.884046738750901E-5i       1.5183331963644696E-4+2.5358624774238323E-5i      -1.3813041109595131E-4+7.830363149584417E-7i      5.377607003339367E-5+4.7830311493284895E-6i       1.5870097819529646E-5+1.5098077074414664E-7i      -1.906134686898643E-5+9.437848575634256E-6i       -4.403643014104459E-5-6.8365465007909376E-6i      9.5414505509639E-5+9.528484794189721E-6i          -4.458479589574478E-5+1.9408850454301086E-5i      -1.0471657451573026E-5-1.6008094649773452E-6i     1.6997650662693668E-4+2.643253822231308E-5i       -7.549773270253246E-5+2.1096649846784988E-5i      4.450944365417861E-5+6.971989477091094E-6i        7.761712867224561E-5+5.62303677786516E-6i         -3.414923598449738E-5+1.5331066533249307E-5i      2.2093993266223346E-5+6.690164154915093E-7i       1.8126892348940978E-5-6.283486938902286E-7i       -7.532858965393681E-6+5.356570859532586E-6i       -8.753080907810222E-6+1.8831123747155125E-8i      2.88337245366668E-5-2.772120543144646E-6i         -8.405719338146566E-6+8.334486214041168E-6i       -3.8270315194493286E-6+9.65745683128741E-7i       4.0092618850895864E-5-2.6284512359300737E-6i      -1.2378303198577213E-5+1.0178824828576259E-5i     6.386849214927476E-6+9.086281622950192E-7i        2.389872204843773E-5-2.4486963089950796E-6i       -6.0780560086366985E-6+5.8115061647350434E-6i     6.121638114950688E-6+1.0997616859221288E-7i       8.72692879691008E-6-7.45354990847446E-7i          -2.314480262018452E-6+2.2500463938494056E-6i      -1.6729925849926702E-6+1.9632607400918232E-7i     6.411417679358273E-6-8.64458285580753E-7i         -1.4201190335100588E-6+2.1538601471472704E-6i     -4.804730494124473E-7+3.9484228764438094E-7i      8.833231800189694E-6-1.4989539786971785E-6i       -1.7612103992065222E-6+2.482904990641055E-6i      1.3421485116030414E-6+2.2596265104926918E-7i      6.51175210397683E-6-8.724638471493164E-7i         -1.2819531888453907E-6+1.6837384627210368E-6i     1.5368564945764021E-6+8.308809443933768E-8i       2.825222254650164E-6-1.1017339678233559E-8i       -7.30137963893329E-7+9.641794800944756E-7i
0                         -0.04                    0.003                    -1.1758445156306773E-4-2.033095898015666E-5i      5.068808266368532E-5+2.9141361704763225E-6i       -5.6354895103473976E-5+1.621305401190178E-5i      -6.352967880532564E-4-8.420035556412522E-5i       6.344152944647919E-4+7.483419367627171E-5i        -5.2510140694704555E-5-7.972930976987897E-5i      6.347363918289456E-4+8.71426817610822E-5i         6.394887059590305E-4+8.228152861690353E-5i        -7.867630318562566E-5-7.799703244696152E-5i       1.262538948764403E-4+1.9507565506082162E-5i       4.636816058500344E-5+4.4335477497604555E-6i       -5.5395220218508326E-5+1.579007253240647E-5i      -4.290560330987353E-5-3.09043761206647E-6i        5.491227686454075E-5+9.358638626216038E-7i        -2.3936074114953428E-5+1.4670922766588963E-5i     -5.1140553196902E-5-6.933221848709924E-6i         1.3077074548384262E-4+1.629171135841577E-5i       -6.064640894535047E-5+1.8486350459554066E-5i      4.093520844788119E-5+7.099225616630224E-6i        1.2680065946070305E-4+1.643999312459886E-5i       -5.6174214121561215E-5+1.611867178202672E-5i      3.707547127223813E-5+1.97837671622576E-6i         3.864688218919661E-5+1.162104121356109E-6i        -1.6357755453810585E-5+9.624824981418386E-6i      -1.1095729161436938E-5+1.4362126776017814E-6i     1.8709811417466204E-5-2.6946884234377524E-6i      -5.0339637751941925E-6+5.7838077832600395E-6i     -1.0356072282692602E-5+1.7948023326953757E-6i     3.1939649250798096E-5-2.486640311378192E-6i       -8.85052164194867E-6+7.656054105061857E-6i        3.834966174855269E-6+9.877626225273687E-7i        2.81878348379948E-5-1.5523206105032184E-6i        -6.934346904393176E-6+5.7427871177536595E-6i      7.684956634475052E-6+1.1975964789592787E-9i       1.3629515058335711E-5-6.813320880362124E-7i       -3.488027742228414E-6+2.9820116070292953E-6i      -2.249968820011358E-6+5.041183577412216E-7i       4.571321412650992E-6-5.410823194465614E-7i        -1.0159768127944469E-6+1.5880377980897135E-6i     -1.6277431891879506E-6+6.690569852029546E-7i      7.484258071023314E-6-1.0111338610386046E-6i       -1.4076208408872646E-6+1.8757115038241796E-6i     6.5170676435178E-7+3.0074883961764135E-7i         7.0325414285340085E-6-6.584734201929374E-7i       -1.2863665290374534E-6+1.5353043338152682E-6i     1.641245129156013E-6+5.102657535834318E-8i        3.901461249598473E-6+3.1714260986103587E-8i       -9.417046328405486E-7+1.0750406791018478E-6i
0.010000000000000002      -0.04                    0.003                    -5.3710355558661594E-5-4.534584066784216E-6i      2.0264965355979238E-5-1.4697488788352178E-6i      -1.99165146246265E-5+1.0661953916654948E-5i       -2.904052526018055E-4-5.828810189554296E-5i       1.5193638030196145E-4+2.468865013814981E-5i       -1.3731221527849875E-4+2.4471044044522183E-7i     9.594112800253435E-6-9.797948749116516E-7i        0.0013565461858578334+1.2503656795375835E-4i      5.340236591308486E-4-1.4881054152211077E-4i       2.946406303047659E-4+5.743963377898302E-5i        1.594714167741966E-4+2.5890960205419575E-5i       -1.4380507042123975E-4+3.2356967779996427E-6i     -2.923277739431749E-5+5.962313544903731E-7i       2.6266154986596394E-5-2.188461423574554E-6i       -9.649813603624902E-6+8.511766911680185E-6i       -5.3052783786188566E-5-4.466113408518708E-6i      7.51282434415556E-5+5.315710094498429E-6i         -3.417746660967205E-5+1.5104056161273768E-5i      -9.11308349168954E-7-2.532759924200495E-7i        1.5449026441356848E-4+2.2053115521928978E-5i      -6.486880375928628E-5+1.7381936665490086E-5i      4.978401966510463E-5+5.322551703035826E-6i        7.741371085320655E-5+6.633020952789612E-6i        -3.471804425184108E-5+1.4431739940487911E-5i      -8.919588229471534E-6+1.6873898452433367E-6i      1.0524585838379631E-5-1.834659937512318E-6i       -2.5090599953811344E-6+3.2424932934221824E-6i     -1.1024130856258212E-5+1.738353693630017E-6i      2.2392744880732584E-5-1.9447384404296175E-6i      -5.511071159366279E-6+5.13693169111389E-6i        -8.68372985255907E-7+6.022976639210033E-7i        3.0023225634235E-5-1.0627246186748313E-6i         -7.76754536284536E-6+5.592433617766961E-6i        7.525003933429415E-6+3.5598870662982487E-8i       2.0198709152164127E-5-6.277196186269413E-7i       -5.304889815315115E-6+4.059687185404767E-6i       -1.9882813705389993E-6+4.201172229174562E-7i      2.891327024329048E-6-1.6921790635406634E-7i       -7.006283128351473E-7+1.0386869415122091E-6i      -2.027794649875943E-6+5.467778392227144E-7i       5.963841225103454E-6-5.713439589204876E-7i        -1.125700193421344E-6+1.33949690421056E-6i        -1.79494635669111E-7+2.261616367719952E-7i        7.258007066762554E-6-4.857316023648289E-7i        -1.41753291801099E-6+1.4055203091643373E-6i       1.4003601107436472E-6+1.3171116702494375E-8i      5.0647928519985364E-6+3.120814717039828E-8i       -1.1592495227819873E-6+1.235363521325947E-6i
0.019999999999999997      -0.04                    0.003                    -2.496238252705011E-5-3.3406156887705713E-7i      8.592198828536855E-6-1.3543368425226188E-6i       -6.943543849015692E-6+5.3001257648011815E-6i      -1.1914602239890492E-4-1.9410769479404245E-5i     4.522142332908795E-5+3.6523610422390893E-6i       -5.585042373706147E-5+1.4653636184499636E-5i      -6.287727998027088E-4-8.717567394437015E-5i       6.44398081800887E-4+8.075575760948275E-5i         -7.58184976598446E-5-7.464756165909867E-5i        6.375103504886711E-4+8.957131795313695E-5i        6.503566730084755E-4+8.380737183332805E-5i        -6.564981861733547E-5-7.58462257255296E-5i        -1.7397506945739974E-5+1.4520304211126697E-6i     1.2318376096435692E-5-1.8481220157534308E-6i      -3.966790813381226E-6+4.117290821470165E-6i       -3.81958970041489E-5-1.2714688136383739E-6i       3.718246394882332E-5+1.966139361175255E-7i        -1.728522763260037E-5+9.316411512484121E-6i       -4.266391201434655E-5-6.257158548687489E-6i       1.279796724868596E-4+1.577692162137105E-5i        -5.837662861942107E-5+1.5983537308532315E-5i      4.0099759506595864E-5+6.449790842327964E-6i       1.282749413136207E-4+1.628550232967397E-5i        -5.6598782827674634E-5+1.7127481394479672E-5i     -6.116756202049313E-6+1.2042534444205255E-6i      5.679362770964245E-6-9.619847473747453E-7i        -1.3117556663317868E-6+1.7150105940436762E-6i     -9.602600181373114E-6+1.2896465811545477E-6i      1.4507344132600358E-5-1.3482831158687764E-6i      -3.507960006323831E-6+3.1185776497683434E-6i      -5.864407474974374E-6+4.6783915599200046E-7i      2.7429565486425814E-5-1.0184893745739185E-6i      -6.7614929043339555E-6+5.065269453990844E-6i      4.43086098264861E-6+3.137390499550624E-7i         2.6276894095920243E-5-4.4207784141249483E-7i      -6.873743080736957E-6+5.095789687579913E-6i       -1.5335523030076518E-6+2.2577950881590948E-7i     1.739687529914859E-6+4.376168178149761E-8i        -4.965996588089534E-7+7.229938144221923E-7i       -2.1397133266122637E-6+3.627483598004743E-7i      4.524987653338568E-6-3.1439482787449363E-7i       -9.192664612342072E-7+9.863081854398283E-7i       -1.115985318143708E-6+1.972658531480405E-7i       6.793433485290939E-6-4.020480616892234E-7i        -1.2965356852939636E-6+1.293535083942967E-6i      7.021248917253874E-7+3.563709027937158E-8i        5.9242167767972704E-6+3.980956419423693E-8i       -1.3078498496181285E-6+1.3334934398964298E-6i
0.030000000000000006      -0.04                    0.003                    -1.2180876179215964E-5+3.0816190405630964E-7i     3.8015444960775293E-6-6.94720365205804E-7i        -2.787834732756324E-6+2.5967298340672795E-6i      -5.178554343073477E-5-4.3942460787708574E-6i      1.609623928274114E-5-4.4690879218872363E-7i       -1.9375439626541913E-5+9.400720360147074E-6i      -2.91403792582935E-4-5.702742314919408E-5i        1.54333387483884E-4+2.4269002568303664E-5i        -1.4094132139365236E-4+2.8058782255716767E-6i     7.667378518640307E-6+2.4956303166477622E-6i       0.001362278946409912+1.2488368531937173E-4i       4.8444388196406665E-4-1.4883198458873355E-4i      -1.010383284721866E-5+1.1132272561292062E-6i      5.9767075083243895E-6-1.075738451651412E-6i       -1.8206091153659082E-6+1.973535418186105E-6i      -2.348879033072661E-5+3.015567380140732E-7i       1.7542788909265466E-5-9.277342278075436E-7i       -7.632396835959922E-6+5.217541996003438E-6i       -4.980953683011565E-5-4.43585789101313E-6i        7.589736876704444E-5+5.974166355830262E-6i        -3.267623894207519E-5+1.4398586052789953E-5i      -3.859692165868829E-6+1.3384333046390833E-6i      1.5550632293126303E-4+2.2748309838745785E-5i      -6.745238513943094E-5+1.7226712539294807E-5i      -3.965238181041924E-6+7.153553599250848E-7i       3.082139870280463E-6-4.6361633509602787E-7i       -7.887321279679816E-7+9.732759160786444E-7i       -7.499351375757604E-6+8.94802262937847E-7i        8.890390431665127E-6-8.604434994475415E-7i        -2.1459759318211903E-6+1.912800663656033E-6i      -8.701566895480852E-6+5.928801759229874E-7i       2.0947774140122253E-5-1.0074818625892124E-6i      -5.204177856579566E-6+3.980129648422232E-6i       -1.2060435385343924E-6+6.192795493969454E-7i      2.840726821815898E-5-5.259081848975919E-8i        -7.461851925427178E-6+5.449982390317201E-6i       -1.0520322559283977E-6+5.8459863725281425E-8i     9.813683303850111E-7+1.1644509911945533E-7i       -3.7360142643731845E-7+5.602283555540643E-7i      -1.9341537949573826E-6+2.0850188499595516E-7i     3.1347489020891235E-6-1.4310594300943808E-7i      -6.938004519657828E-7+7.654882374641454E-7i       -1.7845714530071612E-6+1.7619164041420193E-7i     5.682127117353398E-6-2.796205781509757E-7i        -1.148310332664917E-6+1.1418571281929943E-6i      -2.1003391742631232E-7+3.2541948620695604E-8i     6.215051665741246E-6+6.876024286934514E-8i        -1.4080445670089564E-6+1.4518197660046495E-6i
0.04                      -0.04                    0.003                    -6.168784331948387E-6+1.980872126437235E-7i       1.6913094711044006E-6-2.7461661277239113E-7i      -1.3923643091349184E-6+1.4572129662418466E-6i     -2.3848699168122133E-5-6.544043419030612E-7i      6.543415432674775E-6-5.616836267140775E-7i        -6.70365601037955E-6+4.762936086602725E-6i        -1.2941859607649254E-4-1.9650247394520177E-5i     4.739069788623797E-5+3.9613256045793856E-6i       -5.649965986176575E-5+1.5160877628138354E-5i      -6.418221522500609E-4-8.212033417010303E-5i       6.338026355195811E-4+8.230777026979209E-5i        -6.417985146826323E-5-7.741983440593032E-5i       -5.967300106711958E-6+7.01788124207393E-7i        2.9869693431761242E-6-5.230608065933735E-7i       -9.03911984665881E-7+9.793337721325977E-7i        -1.3482904305331712E-5+6.352408865704883E-7i      8.170396456927114E-6-6.9563041915745E-7i          -3.3578461145659998E-6+2.6732722272867414E-6i     -3.856437981390561E-5-1.0672239251920605E-6i      3.8303345633021365E-5+1.0368466025145414E-6i      -1.635235453900633E-5+9.007742715140099E-6i       -4.707094290454041E-5-3.780296503120729E-6i       1.2577018850452577E-4+1.794110513255633E-5i       -5.6947711273190664E-5+1.5005195244600878E-5i     -2.5054959011181334E-6+3.8270150911482297E-7i     1.6565333710202917E-6-2.0086019238889238E-7i      -5.218010470332451E-7+6.408748859582458E-7i       -5.5300312059785695E-6+6.036480474913417E-7i      5.170473241915498E-6-4.874631933760265E-7i        -1.2225967894823404E-6+1.1493258810869254E-6i     -8.98406807609978E-6+7.554549822504799E-7i        1.3797751062539312E-5-7.423896742278776E-7i       -3.2667859099474913E-6+2.6972132298543376E-6i     -6.727711695111486E-6+7.012711423635585E-7i       2.4934746459410934E-5+4.4690892067696914E-7i      -6.882365304740253E-6+4.72910647021123E-6i        -5.653901422350929E-7-6.696181911615124E-8i       5.189937427130399E-7+1.0956480199493769E-7i       -2.9516036689283854E-7+5.110351173161301E-7i      -1.5354915415291505E-6+8.032302054746277E-8i      2.0687958833996555E-6-5.491248689173879E-8i       -5.120035006560075E-7+6.323265810582933E-7i       -2.0079447798196007E-6+1.1675631751013843E-7i     4.237316006451965E-6-1.3630538811822243E-7i       -8.880442317841618E-7+9.653971260799693E-7i       -9.513603807987959E-7-3.868067512707743E-8i       5.581439639183768E-6+1.6642877746387706E-7i       -1.3718611396608925E-6+1.4669482005289338E-6i
-0.04                     -0.03                    0.003                    0.0013699629282759355+1.2411078456876906E-4i      -2.639368526920075E-5-6.256660057323783E-6i       5.953166790479715E-4-1.4934498290952706E-4i       1.5306826752703125E-4+2.3787116647720042E-5i      1.0043587092147736E-5-2.273476058014363E-6i       -6.835234945213415E-5+1.7185943582628718E-5i      3.142498469531704E-5-9.921389436305674E-7i        5.112235412601052E-6-2.2398201377471184E-6i       -8.87014666948788E-6+7.688561759022934E-6i        6.743189574506117E-6-3.851351072879915E-7i        7.768663792536316E-7-5.376709134458915E-7i        -1.550215572183758E-6+1.9669185603787755E-6i      1.5238531250938051E-4+2.313356735817525E-5i       2.83231371334242E-4+5.6853404616241736E-5i        -1.3537993889138449E-4+5.065458320127787E-7i      9.468752559624537E-5+8.838690051506274E-6i        5.853877358918271E-5+6.576271939064599E-6i        -4.494585369095153E-5+1.8392868966264148E-5i      2.8237187759676968E-5-3.0695837056907095E-6i      1.3374155539885887E-5-1.9842919914855016E-6i      -7.899131590451968E-6+7.732658375665563E-6i       6.652550114826513E-6-1.0778084403127201E-6i       2.468832697145663E-6-7.151611942610359E-7i        -1.306344071302063E-6+1.911241796043052E-6i       1.9958594456405983E-5-1.962419475272398E-6i       5.239127540614595E-5+5.086851436861362E-6i        -2.0000029743653285E-5+1.0549352453329553E-5i     2.615410470234612E-5-3.1165743415041785E-6i       2.510935079387327E-5-2.968743274000327E-7i        -9.894401243132697E-6+8.427006354635472E-6i       1.2125918975621081E-5-2.702997866512239E-6i       8.454432853201765E-6-1.324220907433357E-6i        -2.830420131438738E-6+3.695194507769662E-6i       3.7497256711269867E-6-6.964598429039246E-7i       2.1865705310391036E-6-4.007458515775814E-7i       -7.515210691123119E-7+1.2063317927890107E-6i      3.13889399353672E-6-6.500286345481989E-7i         1.1420897616711451E-5+2.506632893378282E-7i       -2.8293723172415E-6+2.7104049814492E-6i           5.073001312398397E-6-1.148813319213656E-6i        7.76491185102661E-6-4.1560973750134265E-7i        -1.8990524380028469E-6+2.180281475714701E-6i      3.345621927246911E-6-6.98784161515658E-7i         3.4813913145181943E-6-3.410429422153911E-7i       -8.871498520851627E-7+1.2775079575223784E-6i      1.1550491295040538E-6-1.3041740547163592E-8i      1.0701068040801014E-6-1.9890917167859053E-8i      -4.102261396164172E-7+6.897171468318309E-7i
