% Model:              Forward_FEM.mph
% Version:            COMSOL 6.0.0.318
% Date:               Oct 6 2022, 15:28
% Dimension:          3
% Nodes:              81
% Expressions:        48
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.03
-0.04                     -0.04                    0.003                    6.460917284233539E-4+7.82876384215099E-5i         6.272819379427939E-4+8.289425919518323E-5i        -6.984513331090384E-5-6.119501828564504E-5i       1.1105933218694445E-4+1.5460453999227404E-5i      3.92472468219428E-5+5.339006893355272E-6i         -5.851601221307679E-5+1.803230626883887E-5i       1.6596970857656335E-5-6.653236884565158E-7i       3.271091505161863E-6+4.6736775266341895E-8i       -7.938495017944744E-6+5.452462285062093E-6i       1.967908949056494E-6-6.232476848349432E-7i        -2.71360509672126E-7+1.6007147529575715E-8i       -1.4642897324856583E-6+1.3736394157595067E-6i     3.88286026347665E-5+5.254540522498878E-6i         1.1160611191934613E-4+1.5583581287877163E-5i      -5.81137671425576E-5+1.8176459386828847E-5i       2.949868603671006E-5+1.0848803675776307E-6i       2.9404272843541805E-5+1.066876762935426E-6i       -1.8456985573783814E-5+9.896138833943888E-6i      7.179336875384E-6-8.569196869341916E-7i           4.382228807251716E-6-3.984622391105374E-7i        -3.808946455453232E-6+2.9446490600411567E-6i      1.3429466134098522E-6-4.3808227636659063E-7i      5.636897898632294E-7-1.3924032869316062E-7i       -8.192561181334176E-7+8.047521321678751E-7i       3.2827034243339483E-6+4.987745186913774E-8i       1.6577278319723212E-5-7.074131628756892E-7i       -7.895457372827157E-6+5.425868241184213E-6i       4.3782659747971805E-6-3.9131388752034255E-7i      7.265366616827827E-6-8.552562538375306E-7i        -3.7912340695930277E-6+2.9522824986829406E-6i     2.677479804050976E-6-3.23956886707903E-7i         2.683463898822441E-6-3.210310074479198E-7i        -1.1172040312877962E-6+1.0438184907579001E-6i     9.076666524940959E-7-2.8645596078373253E-7i       8.579769214527212E-7-1.643020234776135E-7i        -2.872535371282841E-7+3.0888222464880904E-7i      -2.8213104338331997E-7+1.8234380150343986E-8i     1.9736899892799277E-6-6.286273821690261E-7i       -1.4867549915742492E-6+1.3752420796324505E-6i     5.564300338905241E-7-1.3617578899725796E-7i       1.3503076284554273E-6-4.406110232244605E-7i       -8.224275422998066E-7+8.04267346855242E-7i        8.545312607167993E-7-1.641374057665599E-7i        9.017879922226427E-7-2.8558983712292433E-7i       -2.888954406875615E-7+3.06650104722915E-7i        1.0559381340040435E-7-1.726726529721161E-7i       1.056730186313339E-7-1.7283999988013934E-7i       -1.5639661488721383E-7+1.5418826902062896E-7i
-0.03                     -0.04                    0.003                    7.307807936688272E-6+1.625583421959397E-7i        0.0013029077094308611+1.2110101734518375E-4i      5.128517096256103E-4-1.3372729387014584E-4i       2.867436248849925E-4+5.2236494205587253E-5i       1.4857322878048093E-4+2.585310537300638E-5i       -1.410389833800446E-4+8.203349004695385E-6i       4.353483998824128E-5+2.1321901921639463E-6i       1.152484407910756E-5+7.722300405309784E-7i        -2.090986380084348E-5+1.0839736306722198E-5i      6.284557929996445E-6-9.098180173699181E-7i        3.4105099172126443E-7+4.3326500989974906E-8i      -3.2101711105435353E-6+2.6273811511600625E-6i     1.8694518323015313E-6+1.5187533717356518E-7i      1.3830205979176155E-4+2.0575531710502767E-5i      -6.884004631336704E-5+1.893724056226149E-5i       4.2204431658298194E-5+4.010124184096502E-6i       6.383719233685938E-5+5.985910206605458E-6i        -3.611614748154242E-5+1.4812534687507113E-5i      1.5223174148319124E-5-6.703697036139535E-7i       1.1523382282610892E-5-3.7837458955615854E-7i      -8.234078395340193E-6+5.562367761636465E-6i       3.3021504070585182E-6-6.584887871557831E-7i       1.6345823846479373E-6-2.659910282421859E-7i       -1.7253940520197042E-6+1.5197526040194452E-6i     1.1685468822992249E-7+1.0729016207172877E-7i      1.88653035075561E-5-6.014987976307675E-7i         -8.642646247108117E-6+5.663192987589796E-6i       5.343438083235798E-6-2.7424654870593476E-7i       1.2125341110520421E-5-9.195177995239883E-7i       -5.940347630985332E-6+4.0544391229412754E-6i      4.068058354879193E-6-4.4474611850923913E-7i       5.287385660366039E-6-5.341712503378209E-7i        -2.1601847914255244E-6+1.7868422433964775E-6i     1.375727833313563E-6-4.0818713848794254E-7i       1.631820710290922E-6-3.2280226405115175E-7i       -6.367730725061249E-7+6.214637665061328E-7i       -2.1228709657606653E-7+6.79392676129114E-8i       2.067756577904129E-6-5.873341373035613E-7i        -1.4186764103391548E-6+1.3086827618642543E-6i     8.006116030547398E-7-1.41695267361964E-7i         2.0678518899679634E-6-5.45026197254895E-7i        -1.0206368182072981E-6+9.680102325438482E-7i      1.197869700073943E-6-2.044923070476602E-7i        1.65327956067461E-6-4.4104874301781563E-7i        -4.833304919242233E-7+4.90069408893472E-7i        2.7464477083420915E-7-2.0727339100653565E-7i      2.9102435393159943E-7-2.729254726227883E-7i       -2.3203841439010653E-7+2.4929335738611285E-7i
-0.02                     -0.04                    0.003                    -6.471951314821346E-4-8.271030884531461E-5i       6.427429536034427E-4+7.669616217537232E-5i        -4.3300323782355984E-5-6.408547665370345E-5i      6.220471412183327E-4+7.844696454949044E-5i        6.363707804070081E-4+7.986135710182503E-5i        -5.826628118988178E-5-6.32631371422435E-5i        1.1089449590130353E-4+1.537330929814374E-5i       3.885725516041992E-5+5.160864522991862E-6i        -5.821700731462333E-5+1.8082028057111234E-5i      1.6753929567339488E-5-8.05265672119937E-7i        2.768781971808833E-6+1.05739936442981E-7i         -7.921471830674934E-6+5.40428963191327E-6i        -3.628656606652266E-5-4.823835991478762E-6i       1.1193655338512481E-4+1.5004446076896942E-5i      -5.9385651805895886E-5+1.7925067898783156E-5i     3.6944495484741836E-5+4.989897600956255E-6i       1.1205723981517523E-4+1.4898094375013404E-5i      -5.8438234076652205E-5+1.794719254440286E-5i      2.8131784873452925E-5+7.778004968267665E-7i       2.8024632840719425E-5+8.815514952034006E-7i       -1.7597142139001118E-5+9.935195287451087E-6i      7.396890184093724E-6-8.286255015522037E-7i        4.463990934158581E-6-4.213902043381643E-7i        -3.824496260566738E-6+2.9582497321426678E-6i      -3.1726216330798836E-6+1.9593486768703823E-7i     1.7060360625759597E-5-7.135454159933593E-7i       -7.696724394678227E-6+5.192219567512803E-6i       3.975989033343412E-6-4.2107561875232995E-8i       1.7210978992951084E-5-8.715961108372776E-7i       -7.637606712710496E-6+5.071760350659455E-6i       5.335261628236762E-6-4.4582333398624564E-7i       9.394879297134728E-6-7.172998435193132E-7i        -3.7403205303388866E-6+2.838747262203474E-6i      2.0947308264688694E-6-5.309087310371109E-7i       2.964179585458784E-6-5.368900300643439E-7i        -1.2326366810415802E-6+1.131936299793947E-6i      -3.9035820490505736E-7+1.1331604464129416E-7i     1.8664238786176482E-6-5.497703968533143E-7i       -1.2768612469473128E-6+1.1851858300295409E-6i     7.67585138208538E-7-1.1835085401638905E-7i        2.800607639709985E-6-6.736907057515703E-7i        -1.2278384897839024E-6+1.1225321062181763E-6i     1.4295898816540592E-6-2.2140667862058207E-7i      2.739957606498416E-6-6.264083005253786E-7i        -7.513694040372564E-7+7.237457927137435E-7i       4.32295926828851E-7-2.3958892232378665E-7i        6.321067099531109E-7-4.0046384352352284E-7i       -3.7404198062965535E-7+3.9940942860157576E-7i
-0.010000000000000002     -0.04                    0.003                    -2.806074824190776E-4-5.155354512595867E-5i       1.4468408446617468E-4+2.5926175340056177E-5i      -1.3817113793876097E-4+8.647999912427014E-6i      -3.6823977248111274E-5-1.3330324956956237E-6i     0.0013246149909503365+1.230187241163869E-4i       5.049829606067363E-4-1.3479449645507208E-4i       2.8122229392046525E-4+5.17478189639799E-5i        1.4397547435166986E-4+2.611730245536221E-5i       -1.3960461890940128E-4+8.727674220838352E-6i      4.3194240680329514E-5+1.9704794002975727E-6i      1.056175034331024E-5+7.338360155695377E-7i        -2.1060605447209286E-5+1.0832362017568538E-5i     -4.14048791780626E-5-3.849146228875701E-6i        6.340629675732204E-5+5.9545190970952154E-6i       -3.6543267660369636E-5+1.4893758067302515E-5i     1.8524249234953653E-7+2.1621985500519937E-7i      1.3844139872863753E-4+2.0194478886417205E-5i      -6.84537666090334E-5+1.8938284176183677E-5i       4.047317287620797E-5+3.70326407251627E-6i         6.279459292249563E-5+5.920567370628531E-6i        -3.5623763324943436E-5+1.5000106513336981E-5i     1.5377451204414464E-5-5.705431364459896E-7i       1.1532075629794918E-5-3.4252600072846525E-7i      -8.386044941948206E-6+5.580265374834401E-6i       -4.8502280671990265E-6+3.590531550842375E-7i      1.2276220073474258E-5-7.939120207468443E-7i       -5.851721873616149E-6+4.184099256857842E-6i       8.131321370383688E-7+1.1750447207577754E-7i       1.983164956263779E-5-8.42177918432384E-7i         -8.401433976618455E-6+5.472966411092856E-6i       5.622932295993181E-6-3.271220476242572E-7i        1.4816272020723682E-5-7.720594284106727E-7i       -5.78839721535223E-6+4.0283179172024745E-6i       3.016236654601529E-6-5.877413893584182E-7i        5.1656805198201664E-6-7.734863247299041E-7i       -2.285457808321299E-6+1.910966833339375E-6i       -4.844766222163808E-7+1.44139943230786E-7i        1.3599720885485005E-6-4.7032965981030887E-7i      -1.0853060538868632E-6+1.0300618779809463E-6i     4.879883212850191E-7-5.940847624160202E-8i        3.397246549888788E-6-7.957694913984397E-7i        -1.3188803021345235E-6+1.202084403417614E-6i      1.3421633452042425E-6-1.9224959031251719E-7i      4.031307523912519E-6-8.221420968136439E-7i        -1.0631864030163953E-6+9.839558034188003E-7i      5.314142754983995E-7-2.487745075586613E-7i        1.149515276108799E-6-5.498952041536892E-7i        -5.858858889616518E-7+6.003841494158989E-7i
0                         -0.04                    0.003                    -1.103312062874193E-4-1.5050588430448939E-5i      3.8091201228337946E-5+5.149991475614504E-6i       -5.836228969896506E-5+1.8098792614797664E-5i      -6.317308859122867E-4-8.15913130393954E-5i        6.178869067060556E-4+8.195929269128578E-5i        -5.09881832360011E-5-6.728189263612233E-5i        6.291041942072322E-4+8.057083689319179E-5i        6.295760693727397E-4+7.994531608520596E-5i        -7.002413416597491E-5-6.368845186950518E-5i       1.1018608226117311E-4+1.5171030448604759E-5i      3.82158538431468E-5+5.347646689481056E-6i         -5.780805054878728E-5+1.827823450228058E-5i       -2.8601106152528532E-5-8.970829432963369E-7i      2.871465358758726E-5+9.977412947013457E-7i        -1.8610968227673153E-5+9.835312234923744E-6i      -3.767962445273368E-5-5.147043823373448E-6i       1.1314233211997258E-4+1.5398675923063387E-5i      -5.782120503963845E-5+1.810609850292101E-5i       3.730569040350461E-5+5.0474433310072615E-6i       1.1135172327544392E-4+1.5195818817335461E-5i      -5.800700052826404E-5+1.7861483626588278E-5i      2.836604228703909E-5+9.83192427076808E-7i         2.8626548169054792E-5+1.1478902243708545E-6i      -1.824562429226225E-5+9.836285699906089E-6i       -4.374465508299624E-6+4.623778152410458E-7i       7.299092345409914E-6-7.439812436355346E-7i        -3.729315014723753E-6+2.9031071293238505E-6i      -2.420708617236416E-6+3.016296700378995E-7i       1.8308007324269204E-5-9.112395381234287E-7i       -7.603309955360086E-6+5.060963240924363E-6i       3.421478704933349E-6-2.35696291058089E-7i         2.0078829295302358E-5-7.278654333523502E-7i       -7.692445484175092E-6+5.114022754185948E-6i       3.902018281867208E-6-5.454485514905085E-7i        8.524513696127904E-6-9.464137138788797E-7i        -3.7956538926063426E-6+2.9625161402337765E-6i     -4.5053009011406046E-7+1.6426537884556995E-7i     8.249615765105797E-7-4.007766276180813E-7i        -8.023620311911444E-7+8.068854386741236E-7i       3.366531144948803E-8+3.592925668346176E-8i        3.5010322041334407E-6-8.414810853940211E-7i       -1.273979592535808E-6+1.1629008305926418E-6i      7.524908072606166E-7-1.1122315986153726E-7i       5.111006489432822E-6-9.559442794429997E-7i        -1.319062219586677E-6+1.1878742282281824E-6i      4.774755481284601E-7-2.0842631113713318E-7i       1.7272670458751961E-6-6.833226470317749E-7i       -8.4121534190478E-7+8.346605135213096E-7i
0.010000000000000002      -0.04                    0.003                    -4.3411730665890376E-5-2.016649644959337E-6i      1.085817330730274E-5+7.84290766364602E-7i         -2.0908879996371224E-5+1.0930616629981768E-5i     -2.853956593996856E-4-5.162184693876951E-5i       1.4801624886284E-4+2.597274632962893E-5i          -1.4014115965120782E-4+8.531293654107531E-6i      2.715557620279459E-5+1.7986897450653153E-6i       0.0013821102395512267+1.244367290743815E-4i       5.443536481293773E-4-1.3475498122600562E-4i       2.8066140560988284E-4+5.172977110046701E-5i       1.4384718960674394E-4+2.5566425653954933E-5i      -1.3805587582081864E-4+7.432452227987187E-6i      -1.5676378332887534E-5+5.199254623176434E-7i      1.1617422078923513E-5-3.1541203651519256E-7i      -8.331367696173126E-6+5.580953870237851E-6i       -4.1863359228802983E-5-3.948362749179744E-6i      6.323696919425368E-5+5.928202826843118E-6i        -3.533971556170351E-5+1.4952248479393198E-5i      -5.456129562937564E-7-1.1237148794121029E-7i      1.3834227452368442E-4+2.0715796610002017E-5i      -6.839277686195715E-5+1.8905870707253903E-5i      4.161024263983366E-5+3.854220747667725E-6i        6.297720539221406E-5+6.2139985242066E-6i          -3.6299519339429425E-5+1.4945271409093516E-5i     -3.0551125674856092E-6+4.6564568983449694E-7i     3.874641831239427E-6-6.078573350820416E-7i        -2.2136772528338672E-6+1.8811688590769162E-6i     -4.203358222243053E-6+4.992193827064895E-7i       1.4371993975591019E-5-9.91012134546346E-7i        -5.638710294296868E-6+4.10213023504693E-6i        -4.86686531945417E-7-1.1362938380909818E-7i       2.1981347063486394E-5-7.381076759970168E-7i       -8.293705399517522E-6+5.587178922579635E-6i       4.039044019278165E-6-4.0353962531687046E-7i       1.2873641138771953E-5-9.427917594884322E-7i       -5.884520131029716E-6+4.1595205263695E-6i         -3.131235488827336E-7+1.6749295906921875E-7i      3.5679723615777074E-7-3.1642181788617E-7i         -5.759670871667907E-7+6.002401006158742E-7i       -4.1656780281439703E-7+1.471001355802379E-7i      3.1752590647422055E-6-8.201496763211104E-7i       -1.0802981724144187E-6+1.0154406864471047E-6i     -1.836926691253177E-7+1.1160835712637949E-8i      5.438123758803007E-6-9.939368144072042E-7i        -1.3823488188140153E-6+1.2631145399962117E-6i     2.8850553179722203E-7-1.3263368147458865E-7i      2.2248598876820753E-6-7.591889861427285E-7i       -1.10612863517749E-6+1.0607426692082002E-6i
0.019999999999999997      -0.04                    0.003                    -1.6775841195408585E-5+8.458121938218821E-7i      2.728781022178712E-6+1.122505603260128E-7i        -7.837971703212962E-6+5.422499469564112E-6i       -1.1015296814485068E-4-1.5026712804438793E-5i     3.928061760510599E-5+5.269983793085753E-6i        -5.744494551524528E-5+1.8265737627736102E-5i      -6.327526156706146E-4-7.885832768191948E-5i       6.333413732451179E-4+8.09214361815456E-5i         -7.597013259187538E-5-6.374654098020835E-5i       6.541992550747707E-4+7.847858674120952E-5i        6.536838527819264E-4+8.21205821870923E-5i         -4.449267676277682E-5-6.35313553502154E-5i        -7.5819934437554065E-6+8.042959777484436E-7i      4.363527436824419E-6-3.9886837036558274E-7i       -3.777189316730283E-6+2.9366406061801106E-6i      -2.881001289661145E-5-1.0784699791918E-6i         2.9227408385433892E-5+9.947605064961138E-7i       -1.8368514371791604E-5+9.701612429311414E-6i      -3.698900656338806E-5-5.060867611577426E-6i       1.0981335046658934E-4+1.4789683910707794E-5i      -5.8049790219928866E-5+1.7970407809272563E-5i     3.6044479526245605E-5+4.830248848862467E-6i       1.102108305206398E-4+1.5079565172389827E-5i       -5.920987588336633E-5+1.7812524544719114E-5i      -1.8125625271686745E-6+4.0924635689908175E-7i     1.8569231653438488E-6-4.5050317225574956E-7i      -1.2430887719607031E-6+1.1496222172128871E-6i     -4.392553435670611E-6+6.274439386922301E-7i       9.692161753242986E-6-8.882607928643197E-7i        -3.8167044770958785E-6+2.914802819237396E-6i      -4.245362127413889E-6-1.1566834419057474E-9i      1.933962130507325E-5-8.351739822740214E-7i        -7.665814284185682E-6+5.131696611545672E-6i       2.51440652804797E-6-2.483823932109629E-7i         1.6816082402416673E-5-7.83821473076678E-7i        -7.859831773063895E-6+5.174706100140697E-6i       -1.489038862482681E-7+1.5962666502340218E-7i      6.332012470816278E-8-2.459005973702633E-7i        -3.801534940860529E-7+4.1965268366868663E-7i      -7.484690077113929E-7+2.400919884385638E-7i       2.532410045750712E-6-7.135037401857097E-7i        -8.112006376236331E-7+7.897763166321141E-7i       -1.0702097968325757E-6+1.3220216921827437E-7i     4.807855542121638E-6-9.222147477603938E-7i        -1.2946205898506348E-6+1.1813031221048848E-6i     3.7094113374394665E-8-5.0820973364814507E-8i      2.474422436592905E-6-7.710249113839349E-7i        -1.33048371722293E-6+1.2155072576052421E-6i
0.030000000000000006      -0.04                    0.003                    -6.302499464648004E-6+9.259527534306241E-7i       3.5797669556265313E-7+3.281432880698122E-8i       -3.2152212812372054E-6+2.6366570108885547E-6i     -4.3627504002679266E-5-2.0586182547158415E-6i     1.1701234915844971E-5+7.263951238997308E-7i       -2.083592168055043E-5+1.0915265840547803E-5i      -2.8001165718614734E-4-5.178677322347912E-5i      1.4521937311930686E-4+2.6224825646466193E-5i      -1.4179796174380562E-4+9.20873983018748E-6i       3.306940155850481E-5+7.424626872457903E-7i        0.0013196324395661758+1.2217436752750394E-4i      5.036668963351781E-4-1.3498144474717236E-4i       -3.3681085238426103E-6+6.117434434132917E-7i      1.5045901603622013E-6-2.571463907872381E-7i       -1.7029559610666008E-6+1.5196762395292786E-6i     -1.564939847908177E-5+5.630279746645528E-7i       1.2150007416252908E-5-3.657026393173863E-7i       -8.293601023264608E-6+5.531879100033032E-6i       -4.146369012380846E-5-3.879076859938642E-6i       6.248296689722251E-5+5.963930782638217E-6i        -3.631067163172412E-5+1.4733777964764653E-5i      -1.0746976366787558E-6-1.8494299841264315E-7i     1.382704254845743E-4+2.0949657903760596E-5i       -6.885867486471652E-5+1.9019020045540167E-5i      -9.418331227923744E-7+3.254926788643713E-7i       8.038092597660164E-7-2.981478199368016E-7i        -6.691006774264208E-7+6.75066222100515E-7i        -3.633576079117875E-6+6.548957151814193E-7i       5.958790047361274E-6-6.457730654215529E-7i        -2.2219975665106274E-6+1.8313133243266627E-6i     -5.94660505250607E-6+2.1571404242349722E-7i       1.3820644729370862E-5-9.662907381951416E-7i       -5.667366069564201E-6+4.086318101369713E-6i       -5.38176441673607E-7-1.469929706485123E-7i        1.8550832095514863E-5-6.998685473328655E-7i       -8.477912207515266E-6+5.661268062204308E-6i       5.321650058278567E-9+1.4170131666553916E-7i       -9.750397116597825E-8-1.7732164097200305E-7i      -2.4986373781301525E-7+2.8633512510722035E-7i     -8.419529231160128E-7+2.873551965096378E-7i       1.7342279331164237E-6-5.399454246791397E-7i       -5.352681140975083E-7+5.483603983727716E-7i       -1.4892383580149166E-6+2.0874650965289355E-7i     3.6136344052156857E-6-7.56890185344916E-7i        -1.0454562507548502E-6+9.675853862682805E-7i      -1.2656338173463742E-7-1.086809992533498E-9i      2.426998389816265E-6-7.477341483308166E-7i        -1.430244639512334E-6+1.3093657098580238E-6i
0.04                      -0.04                    0.003                    -1.971356527908059E-6+6.177631284699511E-7i       -2.742089055968324E-7+1.1949305086029184E-8i      -1.48953695394889E-6+1.374214927042754E-6i        -1.664310866953947E-5+7.074319926470245E-7i       3.3284177664930338E-6+2.774917566151827E-8i       -7.912068430269987E-6+5.427523458814015E-6i       -1.1256137294818238E-4-1.5937134629257768E-5i     3.948916084471591E-5+5.418718552651768E-6i        -5.8887331151015227E-5+1.7942747668516087E-5i     -6.350148844247752E-4-8.066107396731298E-5i       6.283137364414712E-4+8.131733582394364E-5i        -6.625185215118038E-5-6.334586846429272E-5i       -1.2964118618578908E-6+3.9890579493835915E-7i     4.561897491653738E-7-1.4512476769390067E-7i       -8.545256279925667E-7+8.200658088187713E-7i       -7.623113277708311E-6+8.095620540537625E-7i       4.82778064138906E-6-3.959453322617031E-7i         -3.825937779420526E-6+2.9155725224586427E-6i      -2.8201968007896798E-5-9.688379171070185E-7i      2.800662235109274E-5+1.0012921217564307E-6i       -1.7743267979119983E-5+1.00435134004376E-5i       -3.865040009427346E-5-5.443163730479446E-6i       1.1104434431113378E-4+1.585190077642095E-5i       -5.8635743875904556E-5+1.806751624832004E-5i      -3.8953467531022723E-7+2.4309369831415966E-7i     3.1890104242638474E-7-1.8219467402166973E-7i      -3.735892366804792E-7+3.9442911577644147E-7i      -2.8139522028044133E-6+5.257230034681428E-7i      3.3079385644879027E-6-3.507244197703676E-7i       -1.1456602452770878E-6+1.0240313669235432E-6i     -5.299658562939374E-6+3.9179386155192526E-7i      8.263778448818073E-6-8.527411495016997E-7i        -3.7382979458202344E-6+2.871637085243711E-6i      -3.217779178177352E-6-8.131035025688649E-8i       1.6229245809081385E-5-7.471883023149128E-7i       -7.961578129449303E-6+5.457021398617076E-6i       1.631620956547109E-7+1.2229514338089307E-7i       -1.3105855106365823E-7-1.2677937816890668E-7i     -1.9124782169026145E-7+2.0611763549467322E-7i     -7.406919041359478E-7+2.8031235564247673E-7i      1.0425132153783314E-6-3.5054748092334187E-7i      -3.2951364972144257E-7+3.3578213513171883E-7i     -1.4357547059325047E-6+2.2904466066500965E-7i     2.3386896628529653E-6-5.597624129737192E-7i       -7.576254797465536E-7+7.207894792705046E-7i       8.52562434214434E-9+4.654104150017847E-8i         2.146288906252284E-6-7.178098391494555E-7i        -1.4413080463903084E-6+1.3456499392427527E-6i
-0.04                     -0.03                    0.003                    0.0013414536259903766+1.2283015645993928E-4i      -3.979934925247555E-6-5.948939832331186E-7i       4.876349333522317E-4-1.3626656265022888E-4i       1.3905135845015078E-4+2.0642171217124832E-5i      3.590742818170673E-7-2.2146807058116532E-7i       -6.888500123665187E-5+1.895139389486734E-5i       1.892141102178649E-5-6.164727699870133E-7i        1.734145632722096E-7+1.1915525631884688E-7i       -8.637129176607476E-6+5.692276573563977E-6i       2.0549303970193205E-6-5.854681727983525E-7i       -2.098725580540502E-7+7.123842203407342E-8i       -1.4006011681539332E-6+1.3036785669267615E-6i     1.462943433160862E-4+2.6051246746843337E-5i       2.837811057673664E-4+5.206739273782565E-5i        -1.4075939478191588E-4+8.853782033229493E-6i      6.232332830127308E-5+5.647340193822691E-6i        4.213096955478866E-5+3.8488043210135375E-6i       -3.637544611356472E-5+1.468747647469304E-5i       1.2202974927882358E-5-9.595713230960615E-7i       5.149616023380213E-6-2.843594658756169E-7i        -5.708402682335915E-6+4.10042373597972E-6i        2.05502493659137E-6-5.435887832339963E-7i         8.012298018885317E-7-1.417763622772671E-7i        -1.0364433087422312E-6+9.641556464863175E-7i      1.1607933110859308E-5+7.25502492785165E-7i        4.3909424563383544E-5+2.144875451482898E-6i       -2.0788864196826857E-5+1.0893666025939755E-5i     1.149689600307655E-5-3.659986915710044E-7i        1.5196954647222325E-5-6.530336405026238E-7i       -8.439407203372758E-6+5.5268766468759335E-6i      5.267727370649282E-6-5.262184149741677E-7i        4.046819292124218E-6-4.4094249912158013E-7i       -2.142214171724744E-6+1.7812353434346435E-6i      1.6662903044109097E-6-4.445060422734801E-7i       1.1987670452974139E-6-2.0427978049963956E-7i      -4.911053057829147E-7+4.910311386869952E-7i       3.3258233889108013E-7+4.4404339732654664E-8i      6.246542107723387E-6-9.245595157064071E-7i        -3.198101103409911E-6+2.633093272009317E-6i       1.6364736489668852E-6-2.6702564119843387E-7i      3.3418941196034505E-6-6.622565608847517E-7i       -1.7328997133891463E-6+1.5180807951813665E-6i     1.641476426542499E-6-3.2510428305802937E-7i       1.3790639595404073E-6-4.1077896394512484E-7i      -6.393695377341109E-7+6.26205379743103E-7i        2.856004531989182E-7-2.713478943413057E-7i        2.727730243383127E-7-2.0646466718969006E-7i       -2.3170521403632364E-7+2.4882714327140264E-7i
