% Model:              Forward_FEM.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 2 2022, 14:28
% Dimension:          3
% Nodes:              81
% Expressions:        48
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.03
-0.04                     -0.04                    0.003                    6.273670741567307E-4+8.24426828230911E-5i         6.516501208744281E-4+8.309060930567226E-5i        -6.71407442176907E-5-7.817169679524354E-5i        1.237733945537262E-4+1.7512306824938907E-5i       4.559326301826164E-5+3.177690871514142E-6i        -5.375264753200097E-5+1.6119021504036913E-5i      2.491246055879413E-5+4.4699265400591647E-7i       6.8380323008768285E-6-6.948024283117077E-7i       -6.6899504790210606E-6+4.763377529419857E-6i      5.579192808142342E-6+1.5793706054724911E-7i       1.002796864825456E-6+3.0527459310901475E-8i       -1.3376801950675748E-6+1.4535338204440037E-6i     4.751949200708308E-5+3.6284912018645833E-6i       1.2658957720161073E-4+1.8327722164091655E-5i      -5.607108501012873E-5+1.5360256601970668E-5i      3.816594279855506E-5+5.722455103133602E-7i        3.875150547513397E-5+6.128884288724588E-7i        -1.6098128468000378E-5+9.320172865188729E-6i      1.3716109685462853E-5-7.855830938504017E-7i       8.965130486281378E-6-7.814301562386655E-7i        -3.344926600833128E-6+2.656041491229447E-6i       4.261036238779452E-6-1.7534093499232745E-7i       2.0568767989267528E-6-1.5115725977569032E-7i      -9.202337905473528E-7+9.686800985763934E-7i       6.795582194957332E-6-7.06499446933924E-7i         2.4934431877100704E-5+4.100367095265313E-7i       -7.137148879124276E-6+4.6655004738472845E-6i      8.902502382346516E-6-7.633637872346038E-7i        1.3731035569102947E-5-7.431593108763673E-7i       -3.451027403544272E-6+2.6451084147986052E-6i      5.477577642709407E-6-5.751492632776577E-7i        5.490713387516264E-6-5.798522066927182E-7i        -1.2633247462374657E-6+1.1147669073178775E-6i     2.205229628172712E-6-1.646997386722263E-7i        1.6998993176962335E-6-1.4792473111935194E-7i      -5.325200083206347E-7+6.210359272540337E-7i       9.781925329677485E-7+2.996977005707981E-8i        5.5731923662407944E-6+1.6674079966083637E-7i      -1.355670192579455E-6+1.4536398456128617E-6i      2.0589831191564973E-6-1.5030078062881432E-7i      4.264925354289574E-6-1.7154470097008472E-7i       -9.119071039440925E-7+9.587120491882692E-7i       1.699903236100463E-6-1.4628170029033567E-7i       2.2025330754554576E-6-1.6050279397430251E-7i      -5.286873591075913E-7+6.164172922581411E-7i       5.846035003807086E-7+5.380536504335723E-8i        6.023324574607508E-7+5.1777299790574284E-8i       -2.9766489460154374E-7+4.997055194818779E-7i
-0.03                     -0.04                    0.003                    1.2751376183812481E-5-1.6928529438039889E-6i      0.001367928408358593+1.254734939583977E-4i        5.205120828029248E-4-1.476336792246656E-4i        2.951323712360363E-4+5.663646897551267E-5i        1.5654495951584416E-4+2.3993310466141442E-5i      -1.4250774271670899E-4+4.245007252628156E-6i      5.428747354556688E-5+3.8499349780563995E-6i       1.692357203250237E-5-7.559626303275809E-7i        -1.9401461476424666E-5+9.68696567469348E-6i       1.1515089630348539E-5+1.0073515323861731E-7i      2.58011426266485E-6-1.576225616349164E-7i         -2.8260272355972035E-6+2.4149827259533827E-6i     3.2956209002161436E-6-1.7358412413597611E-6i      1.5583907798616563E-4+2.2666519594079388E-5i      -6.711173866282808E-5+1.7202547046426457E-5i      5.101372567400406E-5+4.238607548021443E-6i        7.714867339831825E-5+5.688417445952944E-6i        -3.440606945592941E-5+1.4166593766069759E-5i      2.3426756978026993E-5-3.695549826473028E-7i       1.880318073945092E-5-1.000646030468281E-6i        -7.37421618902631E-6+5.306579153571512E-6i        7.50011046721426E-6-3.5299251610218204E-7i        4.222515233603796E-6-3.874027287622869E-7i        -1.72937102725329E-6+1.5734566043937568E-6i       1.0496900742656266E-6-5.838214498064812E-7i       2.843785116706302E-5-5.6732456130373334E-8i       -7.637742134356832E-6+5.3961450537775175E-6i      8.63481357345497E-6-6.574161122456055E-7i         2.0764108272341518E-5-1.1414054170469771E-6i      -5.152189733437284E-6+3.967319369435054E-6i       7.251619746148965E-6-6.74780526791912E-7i         9.324443497593573E-6-1.0010052564600374E-6i       -2.1975772708736E-6+1.8538784505799352E-6i        3.361515563763353E-6-2.658269804827839E-7i        3.042732668570658E-6-3.118131286128905E-7i        -8.349667178954239E-7+8.703903995610134E-7i       1.9709586948696044E-7-3.710289485664481E-8i       6.1653398563844825E-6+6.621940237674688E-8i       -1.4179628142711376E-6+1.4511881689897148E-6i     1.8672559490418424E-6-2.11039749826829E-7i        5.7197543652345885E-6-3.5148439733056E-7i         -1.1535347046754914E-6+1.1476868920169865E-6i     2.1040395026008268E-6-2.3753894641695926E-7i      3.3783407009639885E-6-3.207411501000138E-7i       -7.18953881555295E-7+7.673804247410187E-7i        1.0634579649434304E-6-2.5159368612912014E-8i      1.0783501355706505E-6+4.2262249210230786E-8i      -3.684290689423457E-7+5.451927952482174E-7i
-0.02                     -0.04                    0.003                    -6.28766524926776E-4-8.888052361608269E-5i        6.395211113020098E-4+8.221794216202157E-5i        -1.0170745870192099E-4-7.427509534311887E-5i      6.23355390970864E-4+8.560267867014748E-5i         6.318960519406881E-4+7.984217986936902E-5i        -9.604067419722337E-5-7.220588199397773E-5i       1.2264937992836948E-4+1.821164914761864E-5i       4.8939178302270206E-5+3.2705296628341687E-6i      -5.463674363510957E-5+1.64243915683517E-5i        2.4228354082841954E-5+5.998934942814469E-7i       6.6556240596070435E-6-4.728512181802173E-7i       -6.62030626733092E-6+4.876063603818559E-6i        -4.153202026678072E-5-6.9620077942179785E-6i      1.2878192440432805E-4+1.6229926409911278E-5i      -5.721480874828024E-5+1.704670797596906E-5i       4.2145939144060124E-5+5.277046764721148E-6i       1.2959997301955397E-4+1.5057490917992443E-5i      -5.6379138809342937E-5+1.722592698656265E-5i      3.7271714983953556E-5+1.4174355648500323E-6i      3.877585568096652E-5+7.384585857174401E-8i        -1.671342662371698E-5+9.40141603125831E-6i        1.312130029784002E-5-4.5115091086227025E-7i       8.700560106486016E-6-6.664791426027921E-7i        -3.4150981464295283E-6+2.8868198939137945E-6i     -4.512219110317133E-6-3.529552038052294E-7i       2.648259629853567E-5-4.879889276746918E-7i        -6.950385376934438E-6+5.157457779639159E-6i       5.831461693582863E-6-3.686974251370328E-7i        2.736533695000333E-5-1.2345118265436115E-6i       -6.888216275877482E-6+5.0318138129119855E-6i      8.599607099476553E-6-6.245387625451694E-7i        1.4933388516940988E-5-1.384973816989865E-6i       -3.682929553556559E-6+2.7868165927285426E-6i      4.825467487667633E-6-3.5353803935200625E-7i       5.289360589424285E-6-5.566202566974187E-7i        -1.3604668614368292E-6+1.3172013789403933E-6i     -7.120457466318373E-7-3.684837411434748E-8i       6.00212611051101E-6-1.7420985859011084E-9i        -1.3361110515011337E-6+1.3794533027048257E-6i     1.2292961788270427E-6-1.9549786959989316E-7i      6.853822724754326E-6-5.288777160478988E-7i        -1.2761608590357602E-6+1.3036069254679935E-6i     2.226947086094311E-6-2.876990785218291E-7i        4.847243316007949E-6-5.440952392067921E-7i        -8.916629611230579E-7+9.809419485315144E-7i       1.4506469031670725E-6-8.190375080423921E-8i       1.8465309454945833E-6-2.4463297668822394E-8i      -5.186572634425233E-7+6.793027424326615E-7i
-0.010000000000000002     -0.04                    0.003                    -2.9024688838551064E-4-5.651997821021444E-5i      1.56938926230775E-4+2.482217726832174E-5i         -1.4166919998578415E-4+3.5483385024047366E-6i     1.5539695154599426E-6-1.1253615685199433E-6i      0.001364548403117307+1.2291091848896972E-4i       5.311944181478766E-4-1.4683045124695368E-4i       2.9793831476984645E-4+5.680342803038042E-5i       1.5951254257176454E-4+2.364026954255441E-5i       -1.3946281938932305E-4+3.1155713769219316E-6i     5.369790364805642E-5+4.081421845045214E-6i        1.6239376454922182E-5-4.3927673058812827E-7i      -1.9017060495477623E-5+1.0013621572012502E-5i     -4.988917149937294E-5-5.4925318361385045E-6i      7.580692787664467E-5+5.661691892234138E-6i        -3.158001885730243E-5+1.5258618641026653E-5i      2.992777374256466E-7-9.612872549874966E-8i        1.5841683374520673E-4+2.1131693417381316E-5i      -6.678015329105022E-5+1.7845899138819435E-5i      4.9923693475720834E-5+4.7733057211273315E-6i      7.76560278820045E-5+5.391649971566352E-6i         -3.4659145062690844E-5+1.422223522201755E-5i      2.2614445336205454E-5-7.443084004584284E-9i       1.8274199655992183E-5-7.594949477049665E-7i       -7.595845066343775E-6+5.487258654737204E-6i       -7.507657137485645E-6+1.7733082462725116E-8i      2.032702752804452E-5-7.940294715909754E-7i        -5.169362889098773E-6+4.163610403734986E-6i       4.057082908196869E-7-1.6399827423891573E-7i       3.0037848979297335E-5-1.3383075138108341E-6i      -7.697310637643366E-6+5.444127908500036E-6i       8.366139156665548E-6-4.310236415060093E-7i        2.1855285149471486E-5-1.6870350293329416E-6i      -4.9981778302583265E-6+4.185216648536223E-6i      6.412095638969104E-6-3.602364036034885E-7i        8.838290043897588E-6-8.30623027224441E-7i         -2.1060741521898373E-6+2.0342503006281087E-6i     -1.3782613900479354E-6-1.5962576328000928E-10i    5.07374045110978E-6-8.190954270505149E-9i         -1.1720975363755028E-6+1.2282708684356074E-6i     1.7881345953710486E-7-1.3038752955755904E-7i      7.37868384690606E-6-6.473333816568226E-7i         -1.336160471543181E-6+1.3703891437404137E-6i      1.9273393020749504E-6-2.556823869463359E-7i       6.3767138234384795E-6-7.762202200408905E-7i       -1.1342107166630138E-6+1.2179678094144757E-6i     1.6994244017153067E-6-9.504944905786257E-8i       2.8827888435886803E-6-1.1817225016748469E-7i      -6.773752515578413E-7+8.584298070378636E-7i
0                         -0.04                    0.003                    -1.2307941756640027E-4-1.8865253962939372E-5i     4.6572577957350856E-5+3.5408046562171826E-6i      -5.639405036390009E-5+1.6017952120593744E-5i      -6.250087414677288E-4-8.636289273742059E-5i       6.418636526442124E-4+8.091966469901977E-5i        -8.064169563138214E-5-7.43565683796304E-5i        6.306144566040121E-4+8.533032965771596E-5i        6.643636798835878E-4+7.888297173444197E-5i        -8.571046899290331E-5-7.167050737101241E-5i       1.2228733222900286E-4+1.8688889170671508E-5i      4.7283392770542504E-5+3.641781972486981E-6i       -5.677490199082892E-5+1.5747475479790913E-5i      -3.72718385611345E-5-1.8714931627747058E-6i       3.895308721064077E-5+6.819000583412317E-7i        -1.6571884442896824E-5+9.712634917832344E-6i      -4.0993288514930824E-5-5.531812517722509E-6i      1.3026200755004584E-4+1.5303109498517444E-5i      -5.618204126108629E-5+1.7231502157882725E-5i      4.1935036250416356E-5+5.845885497262411E-6i       1.2975100533454156E-4+1.5403032364256567E-5i      -5.655785292116419E-5+1.6984954575133987E-5i      3.677629934966051E-5+1.9645889706458764E-6i       3.86303853963486E-5+7.240665225527431E-7i         -1.6714046967138176E-5+9.636299012235657E-6i      -7.779674013353195E-6+2.3468622517291072E-7i      1.3812790685806308E-5-8.44776906215092E-7i        -3.4944764999973946E-6+3.001923734651321E-6i      -4.897172281511606E-6+1.5713094024336077E-8i      2.7978884697430212E-5-1.4147989101750422E-6i      -6.8036107526600864E-6+5.104194601078553E-6i      5.287580158653972E-6-1.41413795173088E-7i         2.8511768262827587E-5-1.599012608591336E-6i       -6.818348864893521E-6+5.20903254736927E-6i        7.5303316073583234E-6-1.9265903446170974E-7i      1.4024368231248709E-5-9.551966186162724E-7i       -3.549716002444274E-6+3.0335580165225645E-6i      -1.6889190477325605E-6+2.2016457624610294E-8i     3.915010531390075E-6+8.643921840441111E-9i        -9.214848963032622E-7+1.0294554248211901E-6i      -8.212754114541366E-7-2.733059848006097E-8i       7.115938578783319E-6-7.061643944265047E-7i        -1.3155769451161548E-6+1.3364093229219955E-6i     1.0921469252682477E-6-1.2203300169810298E-7i      7.625530774367682E-6-9.445095951734471E-7i        -1.3240614163302577E-6+1.4116850708425994E-6i     1.7126023967459903E-6-5.538821363512886E-8i       4.148458959153541E-6-2.0986531752676076E-7i       -9.202158525622683E-7+1.0722963180195066E-6i
0.010000000000000002      -0.04                    0.003                    -5.3873062748654624E-5-4.044802047217368E-6i      1.6718910624541903E-5-4.973503945498946E-7i       -1.922327993943653E-5+9.95534425180341E-6i        -2.931542439280244E-4-5.7221322765868814E-5i      1.6085086358809115E-4+2.5032450674497694E-5i      -1.4118470401973957E-4+5.957019526480866E-6i      7.716341238074966E-7+6.957231051004075E-7i        0.0013568315047664046+1.2283523657811852E-4i      5.184953826061407E-4-1.4676342086109077E-4i       2.9640199746399764E-4+5.83859399868878E-5i        1.5178218147104418E-4+2.3747422473378616E-5i      -1.4295082996132165E-4+4.075556712711389E-6i      -2.2851920170674996E-5+5.5546655350246516E-8i     1.840618298868263E-5-7.447319213712373E-7i        -7.644827660901967E-6+5.4464550841572275E-6i      -5.063407429591161E-5-4.912976427270593E-6i       7.836310105951757E-5+5.5401214076949236E-6i       -3.461875300256146E-5+1.4396017014159093E-5i      1.4857001254190284E-6+7.368401690589321E-7i       1.5677386172322037E-4+2.0829856891543602E-5i      -6.883757762197264E-5+1.6859970679309835E-5i      4.885496810292267E-5+5.391856723520092E-6i        7.615764148033021E-5+6.034488391241088E-6i        -3.447038123392469E-5+1.4428395040366612E-5i      -6.41698816039484E-6+3.0752747357546407E-7i       8.51029990705859E-6-6.289263589689423E-7i         -2.100231107438088E-6+1.9776756521809507E-6i      -7.855873435710123E-6+2.86118799428374E-7i        2.190160045766332E-5-1.6402961785976907E-6i       -5.174664003869258E-6+4.113426949854065E-6i       -3.98418603274889E-7+1.2228554573152058E-7i       3.107380668414478E-5-1.4670894947445575E-6i       -7.510198559563774E-6+5.611208152854259E-6i       7.208252041586706E-6+1.0084579209521502E-7i       2.0441560210959615E-5-8.843342817769218E-7i       -5.1393603860690564E-6+4.167233642146424E-6i      -1.6336154340859762E-6+2.6435846200502952E-8i     2.7033347454982986E-6+4.993944358401786E-8i       -6.788088294135383E-7+8.344386894497009E-7i       -1.6171458996383586E-6+9.969581674693244E-8i      6.145939683943955E-6-7.002430538122299E-7i        -1.0992907090442506E-6+1.2026135605084571E-6i     -1.2693221727443135E-7+5.950668258772473E-8i      8.072945743019675E-6-9.766332065391814E-7i        -1.3960731431735195E-6+1.484696292356163E-6i      1.3487798893773692E-6+2.5172852922380315E-8i      5.334363725871568E-6-2.2835469361828755E-7i       -1.1682376670046744E-6+1.2760328267599931E-6i
0.019999999999999997      -0.04                    0.003                    -2.426237117528536E-5-5.515185416072044E-7i       6.369341291669614E-6-5.301058385873077E-7i        -6.719651832618637E-6+4.842573868441244E-6i       -1.2492442164802105E-4-1.869562448384755E-5i      4.7954257567976396E-5+3.138859872963952E-6i       -5.624170736431139E-5+1.596235852231796E-5i       -6.413802023712335E-4-8.613560482730772E-5i       6.49418062462571E-4+8.003698826511085E-5i         -7.94031293846263E-5-7.331089342518685E-5i        6.216916256860236E-4+8.833633714329007E-5i        6.491100053274206E-4+8.143386667166535E-5i        -8.595149520483397E-5-7.409792366636016E-5i       -1.3225692262252259E-5+4.6741198519500025E-7i     8.639256852383312E-6-6.817580144177028E-7i        -3.493911865929654E-6+2.8827643762463787E-6i      -3.715374944902453E-5-1.2927381892965181E-6i      3.9041424542214664E-5+4.8652683127003743E-8i      -1.658155612182613E-5+9.55083553375697E-6i        -4.2456240408075E-5-5.359952178727196E-6i         1.285443970923639E-4+1.517696020337809E-5i        -5.6059039348468724E-5+1.7237934000721163E-5i     4.0911072001786506E-5+6.818456527084516E-6i       1.288027738784539E-4+1.6467728166323073E-5i       -5.69531238772364E-5+1.7054883718305723E-5i       -4.73483842711993E-6+2.755245638538323E-7i        4.961336873088225E-6-4.123899415214453E-7i        -1.3444836967524708E-6+1.281681292210693E-6i      -8.236424773783832E-6+5.626879493195939E-7i       1.5100133719236087E-5-1.4890164464811115E-6i      -3.4796664651527985E-6+2.933904292863322E-6i      -6.033159442348797E-6+3.910214166204054E-7i       2.7822851585504362E-5-1.4390442950945792E-6i      -7.034007915152777E-6+5.079902857492609E-6i       4.185411714190924E-6+4.329491678883282E-7i        2.6293802419543707E-5-5.171306100131565E-7i       -6.739651673305424E-6+5.166295422314891E-6i       -1.3689176608606569E-6+9.070841207259375E-9i      1.718631736792243E-6+7.970696770778245E-8i        -5.191611342785636E-7+6.704125219494661E-7i       -1.985188186960501E-6+1.9017398729779738E-7i      4.805930729859513E-6-5.754410437473265E-7i        -8.869233051135847E-7+1.0014704510560068E-6i      -1.3070478860562487E-6+2.3739488926590062E-7i     7.421410344268641E-6-8.511538007128232E-7i        -1.3503787684947239E-6+1.3969591970518253E-6i     6.007024264697993E-7+1.0654218965898846E-7i       6.132110961370075E-6-1.6939664900789566E-7i       -1.3426805228801216E-6+1.4159809763670885E-6i
0.030000000000000006      -0.04                    0.003                    -1.1546864568710526E-5-8.385207633276067E-8i      2.6022438547696593E-6-1.5259027350294254E-7i      -2.7627789569032373E-6+2.41972796066052E-6i       -5.459596985537608E-5-3.866558276227676E-6i       1.7161659244368534E-5-7.351426119732684E-7i       -1.9811148851966564E-5+9.703614950443254E-6i      -2.962829348288706E-4-5.672212310151587E-5i       1.5758855249163746E-4+2.4084089076830393E-5i      -1.416174435524347E-4+3.0898056513357146E-6i      -1.156444443305561E-5+3.2974451785551854E-6i      0.0013075271986478535+1.2111080442476592E-4i      5.081334447497913E-4-1.4710457943125594E-4i       -7.564920115833527E-6+3.566212571847145E-7i       4.148785032303926E-6-3.6147701223527006E-7i       -1.7201673810404537E-6+1.5702702304399013E-6i     -2.3405003364909656E-5+3.9684259452141907E-7i     1.918899488887411E-5-1.1320618657242392E-6i       -7.656950385864702E-6+5.2665113907305874E-6i      -4.959292546360391E-5-3.9976386437789156E-6i      7.686595667010487E-5+5.5916652555787006E-6i       -3.5322663554440844E-5+1.3713203375528003E-5i     -3.0060363973429487E-6+1.490079036671123E-6i      1.557754202121758E-4+2.2931478573116087E-5i       -6.742721802772804E-5+1.7285492995146952E-5i      -3.2681869949048357E-6+1.9027797240890837E-7i     2.8316964316842195E-6-2.269982680126807E-7i       -8.141812142956048E-7+8.654520656090384E-7i       -7.000162562335288E-6+6.8466796610498E-7i         9.601435127833623E-6-1.1259222737151596E-6i       -2.1783215635245585E-6+1.9145071024730423E-6i     -8.920952599837329E-6+6.957567940661888E-7i       2.134247914279882E-5-1.3072035579140138E-6i       -5.2737102791604015E-6+4.032924368552325E-6i      -1.4068120056876443E-6+6.653702579931169E-7i      2.8472418953322827E-5+4.355645838409399E-8i       -7.723535282292958E-6+5.4191621385107035E-6i      -9.863907503015176E-7-3.764098133787866E-8i       1.0054149582237522E-6+1.0000441075831557E-7i      -3.8018423648113903E-7+5.540054617753057E-7i      -1.9758037481087762E-6+2.1600663975412124E-7i     3.410579468089746E-6-3.834087987329964E-7i        -7.155187144149768E-7+7.948697016817377E-7i       -2.0534003633088463E-6+3.159140962819164E-7i      6.1657697040773634E-6-6.147503933340363E-7i       -1.18097861637249E-6+1.1979518374231149E-6i       -3.3673443762523734E-7+1.206511377174556E-7i      6.27113967529314E-6-2.9155014698675282E-8i        -1.4126513592153635E-6+1.4635011695479058E-6i
0.04                      -0.04                    0.003                    -5.555068045447613E-6-1.6814901159215072E-7i      9.652670617427782E-7+3.3704727871715155E-8i       -1.3639265416111946E-6+1.4512127863409157E-6i     -2.4976310585022896E-5-4.1989622897597706E-7i     7.0142450492356276E-6-7.349453067074794E-7i       -6.822493603930089E-6+4.72497338020196E-6i        -1.2611323095136555E-4-1.8248190231050834E-5i     4.6783614533761825E-5+3.4158146885522904E-6i      -5.627242624648733E-5+1.5230012773470786E-5i      -6.477897415987275E-4-8.295588907610219E-5i       6.528672444090164E-4+8.390020431277067E-5i        -8.85706193315761E-5-7.583220774167408E-5i        -4.283998568679336E-6+1.5209685314687436E-7i      1.9910119534395183E-6-1.4275328726693416E-7i      -8.962199429183122E-7+9.671155397003177E-7i       -1.394915607793812E-5+8.419324345805895E-7i       9.051453790031605E-6-8.453293650366569E-7i        -3.427375642381358E-6+2.6678495522393807E-6i      -3.842965171589741E-5-8.83920675716505E-7i        3.810824753709241E-5+6.680360775114085E-7i        -1.6289042325517663E-5+9.23169481574111E-6i       -4.633111850283806E-5-3.5293561483136764E-6i      1.2641705136004413E-4+1.838193441621492E-5i       -5.511712308845833E-5+1.570506884830317E-5i       -2.0864773005327597E-6+8.879198041276342E-8i      1.5535444757992587E-6-9.854449571072939E-8i       -5.220572628983359E-7+6.301786664065197E-7i       -5.483646124154131E-6+6.575975789195133E-7i       5.70710156848778E-6-6.902702277311305E-7i         -1.2259380333530355E-6+1.1315476716775771E-6i     -9.217320813118485E-6+8.928176901357173E-7i       1.4096430665187982E-5-8.999878654533043E-7i       -3.288299531895597E-6+2.682063942408794E-6i       -6.869939885743688E-6+7.099092892782273E-7i       2.4582487566438086E-5+4.2514843259287483E-7i      -6.737959428597685E-6+4.773227574962825E-6i       -5.331945954087732E-7-1.0044619657621941E-7i      5.499172881438626E-7+8.331588524715414E-8i        -3.117294400855342E-7+5.146633672528562E-7i       -1.6335127935103787E-6+1.6809178104138759E-7i     2.2650955299501134E-6-2.2067021852625778E-7i      -5.136223791934636E-7+6.338984232562095E-7i       -2.282725172701718E-6+2.892323011625603E-7i       4.551771715475242E-6-3.5105365987431307E-7i       -9.139025726644561E-7+9.71932614707095E-7i        -1.0687885076041579E-6+2.6372799521328006E-8i     5.565262364820152E-6+1.1876611078931413E-7i       -1.3442007852170788E-6+1.466108010997169E-6i
-0.04                     -0.03                    0.003                    0.0014059289445610408+1.2538454734339183E-4i      1.1943069338453535E-5+9.77387256580794E-7i        5.441672297456844E-4-1.4364496813070756E-4i       1.5559837987123902E-4+2.2570218924146063E-5i      3.507238874358572E-6-1.5296515095034697E-6i       -6.762836066835751E-5+1.7225640282299482E-5i      2.851986693972615E-5-4.401554493640972E-8i        1.1764076577341332E-6-6.190316127598498E-7i       -7.6723507685546E-6+5.423291440301361E-6i         6.184601378294993E-6+7.240722914014012E-8i        2.3449314855611711E-7-4.311155621346125E-8i       -1.3923920622126915E-6+1.4376811776540573E-6i     1.5651876822574324E-4+2.3893488624668433E-5i      2.986318349291688E-4+5.644662352691484E-5i        -1.3962315373795473E-4+3.436703299557517E-6i      7.631648500195813E-5+5.329439002147774E-6i        5.024642220670401E-5+3.9477309687319085E-6i       -3.3560429061975806E-5+1.4319721495314037E-5i     2.0809602484078025E-5-1.1105717766374983E-6i      8.678925112074215E-6-6.065760839809317E-7i        -5.233855938388352E-6+3.958335754850319E-6i       5.686930094298912E-6-3.426379011384264E-7i        1.8747150171202873E-6-2.1027524261058868E-7i      -1.162465800655622E-6+1.1395723337639818E-6i      1.6854021585480322E-5-7.450389620520571E-7i       5.416167017383665E-5+3.8180755421330176E-6i       -1.963605371012241E-5+9.562836650319101E-6i       1.8726809036122787E-5-1.0646280946829012E-6i      2.3163698309996072E-5-3.7833640673942204E-7i      -7.5872858407924625E-6+5.225813725233398E-6i      9.29958341309942E-6-1.0000356477002277E-6i        7.2259898605348225E-6-6.77433331066419E-7i        -2.174588124752716E-6+1.8613695208216838E-6i      3.3693491279711293E-6-3.197008432462315E-7i       2.114600216066807E-6-2.3932105120749745E-7i       -7.06441563964429E-7+7.658721619891768E-7i        2.5439349522375945E-6-1.4389709898982223E-7i      1.1619191241198023E-5+7.465528252702612E-8i       -2.7946604303341193E-6+2.4223766112954077E-6i     4.231930761768488E-6-3.7482988271875846E-7i       7.571243619191867E-6-3.520466288440221E-7i        -1.72724389092628E-6+1.584625957741874E-6i        3.0328000930086806E-6-3.077464877338416E-7i       3.362529905993934E-6-2.701602903191054E-7i        -8.450761202421214E-7+8.685945136963978E-7i       1.0789219971620353E-6+4.08602063926586E-8i        1.0566488617507375E-6-2.5110906015444318E-8i      -3.8207367145024884E-7+5.510769795250229E-7i
