% Model:              Forward_FEM.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 2 2022, 13:06
% Dimension:          3
% Nodes:              81
% Expressions:        48
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.03, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.03      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.By (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=-0.01      mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.01       mf.Bx (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.By (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bz (T) @ freq=250, EM.y=-0.01, EM.x=0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.01, EM.x=0.03        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.03       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.By (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=-0.01       mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.01        mf.Bx (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.By (T) @ freq=250, EM.y=0.03, EM.x=0.03        mf.Bz (T) @ freq=250, EM.y=0.03, EM.x=0.03
-0.04                     -0.04                    0.003                    6.404142876947605E-4+8.124357489036247E-5i        6.545240360300748E-4+8.362900534278437E-5i        -5.903504511217622E-5-7.821374690245794E-5i       1.2576285708760333E-4+1.802062876356279E-5i       4.750458238259207E-5+3.5357294894436314E-6i       -5.4775726866055385E-5+1.5978447049076657E-5i     2.4845734378659917E-5+3.4927096625720337E-7i      6.839380422332924E-6-7.497590224892587E-7i        -6.884843378060474E-6+4.7412018907502665E-6i      5.415345302233303E-6+1.7323053823621114E-7i       9.376112555942038E-7+3.7641001040472336E-8i       -1.4003730505771103E-6+1.4520006678360497E-6i     4.7861755777855414E-5+3.6559490223854027E-6i      1.2706673593791419E-4+1.8429879838638207E-5i      -5.6202858721032746E-5+1.5539983754239706E-5i     3.89747216254756E-5+6.723030873104403E-7i         3.8931135405272136E-5+6.094571935422009E-7i       -1.6576192348080496E-5+9.018065501077544E-6i      1.4000686874437282E-5-8.397032940470663E-7i       9.012842011136336E-6-8.730762594026859E-7i        -3.247141386828083E-6+2.6146017233270537E-6i      4.273416317850553E-6-1.6310446976119906E-7i       1.9844923709124335E-6-1.2154433664109078E-7i      -9.046194866942184E-7+9.622740590624603E-7i       6.816074349800273E-6-7.602538805044688E-7i        2.4949800845742028E-5+3.7471989855273724E-7i      -6.8315977715080025E-6+4.724610287338607E-6i      9.022839507091024E-6-8.55095565587832E-7i         1.4005397449718889E-5-8.256316706606676E-7i       -3.4428050911936684E-6+2.6291097140708037E-6i     5.291707130952497E-6-5.348508608756032E-7i        5.318833871634941E-6-5.434173561160266E-7i        -1.257346069700602E-6+1.1207841325014773E-6i      2.0740204030859806E-6-7.034823992684289E-8i       1.49927011659442E-6-4.493633825623772E-8i         -5.333297239779743E-7+6.30059489279562E-7i        9.613047172384005E-7+2.5408741905103038E-8i       5.588300726997E-6+1.618783257210149E-7i           -1.3244462628599424E-6+1.4650809636966374E-6i     1.9729273073586272E-6-1.232249387689276E-7i       4.287019889376865E-6-1.6839876201004952E-7i       -9.090592158799896E-7+9.586565636247706E-7i       1.5141539971186894E-6-4.7085514168677836E-8i      2.086823000117163E-6-6.713950339545639E-8i        -5.216826826120271E-7+6.304501999058912E-7i       5.105134600429534E-7+1.2973237954350794E-7i       5.155948943578212E-7+1.3154514682369007E-7i       -3.104008175489009E-7+5.125693680407621E-7i
-0.03                     -0.04                    0.003                    6.9785748032376E-6-2.2262911730556257E-6i         0.0013551931737038304+1.2443800292729915E-4i      5.166106016311082E-4-1.476990078807669E-4i        2.947069331068388E-4+5.764204657712424E-5i        1.5718116226341716E-4+2.4409527387552442E-5i      -1.3992316022566425E-4+2.9792484874626617E-6i     5.421220133926997E-5+3.7605622637513776E-6i       1.696085692187001E-5-8.029053708775085E-7i        -1.9451534882058052E-5+9.620109496018947E-6i      1.1615355053414742E-5+6.028188998588105E-8i       2.6325037046367927E-6-1.5364669316245666E-7i      -2.646102372026412E-6+2.3916886420804846E-6i      3.402105873240004E-6-1.6396990953970394E-6i       1.5567991530441252E-4+2.2647303280807506E-5i      -6.748365712133322E-5+1.7370741319877288E-5i      5.108759284283993E-5+4.144454601918019E-6i        7.815459200394894E-5+5.574120892342033E-6i        -3.473117807121842E-5+1.4203801909872557E-5i      2.336482423691171E-5-5.333647161274926E-7i        1.903886506232402E-5-1.2569737875742908E-6i       -7.849553549677398E-6+5.124046581528699E-6i       7.59474695757398E-6-3.877007120103081E-7i         4.128081807811957E-6-3.481896660737443E-7i        -1.7041388704571556E-6+1.5657000664777115E-6i     1.1900577933838365E-6-6.475124779658312E-7i       2.8455359522939768E-5-7.027253752558542E-8i       -7.604224326074684E-6+5.369035993661523E-6i       8.746447122905002E-6-6.620422949678343E-7i        2.1219362707269575E-5-1.187886227769185E-6i       -5.176754216389188E-6+3.957599752145082E-6i       7.11780096543798E-6-6.572363321290763E-7i         9.145070325878042E-6-9.67319502600459E-7i         -2.1807436795599175E-6+1.849057267685059E-6i      3.2611641993501834E-6-1.8070236018150255E-7i      2.756914780464909E-6-1.4695085230346866E-7i       -8.386472112369644E-7+8.547364513884144E-7i       2.233178429812582E-7-3.071336360085792E-8i        6.174819816014078E-6+5.513747196927398E-8i        -1.3876465591245165E-6+1.4407388383687373E-6i     1.762278660630326E-6-1.5616676471865496E-7i       5.693728865481934E-6-3.1553287993263593E-7i       -1.1420180545425889E-6+1.1368187928647989E-6i     1.8543458805907946E-6-1.254957180006173E-7i       3.13777630264463E-6-1.5432606104038096E-7i        -7.138736728247918E-7+7.356791036109984E-7i       9.794061972526494E-7+5.5207209259288766E-8i       9.643044249369669E-7+1.6381909192289992E-7i       -3.7275649778416543E-7+5.398304984146E-7i
-0.02                     -0.04                    0.003                    -6.171329723708772E-4-8.717383568861496E-5i       6.507290076493486E-4+8.209067550153072E-5i        -8.884945853582585E-5-7.231485392834803E-5i       6.35003120426237E-4+8.331018877297003E-5i         6.524176393429062E-4+7.962375537769236E-5i        -8.707325957692485E-5-7.359225431774111E-5i       1.2430939199109103E-4+1.860701731594938E-5i       4.7740240776938535E-5+3.0876011018815364E-6i      -5.6654698303215385E-5+1.6009726762073904E-5i     2.442214287603349E-5+5.260569105285508E-7i        6.441326562716486E-6-5.245669349569242E-7i        -6.616722654060106E-6+4.914706964327805E-6i       -4.059118926124927E-5-6.785209057068492E-6i       1.279954520379489E-4+1.5894064445357563E-5i       -5.579542898929538E-5+1.750907634602211E-5i       4.1512537987870864E-5+5.001633897279653E-6i       1.3007721566804447E-4+1.489604023611138E-5i       -5.458405225260764E-5+1.7801847870041335E-5i      3.7732744753223275E-5+1.3013911909461997E-6i      3.935921863092352E-5-8.554284534756785E-8i        -1.683512768062957E-5+9.549612944808183E-6i       1.3215678080960306E-5-4.907386395288309E-7i       8.552337730747765E-6-6.907137743810041E-7i        -3.375927754313973E-6+2.869835451607779E-6i       -4.537407315355327E-6-3.664081216557023E-7i       2.6189815876966657E-5-5.232232450891577E-7i       -6.68436238790673E-6+5.1504931229450655E-6i       5.70016870985672E-6-4.1338824860652797E-7i        2.761473072316726E-5-1.4263234989318105E-6i       -6.923976533577581E-6+5.0718200498683245E-6i      8.447422673855038E-6-5.949104094347498E-7i        1.4494698550947618E-5-1.3049232075628119E-6i      -3.46212457529196E-6+2.8401070524829344E-6i       4.785023671656858E-6-2.933170029418031E-7i        4.920187638325371E-6-3.384407197147332E-7i        -1.296063198158495E-6+1.2777218924300112E-6i      -7.296931681250608E-7-1.782128647196717E-8i       6.005749677021939E-6-3.80908951725349E-9i         -1.3272868718161098E-6+1.3773514822863205E-6i     1.0611231545000228E-6-1.0607650973199904E-7i      6.801139964530719E-6-4.4462729129510877E-7i       -1.3238187805170542E-6+1.2899701742956068E-6i     1.971338489793571E-6-1.450929677722841E-7i        4.4670413304434535E-6-2.7499910730108395E-7i      -8.98851557032648E-7+9.365689630004087E-7i        1.3740073986763122E-6-6.820723654221547E-9i       1.675687834739666E-6+1.553575775893816E-7i        -5.173858249936295E-7+6.572925675685695E-7i
-0.010000000000000002     -0.04                    0.003                    -2.9364714269081393E-4-5.7024161557577945E-5i     1.559698820106911E-4+2.309332319001665E-5i        -1.420477469722673E-4+3.6983361007080568E-6i      4.182663020493253E-6+8.089602698328172E-7i        0.0013554062299843562+1.2263005135350693E-4i      5.297718039327577E-4-1.4875272059346466E-4i       2.940983103867243E-4+5.7394256041424465E-5i       1.561111362423908E-4+2.4321303893391855E-5i       -1.3749270998947364E-4+4.412131019762122E-6i      5.392029558271554E-5+4.008143975494388E-6i        1.7064104218132074E-5-2.897461159475864E-7i       -1.945737511334643E-5+9.989362382741072E-6i       -4.889935039744031E-5-5.299755532720225E-6i       7.633496733670541E-5+5.81260272839264E-6i         -3.4489362412820844E-5+1.4480213936985996E-5i     9.470325651622261E-7+6.850036202716149E-8i        1.5946208690527616E-4+2.0945583319015862E-5i      -6.75148295908839E-5+1.788309515945033E-5i        5.039053772182488E-5+4.6509008148316834E-6i       7.8315962467933E-5+5.160352203477142E-6i          -3.431794402649904E-5+1.4489110540711421E-5i      2.275752536748803E-5-1.548491051200986E-7i        1.82788059665912E-5-8.772875320811662E-7i         -7.319419708599271E-6+5.482586738259831E-6i       -7.568754773544486E-6+3.1617572979319636E-8i      2.0268278277074994E-5-8.183057689108535E-7i       -5.257169283150439E-6+4.130436944942328E-6i       1.9177970556945769E-7-8.623116059740691E-8i       3.0284960670779705E-5-1.4645854216547176E-6i      -7.386370031388564E-6+5.537552450660047E-6i       8.247368221828487E-6-4.383827468938694E-7i        2.148173280911601E-5-1.5477300203010466E-6i       -4.916305743826271E-6+4.045608583649878E-6i       6.454344145117261E-6-3.793787412787547E-7i        8.498587133518543E-6-6.070737859541164E-7i        -2.0056989140358975E-6+1.9655312881129765E-6i     -1.4329957581476033E-6+3.178551518541713E-8i      5.112295467935667E-6-5.5703693339647406E-9i       -1.1587492983390481E-6+1.2288400468096828E-6i     5.433272189956684E-8-3.36289158792481E-8i         7.221382444112816E-6-4.974567879599526E-7i        -1.3791714300339035E-6+1.3371737040187465E-6i     1.6942473804439843E-6-1.345016534395975E-7i       5.836353332402474E-6-4.0305472740587764E-7i       -1.153685132006403E-6+1.1346337832335977E-6i      1.6596374868575446E-6-4.758049543395981E-8i       2.667063188867482E-6+9.935266802848497E-8i        -7.103417220489815E-7+8.274547211384921E-7i
0                         -0.04                    0.003                    -1.2179996273600535E-4-1.8446017213336014E-5i     4.687537972579989E-5+3.5165851865479937E-6i       -5.7267219978558324E-5+1.5673378808248343E-5i     -6.091272758945616E-4-8.74879802796846E-5i        6.3020293044089E-4+8.22944769369434E-5i           -7.706178854153384E-5-7.474125037999833E-5i       6.538254168793113E-4+8.737966360505668E-5i        6.593062197350765E-4+7.670898284875544E-5i        -6.122686935045875E-5-7.25902879988566E-5i        1.2172745974524193E-4+1.8481653717838137E-5i      4.643195039321305E-5+3.489014903405768E-6i        -5.801933917869E-5+1.529751365265839E-5i          -3.669482392573565E-5-1.7692468720278146E-6i      3.883206178729227E-5+5.891530666769047E-7i        -1.6966343101856096E-5+9.707274060609066E-6i      -4.149510194695482E-5-5.4619400518031175E-6i      1.27513719776668E-4+1.4286045436012502E-5i        -5.511299700836794E-5+1.769400984220139E-5i       4.075390074325004E-5+5.2263169003825024E-6i       1.3028597621510203E-4+1.444659457086527E-5i       -5.6547626007045246E-5+1.713538953215411E-5i      3.680098313922495E-5+1.7211161510653344E-6i       3.885156561967193E-5+4.3902548330809104E-7i       -1.668792156608899E-5+9.777494715587768E-6i       -7.773482145730342E-6+2.873647045935387E-7i       1.3757686296106559E-5-8.024572358247474E-7i       -3.5016017512432244E-6+2.9959166148321776E-6i     -5.372271203959183E-6+1.4982312212698982E-7i      2.759101360106321E-5-1.5437456836563819E-6i       -6.674714014180947E-6+5.1054981348287945E-6i      5.252334074180777E-6-1.908522843417315E-7i        2.7900714021748415E-5-1.4867107069750096E-6i      -6.613025518339652E-6+5.256277130170568E-6i       7.821691820324896E-6-2.7736980948536613E-7i       1.3793888013706403E-5-8.184604923613639E-7i       -3.4732849407886447E-6+2.9699969950431247E-6i     -1.728081484582583E-6+5.65557052476546E-8i        3.890023531272351E-6+4.236899032902335E-8i        -9.407100565124086E-7+1.0288053413824142E-6i      -9.6848814097242E-7+6.460074659379248E-8i         6.864213915270105E-6-4.932547265143242E-7i        -1.3183246828920012E-6+1.287674271617621E-6i      9.759388669793577E-7-6.343819226370311E-8i        6.860258116346704E-6-4.942136173536613E-7i        -1.32877003731371E-6+1.2850444018838984E-6i       1.7232596868012277E-6-5.963035891139775E-8i       3.87520192600279E-6+4.2695405904044815E-8i        -9.437337215945771E-7+1.0273029431089349E-6i
0.010000000000000002      -0.04                    0.003                    -5.3461328066104205E-5-3.92184454467088E-6i       1.6791628189602013E-5-4.615057718743108E-7i       -1.7952048821437358E-5+1.0225294394565113E-5i     -2.9576454088920843E-4-5.777798975907214E-5i      1.571825577828634E-4+2.3971643847504914E-5i       -1.3928876982911818E-4+2.9460874526507613E-6i     1.3448143368123794E-5+9.776532005707008E-7i       0.0013657939757810381+1.2368797889579486E-4i      5.208424886482032E-4-1.4637442102498962E-4i       2.9270479784894E-4+5.785725110875166E-5i          1.5602946861936214E-4+2.4831291743174317E-5i      -1.420552211845514E-4+3.2558388094901236E-6i      -2.277956727731003E-5+1.573307726912657E-7i       1.8277942899673167E-5-8.661657715228784E-7i       -7.5548207951761255E-6+5.4697800328597945E-6i     -5.0023034381592095E-5-4.436190288689132E-6i      7.784570727882039E-5+4.918135736005534E-6i        -3.309811605911241E-5+1.4878828762992555E-5i      -9.083108403354308E-8+2.103776795505483E-7i       1.5797059351272674E-4+2.0304957511234947E-5i      -6.607919320381168E-5+1.8194724175736327E-5i      4.826820868908398E-5+5.095953779410178E-6i        7.642423807408208E-5+5.838716076692097E-6i        -3.443442261913076E-5+1.450896263901046E-5i       -6.449820109796163E-6+3.568120797407989E-7i       8.445120526134655E-6-6.120492769358984E-7i        -2.136579442979839E-6+1.9727909190554897E-6i      -8.215631105337559E-6+4.1121944535740184E-7i      2.126460085851468E-5-1.563557854879467E-6i        -5.295874565612566E-6+4.005471137898581E-6i       -1.2768215350990496E-7+1.0000646025745146E-7i     3.0364348921694312E-5-1.4080533909954151E-6i      -7.447782244300513E-6+5.489037519172313E-6i       7.584356858777619E-6-1.981692676807507E-8i        2.045427546922122E-5-8.273200339570471E-7i        -5.234084825464054E-6+4.157358771629099E-6i       -1.6574174539026206E-6+4.96984057748333E-8i       2.6605510085784343E-6+1.0290850320277697E-7i      -7.016670976708238E-7+8.254095720534768E-7i       -1.663759270081304E-6+1.2957854786259696E-7i      5.795712219801194E-6-4.0487036823282586E-7i       -1.098011086234712E-6+1.125151839140921E-6i       -7.935129398365583E-8+2.5417209678003988E-8i      7.220245987182778E-6-5.10753747682004E-7i         -1.3572279624083003E-6+1.3375261734431696E-6i     1.4254799555084268E-6-3.444725709598307E-8i       5.0764117605753E-6-3.5226157468899666E-9i         -1.1726033177141433E-6+1.2276750219045482E-6i
0.019999999999999997      -0.04                    0.003                    -2.404925711026673E-5-5.194196697954221E-7i       6.4637577608804195E-6-5.311619454497114E-7i       -6.332209559892923E-6+4.843838981015135E-6i       -1.2566345259763096E-4-1.8952061094282225E-5i     4.854861675604436E-5+3.184634258487665E-6i        -5.704277755441364E-5+1.588118751445542E-5i       -6.28481502882521E-4-8.618581447343213E-5i        6.387715584217075E-4+7.777208965523239E-5i        -7.844702118278398E-5-7.30391828203358E-5i        6.24946608207669E-4+8.565300628151848E-5i         6.525703529517142E-4+7.976937884283957E-5i        -5.5668141950939755E-5-7.486519228568539E-5i      -1.3294370068161592E-5+4.989317542456863E-7i      8.663242744980038E-6-6.841992395184604E-7i        -3.493366636644586E-6+2.8815609335586726E-6i      -3.7764780762588506E-5-1.2530595591428109E-6i     3.991951607981732E-5-4.550845430576216E-8i        -1.7067903787574522E-5+9.558356032133075E-6i      -4.169786495175493E-5-4.978527865122969E-6i       1.294576413440097E-4+1.4713967202428411E-5i       -5.498984942776283E-5+1.7622790363904053E-5i      4.043647962507813E-5+6.758404718607035E-6i        1.2823474363263227E-4+1.5985752064790777E-5i      -5.723113252808255E-5+1.7098712264567013E-5i      -4.776804674044927E-6+2.9728088668817023E-7i      4.938286945308438E-6-3.464738306276075E-7i        -1.3304934244679417E-6+1.2774962243433439E-6i     -8.47139941133211E-6+6.07694366364404E-7i         1.454275530186694E-5-1.310132141261535E-6i        -3.493725688637439E-6+2.840776729652425E-6i       -5.648437746839205E-6+3.8746398643021874E-7i      2.7696069045411106E-5-1.3716429318628637E-6i      -6.934615664021918E-6+5.034177300760485E-6i       4.321907703663171E-6+3.4512116885620124E-7i       2.6286232928797648E-5-5.551952848834626E-7i       -6.973301504268562E-6+5.1805146504843125E-6i      -1.3745969330898085E-6+9.875989717932144E-9i      1.6746521387685685E-6+1.5118050440283054E-7i      -5.287164379179693E-7+6.61723481178025E-7i        -1.987167777869181E-6+1.5078028356735754E-7i      4.4574958772997085E-6-2.831069790223641E-7i       -9.087242864955953E-7+9.403887167700686E-7i       -1.069679801224972E-6+1.1191922902963506E-7i      6.791911599011787E-6-4.4251096281654416E-7i       -1.2957032760088877E-6+1.2863832114398967E-6i     7.261783730866544E-7+1.8401924615504588E-8i       5.9640411760223E-6-9.18268210153619E-9i           -1.2803049780932226E-6+1.3779079990619633E-6i
0.030000000000000006      -0.04                    0.003                    -1.1642897993470099E-5-5.3803687703181077E-8i     2.5895553556820535E-6-1.6897205767498293E-7i      -2.817315337009641E-6+2.434438866368706E-6i       -5.4131507048611994E-5-3.7762491062409034E-6i     1.73881435287254E-5-8.092114197629834E-7i         -2.0276637091961333E-5+9.529451798872406E-6i      -2.931080049080365E-4-5.703106575944618E-5i       1.5496715760731467E-4+2.2802905119257528E-5i      -1.4485788326691292E-4+3.083683937588934E-6i      1.826078890105904E-5+1.9568983508683104E-6i       0.001376585704133401+1.2464629543698365E-4i       4.972707447384612E-4-1.4902934919650004E-4i       -7.576570108159161E-6+3.7511641192879486E-7i      4.144152349444303E-6-3.510355030138247E-7i        -1.6950413471032978E-6+1.570202424451081E-6i      -2.3560765897725637E-5+5.096089866199315E-7i      1.8891968446403657E-5-1.1686638207989545E-6i      -7.421203881648142E-6+5.282441509835532E-6i       -5.1144656873665714E-5-4.130846637486886E-6i      7.755344843244152E-5+5.356421545991237E-6i        -3.476887565029239E-5+1.4220710534830852E-5i      -2.2427028406962974E-6+1.8506505154391951E-6i     1.5648844013075377E-4+2.269123214042356E-5i       -6.785712767081901E-5+1.7131446152992455E-5i      -3.2927735716279432E-6+1.8835748743209355E-7i     2.776508901440007E-6-1.524627392514293E-7i        -8.219691911865612E-7+8.56338644283173E-7i        -7.048425934420281E-6+6.359489330191951E-7i       9.042061188127796E-6-9.305504935500305E-7i        -2.068652362011119E-6+1.8170534251113635E-6i      -8.673111983198613E-6+7.041627943783081E-7i       2.1079928892900718E-5-1.2575627129154587E-6i      -5.1333978073120885E-6+4.003307141062802E-6i      -1.205998128468277E-6+6.031828883898784E-7i       2.8378742341480274E-5-6.64354318129909E-8i        -7.4748267553756165E-6+5.4402399782598E-6i        -9.874779406649286E-7-5.235860203942757E-8i       9.657270735767917E-7+1.6214657928644048E-7i       -3.857245459375168E-7+5.469038754436398E-7i       -1.8826227709718837E-6+1.2034694090270584E-7i     3.1542566004679892E-6-1.5394441442861337E-7i      -6.868326407041874E-7+7.511408350393823E-7i       -1.769380459200778E-6+1.6171639665996514E-7i      5.723304677719732E-6-3.254169133321006E-7i        -1.1397309443683567E-6+1.1401161035193828E-6i     -2.0794791570391107E-7+2.8072962806043075E-8i     6.196114933028851E-6+5.515211963161211E-8i        -1.4002089103127636E-6+1.448086607736883E-6i
0.04                      -0.04                    0.003                    -5.573513294302447E-6-1.5652421319396267E-7i      9.620201923928512E-7+3.621620575977499E-8i        -1.3743803005072965E-6+1.4510624715187046E-6i     -2.5443411766029483E-5-3.221238120710604E-7i      6.950539536574934E-6-7.758074105729016E-7i        -6.637760673236003E-6+4.830547013234418E-6i       -1.2583476010528458E-4-1.8072429536454744E-5i     4.729740389726043E-5+3.482145193014177E-6i        -5.589340183746586E-5+1.546579854419824E-5i       -6.452603728740628E-4-8.315405827560493E-5i       6.255782485198335E-4+8.351698674802916E-5i        -7.094588282408661E-5-7.822838893797353E-5i       -4.306018454658184E-6+1.6343537700445274E-7i      1.9774777791070507E-6-1.2876051371936026E-7i      -9.02035646100896E-7+9.660129725374091E-7i        -1.4057109811280279E-5+8.836999239187961E-7i      9.039965533898754E-6-8.89204137876375E-7i         -3.3900128028311517E-6+2.6678464446198596E-6i     -3.8625444247980644E-5-6.759655056488633E-7i      3.855396696386889E-5+6.069726390513724E-7i        -1.686607932842573E-5+8.95407987580555E-6i        -4.872212679480261E-5-3.849671028637265E-6i       1.2417726758992125E-4+1.771334809836718E-5i       -5.334285125981252E-5+1.6188593652604927E-5i      -2.0806393175939694E-6+6.052614741380627E-8i      1.4946034307227783E-6-3.627747826113159E-8i       -5.48046017116743E-7+6.351919774367379E-7i        -5.29507117356842E-6+5.35414916403443E-7i         5.299089163236208E-6-5.457428323384473E-7i        -1.1935779965160024E-6+1.100884544536097E-6i      -9.061016290704564E-6+8.934380825155285E-7i       1.3901910030112176E-5-8.860973452133742E-7i       -3.4613497140083326E-6+2.6564565443221463E-6i     -6.8222764836887625E-6+7.887087344225503E-7i      2.511147077414527E-5+3.349862225383792E-7i        -6.771432481753421E-6+4.771791036511218E-6i       -5.215630604485637E-7-1.269202199620439E-7i       5.149666775284625E-7+1.316952874803366E-7i        -3.048560472482837E-7+5.105011981794162E-7i       -1.5068585291431093E-6+4.6141141479356616E-8i     2.069168470046192E-6-5.9323173850022656E-8i       -5.286844098360505E-7+6.311820906951862E-7i       -1.990735386645265E-6+1.242284466040434E-7i       4.28262628034304E-6-1.5945315426669597E-7i        -9.315787214942106E-7+9.654553786316418E-7i       -9.782034055086956E-7-3.154728350041365E-8i       5.563234902421795E-6+1.5010159838494315E-7i       -1.292363869597624E-6+1.4510447335020082E-6i
-0.04                     -0.03                    0.003                    0.0013828688363193738+1.2550174586643337E-4i      -2.5024081415826998E-5-1.9146921603310535E-6i     4.914989642052382E-4-1.4909041178787588E-4i       1.5507835584202968E-4+2.2491500476892458E-5i      3.1996544569956305E-6-1.7937298849713349E-6i      -6.762090177460183E-5+1.702345862640098E-5i       2.849129723586258E-5-7.432749319853771E-8i        1.172846217166216E-6-6.513681907276837E-7i        -7.437754235964276E-6+5.448791781053688E-6i       6.119243481973641E-6+5.784805877355639E-8i        2.3693486617980928E-7-5.049060069134615E-8i       -1.4138581982720648E-6+1.4237419467235245E-6i     1.602494391969755E-4+2.4102644220808217E-5i       2.9764354478985515E-4+5.6624250921699074E-5i      -1.3926811330435956E-4+3.7981314422253832E-6i     7.896071763416447E-5+5.572130270566436E-6i        5.135135078009409E-5+4.187019763516499E-6i        -3.4979590565360834E-5+1.4098438238482896E-5i     2.1247753519649812E-5-1.2403776804870536E-6i      8.72062044963588E-6-6.87395479972185E-7i          -5.298529944270443E-6+3.98590231912315E-6i        5.761468754998818E-6-3.2715161188283696E-7i       1.7927201309383937E-6-1.6581002057945322E-7i      -1.1528220454182967E-6+1.1479831439205607E-6i     1.6791165979158527E-5-7.769910128604317E-7i       5.386606087245466E-5+3.6254944838616467E-6i       -1.9425277051121138E-5+9.504330630837456E-6i      1.864053886343554E-5-1.1808600311624147E-6i       2.3372894057354855E-5-5.47056921972131E-7i        -7.682587680879543E-6+5.204984294258561E-6i       9.100312655636083E-6-9.355723525453224E-7i        7.054686055210862E-6-6.453840649928234E-7i        -2.1648427602122937E-6+1.8325054794155136E-6i     3.173594307559541E-6-1.5785053801035608E-7i       1.876821055468403E-6-1.1774888155672831E-7i       -6.969061470319522E-7+7.563828273270055E-7i       2.5210948264100554E-6-1.6051652164835765E-7i      1.1539096972450116E-5+5.766978865718447E-8i       -2.7061768285530996E-6+2.418151949800889E-6i      4.129763557624623E-6-3.4624182440149135E-7i       7.558787094342257E-6-3.646739122134166E-7i        -1.7249486356138394E-6+1.5680104321152318E-6i     2.777116928868411E-6-1.5597051906096834E-7i       3.2853440465776193E-6-1.9345788916664183E-7i      -8.019970692260447E-7+8.575394597445715E-7i       9.581780336461775E-7+1.6437128938628853E-7i       9.770042376971659E-7+5.6843086011968836E-8i       -3.8839017950292455E-7+5.475073471772898E-7i
