% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 10:47
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500
0                         -0.006                   -0.010904092280330032-0.03572460448209554i
3.0303030303030303E-4     -0.006                   -23.316615824543746-8.787574821754903i
6.060606060606061E-4      -0.006                   -46.447153474499395-17.506751425332872i
9.090909090909091E-4      -0.006                   -69.40251704214714-26.193254415215964i
0.0012121212121212121     -0.006                   -92.12352671726497-34.80125190820387i
0.0015151515151515152     -0.006                   -114.38407331372912-43.28924455684354i
0.0018181818181818182     -0.006                   -136.16365027430976-51.66492948002769i
0.002121212121212121      -0.006                   -157.44361835950411-59.89693678744057i
0.0024242424242424242     -0.006                   -178.0346916966352-67.93168911629185i
0.0027272727272727275     -0.006                   -197.8877007508533-75.80000169449941i
0.0030303030303030303     -0.006                   -217.00092800760035-83.49296835816851i
0.003333333333333333      -0.006                   -235.2603534490872-90.92137803550467i
0.0036363636363636364     -0.006                   -252.59938751430153-98.15069021557765i
0.00393939393939394       -0.006                   -269.018030203243-105.1809048983874i
0.004242424242424242      -0.006                   -284.47564978288204-111.93175253503993i
0.004545454545454545      -0.006                   -298.9204551712017-118.46477079295204i
0.0048484848484848485     -0.006                   -312.3534637590415-124.80017544887508i
0.005151515151515152      -0.006                   -324.7632391585416-130.8880413725763i
0.005454545454545455      -0.006                   -336.15096025534945-136.75286668635263i
0.005757575757575757      -0.006                   -346.5284563992122-142.45274256120308i
0.006060606060606061      -0.006                   -355.8916182289208-147.96644947266836i
0.006363636363636364      -0.006                   -364.27123107084316-153.26296218883516i
0.006666666666666666      -0.006                   -371.7124746432025-158.4489143685247i
0.0069696969696969695     -0.006                   -378.2153489459929-163.5243060117364i
0.007272727272727273      -0.006                   -383.8164853457254-168.42245357735985i
0.007575757575757576      -0.006                   -388.6029779283272-173.26317512738444i
0.00787878787878788       -0.006                   -392.57705418935706-178.05706646011427i
0.008181818181818182      -0.006                   -395.75889794930424-182.75911818132622i
0.008484848484848484      -0.006                   -398.2622777381596-187.43438650398386i
0.008787878787878787      -0.006                   -400.10386179313576-192.12539096129169i
0.00909090909090909       -0.006                   -401.2909071212147-196.80956131903332i
0.009393939393939394      -0.006                   -401.93281847848164-201.49056154331248i
0.009696969696969697      -0.006                   -402.0663629430532-206.23923268951089i
0.01                      -0.006                   -401.6915405149243-211.05557475762848i
0.010303030303030303      -0.006                   -400.8866548324076-215.8849194769349i
0.010606060606060607      -0.006                   -399.7142286850705-220.82004736975023i
0.01090909090909091       -0.006                   -398.17426207290623-225.86095843607416i
0.011212121212121211      -0.006                   -396.30476807543283-230.96815869794386i
0.011515151515151515      -0.006                   -394.18527888782984-236.18525948962946i
0.011818181818181818      -0.006                   -391.81737153528564-241.53290033348586i
0.012121212121212121      -0.006                   -389.21358466746943-246.98866056380166i
0.012424242424242424      -0.006                   -386.44636880101905-252.55178700237806i
0.012727272727272728      -0.006                   -383.5252793293399-258.26039228549274i
0.013030303030303031      -0.006                   -380.45188999479024-264.10912454622536i
0.013333333333333332      -0.006                   -377.2777971928892-270.05964536127146i
0.013636363636363636      -0.006                   -374.020751616043-276.1637841336902i
0.013939393939393939      -0.006                   -370.6807532642533-282.4215408634815i
0.014242424242424242      -0.006                   -367.28204436818703-288.7951424296695i
0.014545454545454545      -0.006                   -363.85230875058085-295.31761976578014i
0.014848484848484849      -0.006                   -360.39058201996295-301.99893849570105i
0.015151515151515152      -0.006                   -356.9051641243344-308.8172656746563i
0.015454545454545455      -0.006                   -353.42227753718913-315.77636598852456i
0.01575757575757576       -0.006                   -349.94236313504194-322.8993272773719i
0.01606060606060606       -0.006                   -346.4669689125063-330.17809016888384i
0.016363636363636365      -0.006                   -343.01453467435476-337.5927246041766i
0.016666666666666666      -0.006                   -339.5880656560687-345.1783001112171i
0.016969696969696968      -0.006                   -336.1875618576507-352.93481669000494i
0.017272727272727273      -0.006                   -332.82184774936957-360.83308927310844i
0.017575757575757574      -0.006                   -329.49662528539534-368.90931300369886i
0.01787878787878788       -0.006                   -326.2116269125919-377.1672702913119i
0.01818181818181818       -0.006                   -322.96920338045044-385.58929569920207i
0.018484848484848486      -0.006                   -319.77510227144194-394.19409076316634i
0.018787878787878787      -0.006                   -316.6293892106472-402.9966357052559i
0.019090909090909092      -0.006                   -313.53220792623796-411.98858433695756i
0.019393939393939394      -0.006                   -310.4861726587665-421.1736517334134i
0.019696969696969695      -0.006                   -307.49225252102923-430.57930489490684i
0.02                      -0.006                   -304.55044751302785-440.2055438214371i
0.020303030303030302      -0.006                   -301.6596992689415-450.03921674203673i
0.020606060606060607      -0.006                   -298.82160658216253-460.12524930299736i
0.02090909090909091       -0.006                   -296.03616945269437-470.46364150431725i
0.021212121212121213      -0.006                   -293.3012706712045-481.04655049947485i
0.021515151515151515      -0.006                   -290.61604513262347-491.9156304160678i
0.02181818181818182       -0.006                   -287.98103404667825-503.0808023271554i
0.02212121212121212       -0.006                   -285.39468047675956-514.5367534064947i
0.022424242424242423      -0.006                   -282.8524503522182-526.3230275597787i
0.022727272727272728      -0.006                   -280.3550695341073-538.4656798772897i
0.02303030303030303       -0.006                   -277.90213159110266-550.9627642974137i
0.023333333333333334      -0.006                   -275.4851514286537-563.844765038304i
0.023636363636363636      -0.006                   -273.10350485633563-577.166876145362i
0.02393939393939394       -0.006                   -270.7571918741489-590.9290976185882i
0.024242424242424242      -0.006                   -268.438134231854-605.1507083554126i
0.024545454545454544      -0.006                   -266.13896556914887-619.9243475031035i
0.02484848484848485       -0.006                   -263.8602137765985-635.257095150674i
0.02515151515151515       -0.006                   -261.5965046613454-651.1596039181425i
0.025454545454545455      -0.006                   -259.33198415489665-667.7644810889551i
0.025757575757575757      -0.006                   -257.06674176060864-685.1052764709078i
0.026060606060606062      -0.006                   -254.79849484563186-703.1815950033756i
0.026363636363636363      -0.006                   -252.5057104972111-722.1645531735958i
0.026666666666666665      -0.006                   -250.18772923728434-742.1705990034764i
0.02696969696969697       -0.006                   -247.84455106585207-763.199732493017i
0.02727272727272727       -0.006                   -245.45435387893136-785.4180318376699i
0.027575757575757576      -0.006                   -243.02612265269514-809.198375902343i
0.027878787878787878      -0.006                   -240.5617340417014-834.5497064977613i
0.028181818181818183      -0.006                   -238.04371832502562-861.5750674315841i
0.028484848484848484      -0.006                   -235.53066630528656-891.32585268983i
0.02878787878787879       -0.006                   -233.04741635367623-924.0048018812034i
0.02909090909090909       -0.006                   -230.52141573347296-959.0746634638513i
0.029393939393939392      -0.006                   -228.73609827681253-1005.4204681942016i
0.029696969696969697      -0.006                   -228.334691833558-1069.4657693893168i
0.03                      -0.006                   -229.31719640371085-1151.2105670491956i
0                         -0.00593939393939394     0.0760616443060472+0.5666363521984943i
3.0303030303030303E-4     -0.00593939393939394     -38.581167600237514-11.342265831921702i
6.060606060606061E-4      -0.00593939393939394     -76.8228586011091-23.243966421240362i
9.090909090909091E-4      -0.00593939393939394     -114.88937551967236-35.112993396864056i
0.0012121212121212121     -0.00593939393939394     -152.1578522977558-45.502661879697925i
0.0015151515151515152     -0.00593939393939394     -188.47011465012713-56.877183342549046i
0.0018181818181818182     -0.00593939393939394     -224.30140736661872-68.1393970799453i
0.002121212121212121      -0.00593939393939394     -258.9719259640211-78.09784993586935i
0.0024242424242424242     -0.00593939393939394     -291.5294718387732-88.31099045177946i
0.0027272727272727275     -0.00593939393939394     -323.348953430614-98.35769121704617i
0.0030303030303030303     -0.00593939393939394     -354.2958984088437-107.46797024790511i
0.003333333333333333      -0.00593939393939394     -381.7978903529755-116.05983379709185i
0.0036363636363636364     -0.00593939393939394     -408.3604880683382-124.52880377605933i
0.00393939393939394       -0.00593939393939394     -434.0026944074292-132.7986762577638i
0.004242424242424242      -0.00593939393939394     -456.2643726086042-139.51369400647903i
0.004545454545454545      -0.00593939393939394     -476.8414353290173-146.28118182591953i
0.0048484848484848485     -0.00593939393939394     -496.40670124896076-152.85105604337258i
