% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 12 2022, 18:03"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% r,z,mf.Jphi (A/m^2) @ freq=20000
0,-0.006,2.166563967816626E-11-9.964617176640678E-12i
1.507537688442211E-4,-0.006,-5.893216351344645E-10-1.953212169610061E-9i
3.015075376884422E-4,-0.006,-1.1980581921724874E-9-3.8845892087643346E-9i
4.5226130653266326E-4,-0.006,-1.8045440314359047E-9-5.804095734639472E-9i
6.030150753768844E-4,-0.006,-2.4087791529247127E-9-7.711731747235463E-9i
7.537688442211055E-4,-0.006,-3.010763556638916E-9-9.607497246552305E-9i
9.045226130653265E-4,-0.006,-3.6104972425785106E-9-1.1491392232590009E-8i
0.0010552763819095476,-0.006,-4.2103353067038575E-9-1.3362105137327683E-8i
0.0012060301507537687,-0.006,-4.812090140048077E-9-1.5203762563750026E-8i
0.0013567839195979898,-0.006,-5.411740002892393E-9-1.7011716019287757E-8i
0.001507537688442211,-0.006,-6.009284895236801E-9-1.8785965503940858E-8i
0.001658291457286432,-0.006,-6.6047248170813055E-9-2.0526511017709347E-8i
0.001809045226130653,-0.006,-7.1980597684259074E-9-2.2233352560593233E-8i
0.001959798994974874,-0.006,-7.789289749270602E-9-2.3906490132592496E-8i
0.002110552763819095,-0.006,-8.380910307014781E-9-2.5540520079432258E-8i
0.0022613065326633165,-0.006,-8.969946012765848E-9-2.7123965488547134E-8i
0.0024120603015075374,-0.006,-9.55527595577684E-9-2.8656496617181913E-8i
0.0025628140703517583,-0.006,-1.0136900136047773E-8-3.013811346533658E-8i
0.0027135678391959797,-0.006,-1.071481855357863E-8-3.1568816033011154E-8i
0.0028643216080402006,-0.006,-1.1289031208369424E-8-3.294860432020564E-8i
0.003015075376884422,-0.006,-1.1860052058892687E-8-3.427705187118087E-8i
0.003165829145728643,-0.006,-1.2430811006685687E-8-3.554474535496329E-8i
0.003316582914572864,-0.006,-1.2995715525842151E-8-3.675061240361034E-8i
0.003467336683417085,-0.006,-1.3554765616362084E-8-3.7894653017122E-8i
0.003618090452261306,-0.006,-1.410796127824548E-8-3.897686719549829E-8i
0.003768844221105527,-0.006,-1.4655302511492348E-8-3.999725493873919E-8i
0.003919597989949748,-0.006,-1.5196789316102683E-8-4.0955816246844744E-8i
0.004070351758793969,-0.006,-1.5734630758698144E-8-4.185032464270509E-8i
