% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 00:26
% Dimension:          3
% Nodes:              500
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=500, Material Switch 1=Air       mf.By (T) @ freq=500, Material Switch 1=Air       mf.Bz (T) @ freq=500, Material Switch 1=Air
-0.02                     0                        0.0015                   9.845702119835916E-6-4.1372009907947146E-11i      1.112917727249987E-7-4.54684939597429E-13i        -7.794529332522414E-5+3.351565667553629E-10i
-0.019919839679358717     0                        0.0015                   1.010049761442013E-5-4.244176975103638E-11i       5.443904348460208E-8-2.0891484036413804E-13i      -7.894614789033085E-5+3.392958126087525E-10i
-0.019839679358717437     0                        0.0015                   1.035529310900465E-5-4.351152959412683E-11i       -2.4136857558894028E-9+3.68552588691529E-14i      -7.994700245543698E-5+3.4343505846214047E-10i
-0.019759519038076153     0                        0.0015                   1.0610088603588542E-5-4.458128943721487E-11i      -5.9266414996326676E-8+2.8262535810228875E-13i    -8.094785702054307E-5+3.475743043155278E-10i
-0.01967935871743487      0                        0.0015                   1.0864884098172907E-5-4.565104928030488E-11i      -1.1611914423673684E-7+5.283954573355797E-13i     -8.194871158564938E-5+3.517135501689163E-10i
-0.01959919839679359      0                        0.0015                   1.1119679592757111E-5-4.67208091233945E-11i       -1.729718734771199E-7+7.741655565687672E-13i      -8.294956615075548E-5+3.5585279602230426E-10i
-0.019519038076152306     0                        0.0015                   1.1374475087341646E-5-4.779056896648493E-11i      -2.2982460271750297E-7+1.0199356558021616E-12i    -8.395042071586165E-5+3.599920418756917E-10i
-0.019438877755511022     0                        0.0015                   1.1629270581925789E-5-4.886032880957394E-11i      -2.8667733195804866E-7+1.2657057550356593E-12i    -8.49512752809681E-5+3.6413128772908163E-10i
-0.01935871743486974      0                        0.0015                   1.1884066076510115E-5-4.9930088652663754E-11i     -3.435300611983233E-7+1.5114758542682782E-12i     -8.595212984607417E-5+3.6827053358246836E-10i
-0.01927855711422846      0                        0.0015                   1.213886157109417E-5-5.099984849575327E-11i       -4.0038279043885544E-7+1.7572459535017242E-12i    -8.695298441118064E-5+3.7240977943585653E-10i
-0.019198396793587175     0                        0.0015                   1.2393657065678473E-5-5.206960833884235E-11i      -4.5723551967917074E-7+2.0030160527349635E-12i    -8.795383897628673E-5+3.765490252892453E-10i
-0.01911823647294589      0                        0.0015                   1.2648452560262612E-5-5.3139368181931274E-11i     -5.140882489196555E-7+2.2487861519680993E-12i     -8.895469354139306E-5+3.806882711426333E-10i
-0.01903807615230461      0                        0.0015                   1.2903248054846718E-5-5.420912802502007E-11i      -5.709409781599708E-7+2.494556251201416E-12i      -8.995554810649929E-5+3.848275169960202E-10i
-0.018957915831663327     0                        0.0015                   1.3158043549430946E-5-5.527888786810938E-11i      -6.277937074005164E-7+2.740326350434888E-12i      -9.095640267160538E-5+3.889667628494087E-10i
-0.018877755511022044     0                        0.0015                   1.2627064283592555E-5-5.309535885223847E-11i      6.090495207655743E-7-2.450080205499035E-12i       -9.31130034860859E-5+3.979012983031991E-10i
-0.01879759519038076      0                        0.0015                   1.3304639352263521E-5-5.5995842858675596E-11i     5.221028325629192E-7-2.086522252132339E-12i       -9.398878383792142E-5+4.014646634602681E-10i
-0.01871743486973948      0                        0.0015                   1.398221442093381E-5-5.889632686511045E-11i       4.351561443608604E-7-1.7229642987670907E-12i      -9.486456418975617E-5+4.050280286173341E-10i
-0.018637274549098196     0                        0.0015                   1.4659789489604398E-5-6.179681087154664E-11i      3.4820945615842216E-7-1.359406345401222E-12i      -9.574034454159144E-5+4.085913937744018E-10i
-0.018557114228456913     0                        0.0015                   1.5337364558274877E-5-6.469729487798139E-11i      2.612627679558755E-7-9.958483920351465E-13i       -9.661612489342679E-5+4.1215475893146957E-10i
-0.018476953907815633     0                        0.0015                   1.60149396269453E-5-6.75977788844149E-11i         1.7431607975365408E-7-6.322904386696913E-13i      -9.74919052452619E-5+4.157181240885371E-10i
-0.01839679358717435      0                        0.0015                   1.669251469561608E-5-7.049826289085243E-11i       8.736939155143267E-8-2.6873248530423617E-13i      -9.836768559709734E-5+4.1928148924560616E-10i
-0.018316633266533065     0                        0.0015                   1.737008976428683E-5-7.33987468972878E-11i        4.2270334894021003E-10+9.482546806204616E-14i     -9.924346594893254E-5+4.2284485440267197E-10i
-0.018236472945891785     0                        0.0015                   1.8047664832956888E-5-7.629923090372048E-11i      -8.652398485338962E-8+4.583834214272945E-13i      -1.0011924630076783E-4+4.264082195597412E-10i
-0.0181563126252505       0                        0.0015                   1.872523990162738E-5-7.919971491015636E-11i       -1.7347067305582787E-7+8.219413747933701E-13i     -1.0099502665260309E-4+4.299715847168078E-10i
-0.018076152304609218     0                        0.0015                   1.940281497029828E-5-8.210019891659287E-11i       -2.604173612580493E-7+1.1854993281584116E-12i     -1.018708070044381E-4+4.335349498738748E-10i
-0.017995991983967938     0                        0.0015                   2.0080390038968324E-5-8.500068292302524E-11i      -3.4736404946059595E-7+1.5490572815249007E-12i    -1.027465873562735E-4+4.370983150309433E-10i
-0.017915831663326654     0                        0.0015                   2.075796510763879E-5-8.790116692946236E-11i       -4.343107376628716E-7+1.912615234890356E-12i      -1.0362236770810858E-4+4.406616801880098E-10i
-0.01783567134268537      0                        0.0015                   2.1435540176309594E-5-9.080165093589587E-11i      -5.212574258652014E-7+2.276173188255811E-12i      -1.0449814805994399E-4+4.442250453450781E-10i
-0.017755511022044087     0                        0.0015                   2.2113115244980168E-5-9.37021349423316E-11i       -6.082041140675854E-7+2.6397311416218866E-12i     -1.0537392841177906E-4+4.477884105021453E-10i
-0.017675350701402807     0                        0.0015                   2.2790690313650715E-5-9.660261894876717E-11i      -6.951508022699695E-7+3.0032890949875485E-12i     -1.0624970876361441E-4+4.5135177565921254E-10i
-0.017595190380761523     0                        0.0015                   2.3468265382321166E-5-9.950310295520295E-11i      -7.820974904723806E-7+3.366847048353624E-12i      -1.0712548911544941E-4+4.549151408162803E-10i
-0.01751503006012024      0                        0.0015                   2.4145840450991388E-5-1.0240358696163713E-10i     -8.690441786747647E-7+3.730405001719079E-12i      -1.0800126946728484E-4+4.584785059733479E-10i
-0.01743486973947896      0                        0.0015                   2.4823415519662192E-5-1.053040709680726E-10i      -9.559908668770403E-7+4.093962955084948E-12i      -1.0887704981911997E-4+4.6204187113041515E-10i
-0.017354709418837676     0                        0.0015                   2.5500990588332644E-5-1.0820455497450709E-10i     -1.0429375550796412E-6+4.45752090845061E-12i      -1.09752830170955E-4+4.656052362874826E-10i
-0.017274549098196392     0                        0.0015                   2.6178565657003245E-5-1.1110503898094267E-10i     -1.1298842432818897E-6+4.821078861816582E-12i     -1.1062861052279051E-4+4.691686014445512E-10i
-0.01719438877755511      0                        0.0015                   2.685614072567375E-5-1.1400552298737638E-10i      -1.2168309314841111E-6+5.184636815182037E-12i     -1.1150439087462567E-4+4.727319666016184E-10i
-0.01711422845691383      0                        0.0015                   2.7533715794343783E-5-1.1690600699381175E-10i     -1.3037776196864951E-6+5.548194768547389E-12i     -1.1238017122646098E-4+4.762953317586864E-10i
-0.017034068136272545     0                        0.0015                   2.8211290863014844E-5-1.19806491000248E-10i       -1.3907243078888792E-6+5.911752721913258E-12i     -1.1325595157829638E-4+4.798586969157537E-10i
-0.01695390781563126      0                        0.0015                   2.888886593168516E-5-1.227069750066832E-10i       -1.4776709960914394E-6+6.27531067527985E-12i      -1.1413173193013158E-4+4.834220620728212E-10i
-0.01687374749498998      0                        0.0015                   3.156827056572408E-5-1.338912626122594E-10i       2.042730010664079E-7-6.689223643985416E-13i       -1.1895577808832533E-4+5.033028717830836E-10i
-0.016793587174348697     0                        0.0015                   3.223986752649247E-5-1.3675749132673911E-10i      2.347261861799466E-7-7.947745182206479E-13i       -1.2002877587212905E-4+5.076770317597505E-10i
-0.016713426853707414     0                        0.0015                   3.29114644872612E-5-1.3962372004122165E-10i       2.6517937129378686E-7-9.206266720439174E-13i      -1.2110177365593306E-4+5.120511917364175E-10i
-0.016633266533066134     0                        0.0015                   3.3583061448029757E-5-1.4248994875570206E-10i     2.9563255640746447E-7-1.0464788258670835E-12i     -1.2217477143973806E-4+5.164253517130882E-10i
-0.01655310621242485      0                        0.0015                   3.425465840879836E-5-1.4535617747018503E-10i      3.26085741521025E-7-1.1723309796903987E-12i       -1.2324776922354147E-4+5.207995116897534E-10i
-0.016472945891783566     0                        0.0015                   3.49262553695666E-5-1.4822240618466573E-10i       3.56538926634735E-7-1.2981831335139457E-12i       -1.2432076700734645E-4+5.251736716664225E-10i
-0.016392785571142286     0                        0.0015                   3.559785233033527E-5-1.5108863489914816E-10i      3.869921117485278E-7-1.4240352873370084E-12i      -1.253937647911502E-4+5.295478316430892E-10i
-0.016312625250501003     0                        0.0015                   3.696104733174471E-5-1.567489413296388E-10i       -2.323397113290505E-6+1.0084018631973703E-11i     -1.295233386349379E-4+5.466235023044472E-10i
-0.01623246492985972      0                        0.0015                   3.77341910590117E-5-1.6000841692646913E-10i       -2.404884054722141E-6+1.0432685505367755E-11i     -1.320534544748044E-4+5.570610809972709E-10i
-0.01615230460921844      0                        0.0015                   3.8507334786279444E-5-1.6326789252329782E-10i     -2.48637099615396E-6+1.0781352378762893E-11i      -1.3458357031467067E-4+5.67498659690097E-10i
-0.016072144288577155     0                        0.0015                   4.188805373185947E-5-1.781497328266574E-10i       -6.360668028826009E-7+2.5915822763184264E-12i     -1.3243322004767382E-4+5.585798896982599E-10i
