% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 23 2022, 12:28
% Dimension:          3
% Nodes:              500
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=500                              mf.By (T) @ freq=500                              mf.Bz (T) @ freq=500
-0.03                     0                        0.0015                   7.281763935198968E-6+9.659016704374538E-7i        -1.9416294498900925E-8+1.3312280702847628E-9i     -1.1523767408217649E-4+6.332637517184117E-7i
-0.029879759519038075     0                        0.0015                   7.567165952079868E-6+9.836338573218722E-7i        2.203252711264342E-8+6.900125208477909E-10i       -1.1718636404463133E-4+6.317912073327755E-7i
-0.02975951903807615      0                        0.0015                   7.478717813057161E-6+9.990549754120008E-7i        5.804740982806242E-8-7.231898206910663E-10i       -1.1875134962971456E-4+6.319858806691701E-7i
-0.029639278557114228     0                        0.0015                   7.704669798265713E-6+1.0175681280151253E-6i       3.899681430487474E-8-5.37925514153731E-10i        -1.2082864649557356E-4+6.294796556786674E-7i
-0.029519038076152304     0                        0.0015                   7.930621783472868E-6+1.0360812806182578E-6i       1.9946218781903904E-8-3.526612076231719E-10i      -1.2290594336143197E-4+6.269734306881597E-7i
-0.02939879759519038      0                        0.0015                   8.156573768681487E-6+1.0545944332213709E-6i       8.956232582825463E-10-1.6739690107906032E-10i     -1.2498324022729108E-4+6.244672056976562E-7i
-0.029278557114228457     0                        0.0015                   8.382525753890431E-6+1.073107585824494E-6i        -1.8154972263387248E-8+1.7867405448110602E-11i    -1.2706053709314987E-4+6.21960980707151E-7i
-0.029158316633266533     0                        0.0015                   8.608477739098508E-6+1.0916207384276224E-6i       -3.720556778765913E-8+2.0313171198883405E-10i     -1.2913783395900947E-4+6.194547557166518E-7i
-0.02903807615230461      0                        0.0015                   8.834429724307018E-6+1.1101338910307507E-6i       -5.625616331019628E-8+3.8839601852616937E-10i     -1.3121513082486858E-4+6.169485307261508E-7i
-0.028917835671342686     0                        0.0015                   8.612766328984283E-6+1.1292814479395176E-6i       -2.6958636803377928E-8+6.009013105962133E-10i     -1.33163082092254E-4+6.142366969643374E-7i
-0.028797595190380762     0                        0.0015                   8.787542502519154E-6+1.1473738318590073E-6i       -8.722037119802961E-8+5.857867237984884E-10i      -1.3555920040027834E-4+6.121850044782018E-7i
-0.02867735470941884      0                        0.0015                   8.89547613460123E-6+1.1673255891424872E-6i        -8.165542097473763E-8+3.344088616384481E-10i      -1.379916617290553E-4+6.085394403816816E-7i
-0.028557114228456915     0                        0.0015                   9.00340976668721E-6+1.1872773464259164E-6i        -7.609047075274669E-8+8.303099948518407E-11i      -1.4042412305783117E-4+6.048938762851953E-7i
-0.028436873747494987     0                        0.0015                   9.612360018389438E-6+1.2104032862284123E-6i       9.81952966725222E-9+1.8893058602809586E-10i       -1.427792192752148E-4+6.017976364796131E-7i
-0.028316633266533064     0                        0.0015                   9.900992052892278E-6+1.2314497842561037E-6i       4.137558387963883E-8+8.664734376637217E-11i       -1.4517032010524062E-4+5.984602164904541E-7i
-0.02819639278557114      0                        0.0015                   1.01896240873936E-5+1.2524962822838138E-6i        7.293163809115807E-8-1.5635898473328677E-11i      -1.4756142093526662E-4+5.951227965013051E-7i
-0.028076152304609216     0                        0.0015                   1.0478256121896224E-5+1.2735427803115408E-6i      1.044876923009426E-7-1.1791914071980578E-10i      -1.4995252176529142E-4+5.917853765121122E-7i
-0.027955911823647293     0                        0.0015                   1.0332953003176418E-5+1.2965231567063282E-6i      -1.212835971038705E-7-2.4497250508711383E-10i     -1.5324080848401418E-4+5.857264948452966E-7i
-0.02783567134268537      0                        0.0015                   1.0017681755276374E-5+1.3158953777118842E-6i      4.9900245150627954E-8-1.3780331487859311E-9i      -1.5508254099965088E-4+5.834885509177282E-7i
-0.027715430861723445     0                        0.0015                   1.0455941736878482E-5+1.3413169981649919E-6i      1.7662479635354974E-8-9.494728078059604E-10i      -1.581037757038908E-4+5.781973749620452E-7i
-0.02759519038076152      0                        0.0015                   1.1031979311519895E-5+1.3643323940056592E-6i      -7.492293047106115E-8-7.55635656202522E-10i       -1.6115166254312404E-4+5.738031944600188E-7i
-0.027474949899799598     0                        0.0015                   1.1266467077450837E-5+1.389422649007006E-6i       -5.646007763702651E-8-4.515060025414076E-10i      -1.6409085592564436E-4+5.683695743991781E-7i
-0.027354709418837674     0                        0.0015                   1.1500954843384273E-5+1.414512904008333E-6i       -3.799722480060663E-8-1.473763488904576E-10i      -1.6703004930816636E-4+5.629359543383252E-7i
-0.02723446893787575      0                        0.0015                   1.1735442609314348E-5+1.4396031590096738E-6i      -1.9534371965921477E-8+1.567533047740449E-10i     -1.6996924269068706E-4+5.575023342774697E-7i
-0.027114228456913827     0                        0.0015                   1.1969930375248542E-5+1.4646934140110044E-6i      -1.0715191299352778E-9+4.608829584249949E-10i     -1.729084360732071E-4+5.520687142166143E-7i
-0.026993987975951903     0                        0.0015                   1.2204418141179051E-5+1.4897836690123333E-6i      1.739133370518356E-8+7.650126120894974E-10i       -1.7584762945572737E-4+5.46635094155774E-7i
-0.02687374749498998      0                        0.0015                   1.2440616415210388E-5+1.5151993758642348E-6i      2.681352953806844E-7+2.0482567923161757E-9i       -1.7935956435038763E-4+5.386574075531055E-7i
-0.026753507014028056     0                        0.0015                   1.2877872115790723E-5+1.5428584970004512E-6i      2.741527092030619E-7+8.52907583208675E-10i        -1.8267867368419385E-4+5.329727027974257E-7i
-0.026633266533066132     0                        0.0015                   1.289280140045408E-5+1.568896712657632E-6i        6.963030329230901E-8+5.415545651556316E-10i       -1.8590849143792379E-4+5.272925988286122E-7i
-0.02651302605210421      0                        0.0015                   1.3107677728944981E-5+1.5967638330126912E-6i      1.9153092461641694E-8+7.09073476526373E-11i       -1.894157602845355E-4+5.184962728001095E-7i
-0.026392785571142285     0                        0.0015                   1.3322554057435177E-5+1.6246309533677462E-6i      -3.1324118368591947E-8-3.997398698486629E-10i     -1.9292302913114797E-4+5.096999467716027E-7i
-0.02627254509018036      0                        0.0015                   1.3537430385926648E-5+1.6524980737227998E-6i      -8.180132919947611E-8-8.703870873550453E-10i      -1.9643029797776035E-4+5.009036207431055E-7i
-0.026152304609218437     0                        0.0015                   1.3737555383651822E-5+1.681604748942004E-6i       -3.452822192290088E-8-4.351725720582383E-10i      -2.0034364764390114E-4+4.917009026423245E-7i
-0.02603206412825651      0                        0.0015                   1.4240188025567771E-5+1.7125028814540993E-6i      -2.9579276389357645E-9-3.258912158263515E-11i     -2.0407776304523864E-4+4.836886403348952E-7i
-0.025911823647294586     0                        0.0015                   1.4742820667484804E-5+1.7434010139662048E-6i      2.861236664470409E-8+3.699943288980502E-10i       -2.078118784465694E-4+4.7567637802741E-7i
-0.025791583166332663     0                        0.0015                   1.524545330940227E-5+1.7742991464783002E-6i       6.018266092791026E-8+7.725777793694182E-10i       -2.115459938479081E-4+4.6766411571995783E-7i
-0.02567134268537074      0                        0.0015                   1.534523803197775E-5+1.805957861387784E-6i        -1.5397005643374984E-7+1.4493340073138342E-9i     -2.15512371486849E-4+4.5767825057840657E-7i
-0.025551102204408815     0                        0.0015                   1.5626773938778654E-5+1.8389591249450284E-6i      7.547079340761067E-8+1.2379234698569178E-9i       -2.196069829144256E-4+4.4640896220739917E-7i
-0.02543086172344689      0                        0.0015                   1.607134766681243E-5+1.872887605449213E-6i        2.2934011950946154E-8+1.0868034015376248E-10i     -2.2408909747766137E-4+4.333429912704097E-7i
-0.025310621242484968     0                        0.0015                   1.6515921394850866E-5+1.9068160859534024E-6i      -2.9602769506965193E-8-1.0205627895476987E-9i     -2.2857121204089543E-4+4.202770203334269E-7i
-0.025190380761523044     0                        0.0015                   1.6960495122884966E-5+1.9407445664575655E-6i      -8.213955096376523E-8-2.1498059192591126E-9i      -2.3305332660413232E-4+4.0721104939642905E-7i
-0.02507014028056112      0                        0.0015                   1.7405068850915922E-5+1.974673046961816E-6i       -1.346763324196979E-7-3.279049048956974E-9i       -2.3753544116736835E-4+3.941450784594457E-7i
-0.024949899799599197     0                        0.0015                   1.7680343350431806E-5+2.0089416195097934E-6i      -1.8930500449414883E-7-3.951569782456273E-9i      -2.4196930203031653E-4+3.8049660323322847E-7i
-0.024829659318637273     0                        0.0015                   1.812767055198953E-5+2.0447281468596727E-6i       9.438418401724359E-8-3.186653280501736E-9i        -2.466699966291814E-4+3.681326760959835E-7i
-0.02470941883767535      0                        0.0015                   1.8469750859881773E-5+2.0814120571213503E-6i      1.5905079778200625E-7-7.702568656089639E-10i      -2.5141100468558904E-4+3.5413990046078087E-7i
-0.024589178356713426     0                        0.0015                   1.88118311677738E-5+2.1180959673830126E-6i        2.2371741154823257E-7+1.6461395492738555E-9i      -2.56152012741996E-4+3.401471248255776E-7i
-0.024468937875751502     0                        0.0015                   1.9153911475666154E-5+2.154779877644697E-6i       2.8838402531912097E-7+4.062535964118982E-9i       -2.6089302079839935E-4+3.261543491903398E-7i
-0.02434869739478958      0                        0.0015                   1.999261322271884E-5+2.1953807670434193E-6i       -4.786157389684298E-7-5.19290696265873E-10i       -2.6667729099922634E-4+3.063092109974356E-7i
-0.024228456913827655     0                        0.0015                   2.0129455880655623E-5+2.2331494413009956E-6i      -3.0554933026349235E-7-4.2982027251357423E-10i    -2.722986028332562E-4+2.859581361151288E-7i
-0.02410821643286573      0                        0.0015                   2.0266298538594465E-5+2.270918115558562E-6i       -1.3248292156028962E-7-3.4034984876127545E-10i    -2.7791991466728566E-4+2.656070612328101E-7i
-0.023987975951903807     0                        0.0015                   2.1197103020956926E-5+2.3148260768383208E-6i      -1.3807787834047252E-7-6.732366049316126E-10i     -2.8302945039734894E-4+2.504921402527439E-7i
-0.023867735470941884     0                        0.0015                   2.1839570145079652E-5+2.356413651461541E-6i       -1.5732748405482624E-7-3.3104818509630137E-9i     -2.8846609602156247E-4+2.3202081819994423E-7i
-0.02374749498997996      0                        0.0015                   2.276693335388335E-5+2.4020370731810408E-6i       -1.0488195773504516E-7-1.8307055082625702E-9i     -2.9414762542403355E-4+2.116907863514893E-7i
-0.023627254509018036     0                        0.0015                   2.3567451277183536E-5+2.4470639258167195E-6i      -8.399283996790574E-8-1.1804431381015027E-9i      -3.0028236770089645E-4+1.8862504268581397E-7i
-0.023507014028056113     0                        0.0015                   2.436796920048459E-5+2.4920907784523982E-6i       -6.31037221990316E-8-5.301807679336588E-10i       -3.064171099777602E-4+1.6555929902014541E-7i
-0.02338677354709419      0                        0.0015                   2.516848712378391E-5+2.537117631088067E-6i        -4.221460442755537E-8+1.2008160222740875E-10i     -3.1255185225462223E-4+1.4249355535445653E-7i
-0.023266533066132265     0                        0.0015                   2.5969005047082362E-5+2.582144483723722E-6i       -2.132548666128331E-8+7.70343972405417E-10i       -3.186865945314834E-4+1.1942781168877104E-7i
-0.02314629258517034      0                        0.0015                   2.6769522970384284E-5+2.6271713363594056E-6i      -4.363688906744434E-10+1.420606342576649E-9i      -3.248213368083463E-4+9.636206802308555E-8i
-0.023026052104208418     0                        0.0015                   2.7570040893687073E-5+2.672198188995041E-6i       2.045274887733234E-8+2.0708687127326343E-9i       -3.309560790852068E-4+7.329632435738311E-8i
-0.022905811623246494     0                        0.0015                   2.8623256315351946E-5+2.723376328156987E-6i       1.1981768638005125E-6+3.0823427461501823E-9i      -3.3847275951810925E-4+3.4245483872877145E-8i
-0.02278557114228457      0                        0.0015                   3.081197579865927E-5+2.776716298740003E-6i        7.001334636964375E-7+1.8873519213917446E-10i      -3.441253465539902E-4+7.612618778732837E-9i
-0.022665330661322647     0                        0.0015                   3.159947094932315E-5+2.823725252489503E-6i        4.936018712278344E-7-1.0295790759901958E-9i       -3.523306980112552E-4-2.7135168638202703E-8i
-0.02254509018036072      0                        0.0015                   3.290750914534215E-5+2.87733507950145E-6i         4.865001838898935E-7+1.1543827544966038E-10i      -3.6004000819533016E-4-5.667310379513663E-8i
-0.022424849699398796     0                        0.0015                   3.455820606790873E-5+2.931170508685773E-6i        4.269814699331871E-7+2.0357116333974105E-10i      -3.6752576714672256E-4-9.007878835700146E-8i
-0.022304609218436872     0                        0.0015                   3.6208902990478773E-5+2.9850059378701634E-6i      3.674627559812546E-7+2.9170405123320985E-10i      -3.75011526098102E-4-1.2348447291898444E-7i
-0.02218436873747495      0                        0.0015                   3.7859599913044505E-5+3.0388413670545234E-6i      3.079440420257256E-7+3.7983693912595073E-10i      -3.8249728504948665E-4-1.5689015748088645E-7i
-0.022064128256513025     0                        0.0015                   3.951029683561592E-5+3.092676796238876E-6i        2.484253280743191E-7+4.679698270102345E-10i       -3.899830440008704E-4-1.902958420428056E-7i
-0.0219438877755511       0                        0.0015                   4.1160993758177696E-5+3.1465122254232667E-6i      1.8890661412107136E-7+5.561027149038084E-10i      -3.974688029522541E-4-2.2370152660473144E-7i
-0.021823647294589178     0                        0.0015                   4.28627071721718E-5+3.1984141765229348E-6i        2.9878711300381985E-7-2.7992083577823602E-9i      -4.0553896312153087E-4-2.691980842681386E-7i
-0.021703406813627254     0                        0.0015                   4.486149603104717E-5+3.251560800894431E-6i        -3.166538042593094E-7-9.231198186353325E-9i       -4.1466743403742803E-4-3.1203965294753763E-7i
-0.02158316633266533      0                        0.0015                   4.7929588773102695E-5+3.3197214283848113E-6i      2.999655715975498E-7+4.762533945573241E-9i        -4.23139934388239E-4-3.533988659942171E-7i
-0.021462925851703406     0                        0.0015                   5.104068292349773E-5+3.3833128519623417E-6i       -4.355316595653497E-8+1.7500369870950835E-9i      -4.311051025319521E-4-3.9775908869148176E-7i
-0.021342685370741483     0                        0.0015                   5.4151777073887554E-5+3.446904275539889E-6i       -3.870719035110534E-7-1.2624599713949324E-9i      -4.390702706756639E-4-4.4211931138877185E-7i
-0.02122244488977956      0                        0.0015                   5.704155330357166E-5+3.5060206162658576E-6i       -9.804881509877655E-7-3.916944864187618E-9i       -4.464694288889813E-4-4.877486928004686E-7i
-0.021102204408817635     0                        0.0015                   6.072924585611111E-5+3.5653330225606495E-6i       -1.0497943535438085E-6-1.2087142190120363E-8i     -4.5467336745169283E-4-5.281210273310902E-7i
-0.02098196392785571      0                        0.0015                   6.507001062890203E-5+3.630430954663842E-6i        -9.387718122410953E-7-6.50602647065757E-9i        -4.6487975611840494E-4-5.917005129298846E-7i
-0.020861723446893785     0                        0.0015                   6.90283005539351E-5+3.6939631059302192E-6i        -1.8701024349053463E-7+3.649259963412225E-9i      -4.756553677587143E-4-6.596917973750226E-7i
-0.02074148296593186      0                        0.0015                   7.324846443908326E-5+3.7553908027251576E-6i       4.554889712054394E-7+7.709355260764278E-9i        -4.8631062785914336E-4-7.198622891830408E-7i
-0.020621242484969937     0                        0.0015                   7.7468628324244E-5+3.816818499520008E-6i          1.0979881859040155E-6+1.1769450558119719E-8i      -4.969658879595724E-4-7.800327809910659E-7i
-0.020501002004008013     0                        0.0015                   8.168879220940561E-5+3.87824619631487E-6i         1.740487400603459E-6+1.5829545855461607E-8i       -5.076211480600041E-4-8.402032727990977E-7i
