% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0                         -0.006                   2.854424769103181-12.83471788505773i
3.0303030303030303E-4     -0.006                   -4076.0227591682333-1498.7700317043905i
6.060606060606061E-4      -0.006                   -8114.764472306848-2961.963083178449i
9.090909090909091E-4      -0.006                   -12113.370714646737-4402.413872307238i
0.0012121212121212121     -0.006                   -16060.664316615384-5805.7745597803i
0.0015151515151515152     -0.006                   -19906.66012339123-7139.261854823624i
0.0018181818181818182     -0.006                   -23646.200331294254-8401.792703881367i
0.002121212121212121      -0.006                   -27275.669342630285-9589.056174208426i
0.0024242424242424242     -0.006                   -30753.710451202915-10674.124373848324i
0.0027272727272727275     -0.006                   -34068.79752183219-11652.846948097025i
0.0030303030303030303     -0.006                   -37220.70553522348-12524.40082299678i
0.003333333333333333      -0.006                   -40185.58565476114-13270.706142355059i
0.0036363636363636364     -0.006                   -42947.42322315817-13889.765355357458i
0.00393939393939394       -0.006                   -45506.218240414586-14381.57846200399i
0.004242424242424242      -0.006                   -47854.36125977146-14738.636547005357i
0.004545454545454545      -0.006                   -49979.64617002035-14963.994775899084i
0.0048484848484848485     -0.006                   -51881.984977709086-15059.24409740425i
0.005151515151515152      -0.006                   -53560.21724410612-15021.715101436046i
0.005454545454545455      -0.006                   -55014.45146107297-14861.95919701855i
0.005757575757575757      -0.006                   -56245.88423129491-14586.16293057789i
0.006060606060606061      -0.006                   -57254.44474413764-14193.198143039155i
0.006363636363636364      -0.006                   -58050.31537336571-13695.707486240344i
0.006666666666666666      -0.006                   -58640.70923196137-13108.88834918957i
0.0069696969696969695     -0.006                   -59025.626319924646-12432.740731886845i
0.007272727272727273      -0.006                   -59216.207685425456-11674.833396554342i
0.007575757575757576      -0.006                   -59230.926548900905-10860.02009359831i
0.00787878787878788       -0.006                   -59070.038509497674-9989.122035704215i
0.008181818181818182      -0.006                   -58740.18312203117-9065.428009728805i
0.008484848484848484      -0.006                   -58268.60467326812-8114.6282588625i
0.008787878787878787      -0.006                   -57658.24116125774-7141.226884903105i
0.00909090909090909       -0.006                   -56911.10834996987-6145.646058834825i
0.009393939393939394      -0.006                   -56054.95298213271-5147.171100047753i
0.009696969696969697      -0.006                   -55098.56494710213-4154.898248543724i
0.01                      -0.006                   -54041.944244878185-3168.827504322746i
0.010303030303030303      -0.006                   -52904.75489222528-2197.854427918751i
0.010606060606060607      -0.006                   -51703.56730300156-1254.4603106003572i
0.01090909090909091       -0.006                   -50438.38147720704-338.6451523675813i
0.011212121212121211      -0.006                   -49118.155671593966+547.1332231762353i
0.011515151515151515      -0.006                   -47764.41119950465+1392.9626475572156i
0.011818181818181818      -0.006                   -46378.01004049253+2197.89941978862i
0.012121212121212121      -0.006                   -44961.70542382961+2961.7941991630037i
0.012424242424242424      -0.006                   -43534.54462222041+3680.3010235364504i
0.012727272727272728      -0.006                   -42099.970930929085+4351.81335034576i
0.013030303030303031      -0.006                   -40658.2446767315+4976.403001221573i
0.013333333333333332      -0.006                   -39221.89279113854+5554.372203131633i
0.013636363636363636      -0.006                   -37797.11768368951+6084.851732791414i
0.013939393939393939      -0.006                   -36383.91935438436+6567.841590200919i
0.014242424242424242      -0.006                   -34987.64041234438+7004.986838501648i
0.014545454545454545      -0.006                   -33616.205263905955+7398.052897567236i
0.014848484848484849      -0.006                   -32269.603963808466+7746.961747971168i
0.015151515151515152      -0.006                   -30949.420909881854+8052.768074715175i
0.015454545454545455      -0.006                   -29661.956922669888+8319.642310103902i
0.01575757575757576       -0.006                   -28407.727877857265+8547.91991323716i
0.01606060606060606       -0.006                   -27186.979976782142+8737.87115308078i
0.016363636363636365      -0.006                   -26003.175350665202+8894.221997823364i
0.016666666666666666      -0.006                   -24857.14487895814+9018.501479129016i
