% Model:              FEA_current_excit.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 10:39
% Table:              Table 1 - Point Evaluation 1
% Switch 1 index         Time (s)                 Magnetic flux density, z component (T), Point: 5
1                        0                        0
1                        5.050505050505051E-6     2.9516626631261077E-4
1                        1.0101010101010101E-5    6.075431666270101E-4
1                        1.5151515151515153E-5    9.258540042285156E-4
1                        2.0202020202020203E-5    0.0012439680565507262
1                        2.5252525252525253E-5    0.0015600301512602704
1                        3.0303030303030306E-5    0.001871408342941828
1                        3.535353535353535E-5     0.0021770389369247392
1                        4.0404040404040405E-5    0.0024752355802494293
1                        4.545454545454546E-5     0.0027648319634826224
1                        5.0505050505050505E-5    0.0030442923066154523
1                        5.555555555555556E-5     0.0033126050667408027
1                        6.060606060606061E-5     0.0035682374869621105
1                        6.565656565656566E-5     0.0038101392606552913
1                        7.07070707070707E-5      0.004037248858108215
1                        7.575757575757576E-5     0.004248584622574235
1                        8.080808080808081E-5     0.004443243663016038
1                        8.585858585858586E-5     0.004620394854764381
1                        9.090909090909092E-5     0.004779283093083413
1                        9.595959595959596E-5     0.004919232756340765
1                        1.0101010101010101E-4    0.00503964949136154
1                        1.0606060606060606E-4    0.005140021352830726
1                        1.1111111111111112E-4    0.005219920280704175
1                        1.1616161616161617E-4    0.005279004407963356
1                        1.2121212121212122E-4    0.005317017560065271
1                        1.2626262626262626E-4    0.005333789715569829
1                        1.3131313131313133E-4    0.005329239642948692
1                        1.3636363636363637E-4    0.005303373620511064
1                        1.414141414141414E-4     0.005256282318496902
1                        1.4646464646464648E-4    0.005188145305290066
1                        1.5151515151515152E-4    0.005099230894948669
1                        1.5656565656565658E-4    0.004989885278729013
1                        1.6161616161616162E-4    0.0048605381570614664
1                        1.6666666666666666E-4    0.004711711992976049
1                        1.7171717171717173E-4    0.00454399742941629
1                        1.7676767676767677E-4    0.004358050628268809
1                        1.8181818181818183E-4    0.00415463074842373
1                        1.8686868686868687E-4    0.003934562093021832
1                        1.9191919191919191E-4    0.0036986933169990866
1                        1.9696969696969698E-4    0.003447982227667815
1                        2.0202020202020202E-4    0.0031834594150630374
1                        2.070707070707071E-4     0.002906160957956587
1                        2.1212121212121213E-4    0.0026171957805471574
1                        2.1717171717171717E-4    0.0023177486095669053
1                        2.2222222222222223E-4    0.0020090090745604142
1                        2.2727272727272727E-4    0.0016922016366354925
1                        2.3232323232323234E-4    0.0013686295494025544
1                        2.3737373737373738E-4    0.001039590103516794
1                        2.4242424242424245E-4    7.063753535844258E-4
1                        2.474747474747475E-4     3.703493418600862E-4
1                        2.525252525252525E-4     3.2872937295013474E-5
1                        2.5757575757575756E-4    -3.0472336339916115E-4
1                        2.6262626262626266E-4    -6.410706163625427E-4
1                        2.676767676767677E-4     -9.748044863592147E-4
1                        2.7272727272727274E-4    -0.001304594883106205
1                        2.777777777777778E-4     -0.001629113371591704
1                        2.828282828282828E-4     -0.0019470531017978202
1                        2.878787878787879E-4     -0.0022571353531399834
1                        2.9292929292929295E-4    -0.0025581119806682095
1                        2.97979797979798E-4      -0.002848772807007399
1                        3.0303030303030303E-4    -0.003127948441284323
1                        3.0808080808080807E-4    -0.00339451514070737
1                        3.1313131313131316E-4    -0.0036474004872020663
1                        3.181818181818182E-4     -0.0038855871635788426
1                        3.2323232323232324E-4    -0.004108116576547756
1                        3.282828282828283E-4     -0.004314093122924485
1                        3.333333333333333E-4     -0.004502688418973866
1                        3.383838383838384E-4     -0.004673143821844671
1                        3.4343434343434346E-4    -0.0048247728419380555
1                        3.484848484848485E-4     -0.0049569658695795445
1                        3.5353535353535354E-4    -0.005069191956206624
1                        3.585858585858586E-4     -0.005160998157035995
1                        3.6363636363636367E-4    -0.005232015011589447
1                        3.686868686868687E-4     -0.005281959948049832
1                        3.7373737373737375E-4    -0.00531063004604497
1                        3.787878787878788E-4     -0.005317906733036136
1                        3.8383838383838383E-4    -0.005303768098898681
1                        3.888888888888889E-4     -0.005268271603976407
1                        3.9393939393939396E-4    -0.0052115474430189865
1                        3.98989898989899E-4      -0.005133835322596624
1                        4.0404040404040404E-4    -0.0050354626134901555
1                        4.090909090909091E-4     -0.004916793205858331
1                        4.141414141414142E-4     -0.004778307583933872
1                        4.191919191919192E-4     -0.004620620792192916
1                        4.2424242424242425E-4    -0.004444315562023316
1                        4.292929292929293E-4     -0.004250062530170589
1                        4.3434343434343433E-4    -0.004038731613924338
1                        4.393939393939394E-4     -0.0038111542659232693
1                        4.4444444444444447E-4    -0.0035681837462045373
1                        4.494949494949495E-4     -0.003310858516072121
1                        4.5454545454545455E-4    -0.003040226190422055
