% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 25 2022, 06:02
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=2000                             mf.By (T) @ freq=2000                             mf.Bz (T) @ freq=2000
-0.03                     0                        0.0015                   3.3139099227768535E-5-3.9886644078769747E-5i      -1.0372548484764797E-7+1.141501744319779E-7i      -9.230232925530274E-5+1.1122661496744117E-4i
-0.029393939393939392     0                        0.0015                   3.659815986084375E-5-4.4078729259085025E-5i       -6.389681144458852E-7+7.361601563030427E-7i       -1.0043969751937454E-4+1.2098927976940078E-4i
-0.028787878787878786     0                        0.0015                   4.050328213294201E-5-4.878542712592236E-5i        -1.3214215788839813E-7+1.78065163932773E-7i       -1.1009345750830632E-4+1.326019072485111E-4i
-0.02818181818181818      0                        0.0015                   4.749887734711175E-5-5.7195120385615495E-5i       -1.6375782514407335E-8+2.7003452205743607E-8i     -1.1779269725886287E-4+1.419272170474846E-4i
-0.027575757575757573     0                        0.0015                   5.462039632203803E-5-6.579492688287513E-5i        -5.281987013371417E-7+6.21454045618506E-7i        -1.2929827821162889E-4+1.5580814394106535E-4i
-0.02696969696969697      0                        0.0015                   6.110659547877394E-5-7.355799584658003E-5i        -4.3609386921918125E-7+4.6230187555245175E-7i     -1.430622848501784E-4+1.7233621237900277E-4i
-0.026363636363636363     0                        0.0015                   7.014029980778014E-5-8.44554978969249E-5i         6.442975898201392E-7-8.073369538062411E-7i        -1.577135387063884E-4+1.899410695194114E-4i
-0.025757575757575757     0                        0.0015                   8.211558454927499E-5-9.888177417072253E-5i        1.007566067769616E-6-1.247007487697972E-6i        -1.701693648445844E-4+2.0493216225903033E-4i
-0.02515151515151515      0                        0.0015                   9.422390371245041E-5-1.1343481813519884E-4i       -8.859011966526244E-7+9.562201384676582E-7i       -1.9288319912811466E-4+2.322718817858397E-4i
-0.024545454545454544     0                        0.0015                   1.0661092735453435E-4-1.283745375765511E-4i       -8.03433866450971E-7+8.530351086389644E-7i        -2.1582229603955057E-4+2.59993083581077E-4i
-0.023939393939393937     0                        0.0015                   1.3074363546124873E-4-1.5746522571529462E-4i      -5.424094350210771E-6+6.4793214808985325E-6i      -2.4289101375119145E-4+2.924782021538415E-4i
-0.02333333333333333      0                        0.0015                   1.5261706329528695E-4-1.8396450991115036E-4i      -3.104053711266896E-7+4.076192749628507E-7i       -2.68613410050566E-4+3.2359456942724577E-4i
-0.022727272727272728     0                        0.0015                   1.8778485468874754E-4-2.2641441697303756E-4i      -1.8985657282693125E-7+2.5460331508673313E-7i     -2.8590347378654136E-4+3.444213499828423E-4i
-0.022121212121212118     0                        0.0015                   2.354403651149571E-4-2.83768029762722E-4i         -4.8859597449071824E-8+2.6864764456074755E-7i     -3.3642892846655337E-4+4.051789243285351E-4i
-0.021515151515151515     0                        0.0015                   2.854152806724523E-4-3.4392044037972265E-4i       -1.1826161200017681E-6+1.5334646237366882E-6i     -3.935611597830871E-4+4.7385059702536973E-4i
-0.02090909090909091      0                        0.0015                   3.570564390069523E-4-4.300238662884256E-4i        -2.0047514978411727E-6+2.162679199903131E-6i      -4.2011497712417245E-4+5.061522527658232E-4i
-0.020303030303030302     0                        0.0015                   4.7501030403186245E-4-5.711373619173759E-4i       -1.3279578220872434E-5+1.6249605464480093E-5i     -4.881797078488124E-4+5.878896598272035E-4i
-0.019696969696969695     0                        0.0015                   5.859691011248544E-4-7.054411107216409E-4i        4.616435147281744E-6-5.003244346302258E-6i        -5.84348494761079E-4+7.022721255421881E-4i
-0.01909090909090909      0                        0.0015                   7.57220719641461E-4-9.11925051288163E-4i          9.333956905741101E-7-2.5715832435136386E-6i       -6.767078089407882E-4+8.147328150821141E-4i
-0.018484848484848486     0                        0.0015                   0.0010344663159238153-0.0012447041327378712i      1.176223735802973E-6-8.456224087638204E-7i        -7.792796929290224E-4+9.395957697289721E-4i
-0.017878787878787876     0                        0.0015                   0.001450993261815547-0.0017473179642089522i       -1.199746112533727E-5+1.3185193729860906E-5i      -8.201709799020643E-4+9.874754262253604E-4i
-0.017272727272727273     0                        0.0015                   0.001840253485128021-0.002216819964749564i        3.064919812100289E-6-5.696932689629869E-6i        -7.668484526370707E-4+9.228043594731901E-4i
-0.016666666666666666     0                        0.0015                   0.0030326453365794666-0.0036515200388568345i      8.256038590717131E-5-9.722944908002859E-5i        -7.486259696497277E-4+9.048158848566455E-4i
-0.01606060606060606      0                        0.0015                   0.003900589392518015-0.004699767245027678i        -3.679389531409155E-5+4.665063642385781E-5i       -3.4553194871841724E-4+4.1949106737514813E-4i
-0.015454545454545453     0                        0.0015                   0.005352400869580872-0.0064485853716322586i       4.175098974883206E-5-5.261944191030539E-5i        6.270285351256341E-4-7.557503196123377E-4i
-0.014848484848484847     0                        0.0015                   0.005978554822166499-0.007204759372397465i        -3.207523492973572E-5+3.4900550759959376E-5i      0.0029143563767564822-0.00351907137824247i
-0.01424242424242424      0                        0.0015                   0.005708849750885592-0.006878420465166563i        -1.758711614959895E-5+1.9093332545017105E-5i      0.005638518893303773-0.0067964192059486025i
-0.013636363636363634     0                        0.0015                   0.004552967443763149-0.005481368764925085i        -2.6479148439392277E-6+2.1461388619663417E-6i     0.006256460915301536-0.0075349000371520295i
-0.013030303030303031     0                        0.0015                   0.0032333055090243363-0.003898420376962276i       2.5942338666767525E-6-5.829274064308304E-6i       0.006903868390484957-0.008309063056960459i
-0.012424242424242424     0                        0.0015                   0.00240482359673896-0.0028958126707302363i        3.854079571301988E-6-2.2419527468292328E-6i       0.007000386098609238-0.008433458660390112i
-0.011818181818181818     0                        0.0015                   0.001716950942610672-0.0020725501088358273i       7.048080351029773E-5-8.480270791115865E-5i        0.0070926473532833285-0.008548448259946263i
-0.011212121212121211     0                        0.0015                   9.290657401281484E-4-0.0011273733167479903i       6.605324415973681E-6-6.34592418992093E-6i         0.006979938618142414-0.008406969298471609i
-0.010606060606060605     0                        0.0015                   4.593270414654943E-4-5.583639135525427E-4i        -2.623090836890166E-6+3.882249611216707E-6i       0.006882185006380589-0.008292164595344483i
-0.009999999999999998     0                        0.0015                   -9.921626224684062E-6+1.176577222383496E-5i       -8.715355357320244E-7-1.0270280800094705E-6i      0.006872772773484468-0.00827395450459635i
-0.009393939393939392     0                        0.0015                   -4.702514586055036E-4+5.680170553248504E-4i       -1.1143162410083996E-6-3.5417045293826676E-6i     0.006912885379717987-0.00832366521313758i
-0.008787878787878785     0                        0.0015                   -9.492071163346915E-4+0.0011439138136015835i      -4.879335303995674E-6+2.5383831913730094E-6i      0.00692001638130778-0.008335379162243656i
-0.008181818181818179     0                        0.0015                   -0.0015897370545383104+0.0019122037884807155i     -1.5266399299619735E-5+2.1416486272894577E-5i     0.006969857368748807-0.00839468433760849i
-0.007575757575757576     0                        0.0015                   -0.0022890974181493332+0.002759249728087259i      -1.8664914658966456E-5+2.045328587633251E-5i      0.007011839342034127-0.008448408286466522i
-0.0069696969696969695    0                        0.0015                   -0.003123712808461211+0.0037670413292935296i      -1.2101569494261033E-5+1.4713460630037985E-5i     0.00691229291489983-0.008324626673311294i
-0.006363636363636363     0                        0.0015                   -0.004433637750080488+0.005332134086942643i       8.207088355097203E-7+4.1868034493380835E-6i       0.0063260907815309575-0.0076253536766654195i
-0.0057575757575757565    0                        0.0015                   -0.005562453766885574+0.006693632974010013i       1.5395281892580104E-5-1.8092815664151607E-5i      0.005186585063985505-0.006248971608332939i
-0.00515151515151515      0                        0.0015                   -0.005960555994112961+0.0071734717855367666i      3.0449848870363486E-5-3.632044913887088E-5i       0.0028958975527421243-0.003480841798124794i
-0.0045454545454545435    0                        0.0015                   -0.005363239828979936+0.006460331737683647i       -6.481288928454967E-6+7.81802544184973E-6i        9.380209728412289E-4-0.0011293533872183611i
-0.003939393939393937     0                        0.0015                   -0.004212862084598691+0.005077714593321514i       -7.612137579010624E-6+8.474517234343315E-6i       -2.5960733035209813E-4+3.121049806279558E-4i
-0.003333333333333334     0                        0.0015                   -0.0027913618411012243+0.0033629748125881273i     -1.7981531437590457E-6+2.5322523748618625E-6i     -9.071925495370912E-4+0.0010941082641682167i
-0.0027272727272727275    0                        0.0015                   -0.0019366940905069167+0.002332184691076809i      1.7854881749256572E-5-2.0257241177595777E-5i      -8.826005543001362E-4+0.0010615749564832641i
-0.002121212121212121     0                        0.0015                   -0.0013957066341724758+0.0016815993708783868i     3.9631910995459665E-6-3.831007140069932E-6i       -8.340999423115981E-4+0.001005075466616291i
-0.0015151515151515145    0                        0.0015                   -9.919466119177058E-4+0.0011948412049506136i      -9.589315001800637E-6+1.2153493859895677E-5i      -7.35088045871943E-4+8.862658464941979E-4i
-9.09090909090908E-4      0                        0.0015                   -7.708411401140899E-4+9.287516128876146E-4i       1.9054570604431988E-5-2.287024315021603E-5i       -6.71650280477786E-4+8.083260156459057E-4i
-3.030303030303015E-4     0                        0.0015                   -6.027373026901334E-4+7.26443540254895E-4i        -4.655203321292042E-6+5.406489106077724E-6i       -5.655242287677133E-4+6.803520117538689E-4i
3.03030303030305E-4       0                        0.0015                   -4.5306708943475445E-4+5.469037732745434E-4i      -8.306846955073808E-6+9.670154962986705E-6i       -4.7653429646903923E-4+5.742774965520258E-4i
9.090909090909115E-4      0                        0.0015                   -3.6232100343888034E-4+4.3674943751257066E-4i     1.8312762038836069E-6-2.8261273718293005E-6i      -4.438059406886467E-4+5.3515014231643E-4i
0.001515151515151518      0                        0.0015                   -2.9155670001173336E-4+3.5162803432450167E-4i     4.789140412034916E-6-5.956875452855712E-6i        -3.828744407796533E-4+4.616024068590345E-4i
0.002121212121212121      0                        0.0015                   -2.33586820626117E-4+2.8121541314175694E-4i       -3.433525280069176E-6+4.904340060621229E-6i       -3.395293576879113E-4+4.094275420281054E-4i
0.002727272727272731      0                        0.0015                   -1.9385203472981278E-4+2.3354751619459696E-4i     -1.9222546125590226E-6+2.25934998161325E-6i       -3.1185527679183814E-4+3.754654968394944E-4i
0.003333333333333334      0                        0.0015                   -1.5716258520365092E-4+1.894616641572493E-4i      9.473658683168198E-7-1.2942946848011833E-6i       -2.593222696530837E-4+3.121814547070224E-4i
0.003939393939393937      0                        0.0015                   -1.3582326413126718E-4+1.6376158688286165E-4i     5.027485692511713E-8-1.377102364836548E-7i        -2.3651456097061632E-4+2.847051592037563E-4i
0.004545454545454547      0                        0.0015                   -1.1448394305888193E-4+1.3806150960847335E-4i     -8.46816154466179E-7+1.0188742118332232E-6i       -2.1370685228814889E-4+2.5722886370048946E-4i
0.00515151515151515       0                        0.0015                   -1.0104378019549332E-4+1.2169632058722064E-4i     4.941335694246441E-7-4.7097492549648054E-7i       -1.8817824710067412E-4+2.264732132061368E-4i
0.00575757575757576       0                        0.0015                   -8.067668034556333E-5+9.716233285122762E-5i       -3.408734719379566E-6+4.111207707258621E-6i       -1.7321538791441153E-4+2.0864775246666814E-4i
0.006363636363636363      0                        0.0015                   -7.019635639957914E-5+8.452905798077639E-5i       1.38879829528233E-6-1.683203232157378E-6i         -1.552139925231215E-4+1.870195958152169E-4i
0.006969696969696973      0                        0.0015                   -6.412420574560733E-5+7.723008075630373E-5i       1.5030242838946404E-6-1.8164153122083681E-6i      -1.4251556448626425E-4+1.717000383660175E-4i
0.007575757575757576      0                        0.0015                   -5.805205509163574E-5+6.99311035318327E-5i        1.6172502725070185E-6-1.949627392259243E-6i       -1.298171364494076E-4+1.5638048091681886E-4i
0.008181818181818186      0                        0.0015                   -4.835511364872675E-5+5.8276544287762114E-5i      4.9624088097185645E-8-3.770659700468894E-8i       -1.1819141918425547E-4+1.4235872363325497E-4i
0.008787878787878789      0                        0.0015                   -4.190981616114024E-5+5.048861726480354E-5i       -2.581535136997413E-7+2.978561179287336E-7i       -1.0709638846072159E-4+1.2898218648814712E-4i
0.009393939393939392      0                        0.0015                   -3.777831925037465E-5+4.550322521737157E-5i       -1.9186060713099508E-7+2.1696686261746083E-7i     -9.904191863253624E-5+1.1927222115834719E-4i
0.010000000000000002      0                        0.0015                   -3.364682233960919E-5+4.0517833169940055E-5i      -1.255677005623573E-7+1.3607760730629647E-7i      -9.098744880435094E-5+1.0956225582854683E-4i
0.010606060606060605      0                        0.0015                   -2.9515325428843952E-5+3.553244112250876E-5i      -5.9274793994044776E-8+5.5188351995782634E-8i     -8.293297897616486E-5+9.985229049874669E-5i
0.011212121212121215      0                        0.0015                   -2.7027900163028695E-5+3.2599627911410845E-5i     1.8272285929915762E-7-1.9882161368840745E-7i      -7.682512376764087E-5+9.257217421337872E-5i
0.011818181818181818      0                        0.0015                   -2.368202303496309E-5+2.8569509397844615E-5i      -3.359669302521676E-8+4.143533878696667E-8i       -7.228995183165546E-5+8.709396904691604E-5i
0.012424242424242428      0                        0.0015                   -2.202894202347477E-5+2.6563126034668307E-5i      -7.390057412103509E-10+5.4574720047587225E-9i     -6.67390699965966E-5+8.0387351800223E-5i
