% Model,non-ferromagnetic metal plate with hole (only electromagnet).mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 4 2022, 20:46"
% Dimension,3
% Nodes,100
% Expressions,3
% Description,"Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component"
% Length unit,m
% x,y,z,mf.Bx (T) @ freq=5000,mf.By (T) @ freq=5000,mf.Bz (T) @ freq=5000
-0.03,0,0.0015,1.97533694303605E-5+2.4105319042927453E-10i,-9.268709743568164E-8-2.455944618680317E-10i,-5.501539578376465E-5+1.8720421003301513E-9i
-0.029393939393939392,0,0.0015,2.2858088014696202E-5+2.2547840721268142E-10i,1.2922367984085595E-7-3.1097531234119957E-10i,-5.9982558361751464E-5+1.8458748453353824E-9i
-0.028787878787878786,0,0.0015,2.600527814052486E-5+2.0185159126844335E-10i,3.8190858359750043E-7-2.2784738939324312E-10i,-6.570904614368106E-5+1.7494518108479573E-9i
-0.02818181818181818,0,0.0015,3.0667369520257176E-5+1.8145076413622618E-10i,-3.9509497023440705E-7-2.336234209560084E-10i,-7.376804036085733E-5+1.7880658204072475E-9i
-0.027575757575757573,0,0.0015,3.457070509166389E-5+1.8818364878533944E-10i,1.517183550949104E-8-2.8943009534182496E-10i,-8.341505026479204E-5+1.817280159254614E-9i
-0.02696969696969697,0,0.0015,4.039027156266901E-5+2.2475326287574315E-10i,-8.282548131328601E-8-2.1232859914732671E-10i,-9.267267448058447E-5+1.69339251648859E-9i
-0.026363636363636363,0,0.0015,4.6744236904622694E-5+2.017020508948697E-10i,-4.4904633802718766E-7-2.2449546388525476E-10i,-1.0233111954713583E-4+1.7224863818263159E-9i
-0.025757575757575757,0,0.0015,5.5336316677366743E-5+1.7956169884314477E-10i,2.4367003853380254E-7-2.3056694747891626E-10i,-1.1439507258608188E-4+1.7485846035003583E-9i
-0.02515151515151515,0,0.0015,6.622046291489671E-5+1.1763338301487222E-10i,3.3359254946580506E-7-3.0413639662274505E-10i,-1.2754341610137702E-4+1.7133772768629374E-9i
-0.024545454545454544,0,0.0015,7.708218994105242E-5+7.66900106786983E-12i,-3.6839627921793E-8-2.322000473842234E-10i,-1.4685104719505823E-4+1.6658465102140085E-9i
-0.023939393939393937,0,0.0015,8.794391696720889E-5-1.0229539882267852E-10i,-4.0727180530874055E-7-1.6026370508459564E-10i,-1.6615867828873997E-4+1.6183157461671649E-9i
-0.02333333333333333,0,0.0015,1.120746997834679E-4-3.2118862642238274E-10i,3.181268057593587E-6-4.744683483181179E-10i,-1.800287344358176E-4+1.7164486422905495E-9i
-0.022727272727272728,0,0.0015,1.3572902269152895E-4+4.6612145566948815E-11i,5.123345476111116E-6-3.280713396260071E-10i,-2.069257676099146E-4+8.072593375013648E-10i
-0.022121212121212118,0,0.0015,1.7840790655743654E-4-1.2733925372487853E-10i,5.073360795528189E-7-4.25707673973319E-10i,-2.4386263794680505E-4+1.2980014190214217E-9i
-0.021515151515151515,0,0.0015,2.2108679042334386E-4-3.0129063827155633E-10i,-4.1086733170052955E-6-5.233439792640127E-10i,-2.80799508283692E-4+1.7887434428619231E-9i
-0.02090909090909091,0,0.0015,2.6376567428924966E-4-4.75241963837636E-10i,-8.724682713564386E-6-6.209802949630472E-10i,-3.17736378620581E-4+2.2794854562940836E-9i
-0.020303030303030302,0,0.0015,3.367698723581357E-4-7.731855919401731E-10i,1.6438697796760824E-6+7.61584212360944E-10i,-3.701958284201977E-4+1.9844721421691247E-9i
-0.019696969696969695,0,0.0015,4.360864934303179E-4+3.5888814142737147E-10i,1.6779486014183512E-5-5.97355387377263E-10i,-4.1313049367234047E-4+2.0763904484688567E-9i
-0.01909090909090909,0,0.0015,6.106268066939256E-4+6.62860877298499E-10i,-9.602883767004938E-7-3.688697125525664E-10i,-4.915760157621165E-4+1.6128230972967117E-9i
-0.018484848484848486,0,0.0015,7.851671199575316E-4+9.66833502147324E-10i,-1.8700062767586234E-5-1.4038403772786978E-10i,-5.70021537851895E-4+1.1492556073466886E-9i
-0.017878787878787876,0,0.0015,0.0011249077990328222+3.214024602016252E-10i,-1.3614431785763728E-6+4.306932588349355E-10i,-6.174872104725594E-4+2.5814845261429298E-9i
-0.017272727272727273,0,0.0015,0.0015260255528541412-1.1260887777808648E-9i,2.5917967732505542E-5+2.9574520610253785E-10i,-6.729001902173529E-4+2.353538919308562E-9i
-0.016666666666666666,0,0.0015,0.0021988236239002708-1.4051442231988176E-9i,8.103250566406138E-6-9.353073870954631E-13i,-7.540668845114652E-4+6.460973089872368E-9i
-0.01606060606060606,0,0.0015,0.003440990571069804-3.790225827637883E-9i,2.3402319238005013E-5-1.7623127956944984E-10i,-4.4038450804428225E-5-2.4090951455946197E-10i
-0.015454545454545453,0,0.0015,0.004262347546990158-3.796003122946701E-9i,1.8418302946520033E-4-1.4673184889346658E-9i,4.99670911066283E-4+1.1097245067315242E-9i
-0.014848484848484847,0,0.0015,0.004472483270594253-2.448373474447929E-9i,-9.781896092205672E-5+1.5386785179316576E-9i,0.002308202136720715-3.360833833454535E-11i
-0.01424242424242424,0,0.0015,0.004269725112986041-1.173199953852233E-9i,-8.850502201520477E-5-1.0847788223244947E-9i,0.004029678496306203+2.0381337173525083E-9i
-0.013636363636363634,0,0.0015,0.0035679253083247308-1.4254903637697658E-10i,6.591782488605028E-5-4.4473606047867875E-9i,0.004517246190215524+2.181315334739628E-9i
-0.013030303030303031,0,0.0015,0.002427562322082208-4.2787481890904644E-10i,-8.793661797526628E-5-3.4739406490347235E-10i,0.005662653228776506+3.272246390517708E-9i
-0.012424242424242424,0,0.0015,0.001768283907416275+2.0392307287231404E-10i,-6.602650264218206E-6+8.717249144751804E-11i,0.005507158229758379+4.394831748522066E-9i
-0.011818181818181818,0,0.0015,0.0011847772697879508+6.810220844286757E-10i,-8.61320040846476E-7+1.9092215169935756E-9i,0.005463206353703347+4.990125951342961E-9i
-0.011212121212121211,0,0.0015,7.174589115346154E-4+9.274545006770704E-10i,5.785887269586809E-6+1.8280549018978576E-9i,0.005392738042027301+4.186499480418604E-9i
-0.010606060606060605,0,0.0015,3.650586300600662E-4-6.176370647564822E-10i,-5.350516998318608E-6+3.7111123341038166E-9i,0.00540284664474904-3.822056421354247E-9i
-0.009999999999999998,0,0.0015,-1.756620244885293E-6-1.884666360474352E-9i,-1.579748317106014E-6-1.392382886072907E-9i,0.005399095157105218+3.0898005421581276E-9i
-0.009393939393939392,0,0.0015,-3.6981715422281446E-4+1.600154852371416E-10i,1.7031120512324763E-6-2.0813656007034886E-10i,0.005410474709479373+2.9889218851678057E-9i
-0.008787878787878785,0,0.0015,-7.675018694578034E-4-3.1334380506953252E-9i,-3.5162441745367756E-6+4.533745823209756E-9i,0.005407962649778634+5.741571662554179E-9i
-0.008181818181818179,0,0.0015,-0.0012211732650004772-3.3997993309498042E-9i,-1.013844699205256E-5-8.946525187347731E-10i,0.005450745236494055+3.756118138742437E-9i
-0.007575757575757576,0,0.0015,-0.0017556441139485557+1.705672603158348E-9i,-8.05262986099467E-7+1.391955398166722E-9i,0.005385715522773194+5.489425025650974E-10i
-0.0069696969696969695,0,0.0015,-0.0024262038731348023-7.919515709886582E-9i,5.510198066899924E-6+1.151059692006129E-9i,0.0052203572086788035+1.6699615024151626E-9i
-0.006363636363636363,0,0.0015,-0.003502156129974722-4.4648373886957415E-9i,-1.2044761138659162E-5+1.2487377243353137E-9i,0.005237841354871663+3.2843174846419743E-9i
-0.0057575757575757565,0,0.0015,-0.004395758864277979+3.735384224157201E-10i,-5.446588372088452E-6+5.803851843566576E-10i,0.003988710937384626+3.1487558116438663E-9i
-0.00515151515151515,0,0.0015,-0.004664120751357744-1.4972759698750338E-9i,-2.4880945130460134E-5+9.891207852774642E-10i,0.0023875884984011298+4.460035230025028E-9i
-0.0045454545454545435,0,0.0015,-0.004280177441806661+1.6131944668984488E-9i,3.82069741353421E-5+3.733648945569712E-10i,4.5962246615964975E-4+4.6175019363658976E-9i
-0.003939393939393937,0,0.0015,-0.0032505093010971385+5.292100091480734E-12i,-6.829877057750117E-5+1.1641579367172028E-10i,-1.3468285331214155E-4+5.410493608692946E-9i
-0.003333333333333334,0,0.0015,-0.002088970685011287-9.21938081432927E-10i,1.0947511134580187E-4+5.944031933324823E-10i,-6.686608100834879E-4-3.587761199241868E-10i
-0.0027272727272727275,0,0.0015,-0.0015080198797343843-6.878272396093621E-10i,-8.019801060206672E-6+5.04531999512281E-10i,-6.440775683352294E-4+2.14606843407239E-9i
-0.002121212121212121,0,0.0015,-0.001055037406972811-1.5798893859830798E-9i,6.0380619857788E-6-3.153179939374695E-10i,-6.825306332749967E-4+2.3229466128427134E-9i
-0.0015151515151515145,0,0.0015,-8.39156235468553E-4+2.8325056189437703E-10i,-5.121693156711379E-5+5.64095437027845E-10i,-5.19699879444232E-4-1.197529575502898E-10i
-9.09090909090908E-4,0,0.0015,-5.556821358564225E-4-5.681096981735578E-10i,-1.6477613963231802E-6+2.880694641160808E-11i,-4.5371452248390664E-4+1.172325132803298E-9i
-3.030303030303015E-4,0,0.0015,-4.5711816049606767E-4-8.193815209667221E-10i,-1.942978239878753E-6+2.8120759887340085E-10i,-4.1186924892847444E-4+1.0378912937425433E-9i
