% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 12 2022, 20:12"
% Dimension,3
% Nodes,100
% Expressions,3
% Description,"Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component"
% Length unit,m
% x,y,z,mf.Bx (T) @ freq=20000,mf.By (T) @ freq=20000,mf.Bz (T) @ freq=20000
-0.03,0,0.0015,6.794159447803148E-5+2.563504803817646E-5i,3.7362905431752454E-7+3.327345656521706E-8i,-5.085496391949397E-5+1.631779130529436E-5i
-0.029393939393939392,0,0.0015,7.344377359319208E-5+2.8810735108343308E-5i,-2.3570615131088745E-7-1.0652042609690643E-7i,-5.821983871140139E-5+1.707295392098879E-5i
-0.028787878787878786,0,0.0015,7.904136319893179E-5+3.239531740068744E-5i,-5.897406025308848E-7-1.2851973818983273E-7i,-6.76367396058323E-5+1.7023409551026884E-5i
-0.02818181818181818,0,0.0015,8.658401540239359E-5+3.6730789587559516E-5i,-7.620120962904039E-8-2.502130736804775E-8i,-7.756237793409533E-5+1.6976123585412427E-5i
-0.027575757575757573,0,0.0015,9.414377053531642E-5+4.125152658865131E-5i,3.233934493770182E-7+1.6000142603845788E-7i,-8.841408139397225E-5+1.6787614729904188E-5i
-0.02696969696969697,0,0.0015,1.0061479455914023E-4+4.575509498827714E-5i,1.1834943421658133E-6+4.824395198857641E-7i,-1.003993995952266E-4+1.6410002880481512E-5i
-0.026363636363636363,0,0.0015,1.1183942185855308E-4+5.182376185264458E-5i,2.1758493520124267E-7-1.7180028514824502E-8i,-1.1511265041435461E-4+1.5345238819992434E-5i
-0.025757575757575757,0,0.0015,1.227714751771739E-4+5.790022915081827E-5i,-1.250864479023227E-6-5.420317241577611E-7i,-1.3245222331991803E-4+1.3660081007661707E-5i
-0.02515151515151515,0,0.0015,1.3684503785323289E-4+6.502757140559358E-5i,9.640852609780462E-7+2.5609327237649526E-7i,-1.4826987113604356E-4+1.2149674444381347E-5i
-0.024545454545454544,0,0.0015,1.5102404006431247E-4+7.233880075225435E-5i,5.574914266075117E-7+9.723476308539161E-8i,-1.6679661218412228E-4+9.779107573235166E-6i
